MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nヴァンドレ\nIl est vain de vous obstiner dans cette attitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nJe vous ai suffisamment observé pour savoir\nque votre cœur est juste.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nLa vie vous fournira nombre d'occasions\nde vous rattraper.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06モーヴ\nMessire Vander... Je vous suis reconnaissant\nde vous préoccuper de moi. Ainsi que pour\nvos conseils.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nJ'ai une requête à vous présenter,\nMessire Vander.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nUne requête ? Tiens donc. Je vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nAccepteriez-vous de m'en dire davantage\nau sujet de Sa Majesté Lumera ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\n... Sa Majesté Lumera ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nJ'aimerais en savoir autant que possible sur\ncelle qui est morte... par ma faute.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nTrès bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nヴァンドレ\nToutefois, j'ai formé tant de souvenirs avec\nSa Majesté Lumera qu'il m'est difficile d'en\nchoisir un à partager.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nAh... Oui, celui-ci est parfait.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nUn couvert en argent, une fourchette transmise\nde génération en génération dans le château\nde Lythos, avait été subtilisé...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nL'enquête avait établi que la fourchette avait\nété volée par une camériste.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nAvant de prendre des mesures, j'ai demandé à\nSa Majesté Lumera ce que je devais faire de la\nvoleuse. Elle m'a dit de ne rien faire du tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nJ'ai objecté que si l'on négligeait de faire un\nexemple de cette voleuse, la réputation des\ngardes s'en trouverait ternie.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nJ'étais tout à fait bouleversé sur le moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nEt qu'est-il advenu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nLe lendemain matin, la fourchette était\nrevenue à sa place.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nJe n'ai jamais su pourquoi elle avait volé\nla fourchette, ni ce qu'elle comptait en faire.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nMais Sa Majesté Lumera avait tout compris\net elle a résolu le problème sans difficulté,\nsans même se donner la peine d'intervenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nヴァンドレ\nTelle était Sa Majesté Lumera. Toujours\ngénéreuse. Toujours œuvrant pour la paix.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nElle était véritablement formidable,\naimée et respectée de tout un chacun.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nSi seulement j'avais pu concevoir, alors,\nle terrible regret qui me ronge aujourd'hui...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nVous épargnez des souffrances au peuple.\nVous poursuivez donc son dessein, que vous\nle fassiez sciemment ou non.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nJe suis heureux de constater que vous voyez\nles choses ainsi, mais je ne peux pourtant\npas acquiescer.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nComme la vie aurait été différente si j'avais\nrencontré quelqu'un comme vous plus tôt...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nヴァンドレ\nElle s'est peut-être fait attendre, mais notre\nrencontre a eu lieu, et vous arpentez désormais\nla voie juste.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nJe crains que certains ne m'acceptent pas\npour celui que je suis.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06モーヴ\nMais je fais le serment de gagner leur confiance\nainsi que j'ai gagné la vôtre.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06モーヴ\nTel est mon devoir. Pour la reine.\x0E\x04\x00\x00
