MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, non, c'est la catastrophe...\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Merci, Votre Divinité. À partir de maintenant,\nma force vous appartient. Bien plus qu'avant,\nencore.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Gregory. Quelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nグレゴリー\nJe suis tout simplement content que vous soyez\nde retour parmi nous, et en un seul morceau.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	C'est un peu bizarre, mais j'ai les chocottes\nà l'idée que vous mouriez.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nOh... C'est parce que je me mets en\ndanger, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nグレゴリー\nBah, pas vraiment en fait. C'est un peu confus,\nmais je vais tenter une explication.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Quand j'ai entendu que vous étiez de la famille\ndu Dragon déchu, quelque chose s'est passé\nen moi.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	En vous rencontrant pour la première fois,\nj'ai eu peur de vous. Et ça me paraissait\nà peu près normal.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nVous aviez peur parce que vous aviez appris\nque j'étais \x0E\x0A\x00"\x0Ele fils\x10la fille du Dragon déchu ?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nグレゴリー\nPas du tout, en fait. Pour tout vous dire,\nj'étais plutôt soulagé de l'apprendre.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nSoulagé, vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nグレゴリー\nBen, ouais... Je crois que ça m'a fait du bien,\nde savoir que vous étiez pas complètement\nidentique à notre Dragon divin.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Au fond, si vous étiez les mêmes personnes,\nje vous aurais autant fait confiance à l'un\nqu'à l'autre...\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Sauf que je me serais sans arrêt demandé\nsi vous alliez pas finir par y passer, vous aussi.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Le truc, c'est que je sais bien que vous êtes une\npersonne distincte, mais ça m'inquiète quand\nmême. Pourquoi il faut que je ressente ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nVous avez vraiment peur pour moi...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nグレゴリー\nJ'ai un peu honte de l'admettre, mais je\npige pas grand-chose à ce concept d'amour\nsur lequel tout le monde aime s'épancher.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Si l'amour consiste à trouver quelqu'un\nde si important qu'on est terrifié à l'idée\nde le perdre, alors peut-être bien que...\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Je veux rester à vos côtés et vous protéger.\nMaintenant et pour toujours.\x0E\x04\x02\x00
MID_RELIANCE_S_#019	Du coup, je me demandais... si je pouvais,\npeut-être, devenir votre partenaire.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nグレゴリー\nBon, si ça vous paraît si horrible, vous\navez qu'à le dire, hein.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nHé hé...\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Ça ne me paraît pas horrible du tout. Je suis\nmême très heureu\x0E\x0A\x00\x0A\x02x\x04se d'apprendre ce que\nvous ressentez.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Et si c'est vraiment ce que vous voulez,\nalors... j'aimerais vous offrir l'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nグレゴリー\nVotre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nHa ha... J'avais prévu de vous dire à quel\npoint vous comptiez pour moi. Mais voilà,\nvous l'avez fait en premier.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Je compte bien devenir plus fort\x0E\x0A\x00\x06
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nグレゴリー\nJ'ai hâte de nous voir évoluer ensemble.\nJ'avais peur que vous me repoussiez...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Mais je suis content d'avoir eu le courage\nde vous parler. Même si c'est pas du tout\nmon style...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Je chérirai cet anneau. Il représente\nle lien qui nous unit.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nグレゴリー\nCe sentiment que je ressens... est si intense\nqu'il en est douloureux. Mais ça ne fait rien.\nAvec vous, rien ne pourrait me blesser.\x0E\x04\x00\x00
