MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Sabes qué, Rosado?\nSiempre he pensado que eres muy mono.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nAsí que tu singularidad es\nlo que te da confianza... Me gusta.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\n¡Eso es! Espero que te ayude,\nnada me alegraría más.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nGracias. Lo que me has dicho me ha llegado\nmuy hondo. Ya hablaremos en otra ocasión.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\n¡Claro, cuando quieras!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nRosado, gracias por la charla del otro día.\nLo cierto es que yo también soy diferente.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\n¡Cuéntame! Quiero saber todo\nlo que te hace única.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nBueno, mi familia... es muy pobre.\nPor eso, siempre me he sentido fuera de lugar.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\n¡Y ojalá solo fuera eso! También me gustan\nlas plantas silvestres y soy extrañamente fuerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nMe obsesiono tanto con mis excentricidades\nque me cuesta confiar en mí misma.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nNo hay nada malo en lo que eres.\nSabes mucho sobre plantas y eres fortísima.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nSi lo dices así, incluso suena como si fuesen\ncualidades positivas, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nAún te cuesta hablar de eso, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nSí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nSi sirve de ayuda, puedo revelarte un secreto:\nsiempre te he admirado, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nEspera... ¿Tú me admiras a mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nSí, incluso cuando éramos enemigos,\nen el Gran Puente.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\n¡Llevabas una espada enorme!\nParecías tan fuerte, tan elegante...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nRecuerdo que sentí mucha envidia\nporque yo jamás podría ser así.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\n¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nSí. ¿Cómo te hiciste tan fuerte, por cierto?\n¿Solo entrenando?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nNo... Es que en mi hogar\nsolía luchar contra muchos osos.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\n¡Osos! Entonces tu gran fuerza proviene\ndel lugar donde te criaste.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nSí... ¡supongo que sí!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nGracias por contarme todo esto, Rosado.\nYa me siento con más confianza.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nAlgún día podré decir que estoy orgullosa\nde mi hogar porque me ha hecho lo que soy.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nPuede que no pronto, pero algún día...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nCreo que es un objetivo fantástico.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nCuando llegue el momento,\ndilo blandiendo esa enorme espada.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nClaro. Hasta conseguiré una más grande\npara que todo el mundo la vea.\x0E\x04\x00\x00
