MID_WU_C_1_IN_#001	¿Puedo pasar?
MID_WU_B_1_SOON_#001	Ah, ¿os apetece dormir un poco más?
MID_WU_B_1_SOON_#002	Ya me había hecho a la idea de esperar\na vuestro lado un rato.
MID_WU_B_1_SOON_#003	Así que no tengáis ninguna prisa.
MID_WU_B_1_WAKEUP_#001	No deberíais cargaros\ncon tantas responsabilidades.
MID_WU_B_1_WAKEUP_#002	Siempre andáis \x0E\x0A\x00\x1C\x0Cmetido\x0Cmetida en algún lío...
MID_WU_B_1_WAKEUP_#003	Tenéis que aprender a cuidaros más.
MID_WU_B_1_HELLO_#001	Muy buenas.
MID_WU_B_1_HELLO_#002	Me alegra ver que ya os habéis despertado.
MID_WU_B_1_HELLO_#003	Aunque os habéis hecho un poco \x0E\x0A\x00.\x14el remolón\x16la remolona.
MID_WU_B_1_HELLO_#004	Pero no os preocupéis...
MID_WU_B_1_HELLO_#005	No se lo contaré a nadie.
MID_WU_B_2_IN_#001	¡Ay!
MID_WU_B_2_IN_#002	Me he golpeado un dedo del pie.
MID_WU_B_2_IN_#003	Arg, cómo duele...
MID_WU_B_2_SOON_#001	¿Os he despertado?
MID_WU_B_2_SOON_#002	Es que me he hecho daño en un pie.
MID_WU_B_2_SOON_#003	Os aconsejo que tengáis cuidado\ncon los escalones,
MID_WU_B_2_SOON_#004	porque no os imagináis el daño que hace...
MID_WU_B_2_SOON_#005	Bueno, hasta luego.
MID_WU_B_2_WAKEUP_#001	Qué escalones más duros...
MID_WU_B_2_WAKEUP_#002	Os envidio, tan a gustito en vuestra\ncómoda cama.
MID_WU_B_2_WAKEUP_#003	Aunque, si la adornaseis con algún peluche,
MID_WU_B_2_WAKEUP_#004	seguro que os resultaría aún más apetecible.
MID_WU_B_2_HELLO_#001	Divinidad,
MID_WU_B_2_HELLO_#002	si queréis que vuestros sueños\nsean más plácidos,
MID_WU_B_2_HELLO_#003	os aconsejo que os hagáis\ncon unos cuantos peluches.
MID_WU_B_2_HELLO_#004	A mí abrazarlos me relaja muchísimo.
MID_WU_A_1_IN_#001	Odio tener que molestaros,
MID_WU_A_1_IN_#002	pero me pedisteis que os despertara, así que...
MID_WU_A_1_SOON_#001	¿Os apetece dormir algo más?
MID_WU_A_1_SOON_#002	Lo comprendo.
MID_WU_A_1_SOON_#003	No hay nada mejor que una cama cómoda.
MID_WU_A_1_SOON_#004	Aunque luego cuesta mucho levantarse, claro.
MID_WU_A_1_WAKEUP_#001	¿Todavía seguís durmiendo?
MID_WU_A_1_WAKEUP_#002	Vamos, por favor...
MID_WU_A_1_WAKEUP_#003	Si no os despertáis,
MID_WU_A_1_WAKEUP_#004	os daré golpecitos en la frente,
MID_WU_A_1_WAKEUP_#005	como me hicisteis vos el otro día.
MID_WU_A_1_HELLO_#001	Ah, he logrado despertaros así.
MID_WU_A_1_HELLO_#002	He procurado que el golpe fuera\nlo más suave posible.
MID_WU_A_1_HELLO_#003	No quisiera haceros daño por nada del mundo...
MID_WU_A_2_IN_#001	Ahora que lo pienso...
MID_WU_A_2_IN_#002	al otro Dragón Divino nunca tuvimos\nque despertarlo.
MID_WU_A_2_SOON_#001	Perdón, ¿hablaba en voz alta?
MID_WU_A_2_SOON_#002	Estaba rememorando viejos tiempos...
MID_WU_A_2_SOON_#003	Me encanta encargarme de despertaros,\nno lo dudéis.
MID_WU_A_2_WAKEUP_#001	¿Sabéis?
MID_WU_A_2_WAKEUP_#002	En el otro mundo jamás os vi dormir.
MID_WU_A_2_WAKEUP_#003	Se me hace raro pensarlo.
MID_WU_A_2_WAKEUP_#004	Decidme, ¿acaso estabais siempre \x0E\x0A\x00(\x12despierto\x12despierta?
MID_WU_A_2_WAKEUP_#005	Seguro que no...
MID_WU_A_2_HELLO_#001	Buenos días.
MID_WU_A_2_HELLO_#002	Necesitáis tener a una persona siempre\npendiente de vos, ¿eh?
MID_WU_A_2_HELLO_#003	Lo más curioso
MID_WU_A_2_HELLO_#004	es que empiezo a cogerle el gusto.
MID_WU_S_1_IN_#001	¿Seguís en la cama?
MID_WU_S_1_IN_#002	Ay, por favor...
MID_WU_S_1_IN_#003	Me acabo de dar cuenta de lo \x0E\x0A\x00\x14\x08mono\x08mona\nque estáis cuando dormís.
MID_WU_S_1_SOON_#001	Buenos días.
MID_WU_S_1_SOON_#002	Me alegro de que os hayáis levantado\ntan temprano.
MID_WU_S_1_SOON_#003	¿Que por qué motivo?
MID_WU_S_1_SOON_#004	Pues porque, si hubiera contemplado\nun segundo más vuestro rostro mientras dormís,
MID_WU_S_1_SOON_#005	mi corazón habría empezado a latir tan deprisa
MID_WU_S_1_SOON_#006	que me habría explotado de puro gozo.
MID_WU_S_1_WAKEUP_#001	Transmitís tanta paz...
MID_WU_S_1_WAKEUP_#002	No cambiaría este momento\npor nada del mundo.
MID_WU_S_1_WAKEUP_#003	Me pasaría una eternidad observándoos.\nPero, ya que me habéis traído aquí,
MID_WU_S_1_WAKEUP_#004	pienso arriesgar mi vida por vos.
MID_WU_S_1_WAKEUP_#005	Lucharé con denuedo por protegeros.
MID_WU_S_1_WAKEUP_#006	Os prometo que, a partir de ahora,
MID_WU_S_1_WAKEUP_#007	por más heridas que sufra en combate,
MID_WU_S_1_WAKEUP_#008	las soportaré...
MID_WU_S_1_WAKEUP_#009	con tal de que vos estéis a salvo.
MID_WU_S_1_HELLO_#001	Ya estáis en pie.
MID_WU_S_1_HELLO_#002	Espero que ambos superemos el día\nsanos y salvos.
MID_WU_S_1_HELLO_#003	Buscad refugio a mi lado
MID_WU_S_1_HELLO_#004	si las cosas se ponen feas.
MID_WU_S_1_HELLO_#005	Juro que os protegeré.
MID_WU_S_2_IN_#001	He venido a despertaros, \x0E\x0A\x00H"querido compañero"querida compañera.
MID_WU_S_2_IN_#002	Ay, qué vergüenza me dan estas cosas...
MID_WU_S_2_SOON_#001	¿Os habéis levantado tan deprisa\npara hacerme sentir mejor?
MID_WU_S_2_SOON_#002	Gracias...
MID_WU_S_2_SOON_#003	Estos detalles
MID_WU_S_2_SOON_#004	son los que me llevan a querer mimaros
MID_WU_S_2_SOON_#005	y a hacer cuanto pueda por veros feliz.
MID_WU_S_2_WAKEUP_#001	Ay, Divinidad...
MID_WU_S_2_WAKEUP_#002	Cuando me entregasteis el Anillo del Pacto,
MID_WU_S_2_WAKEUP_#003	fue como despertar a un maravilloso\nmundo nuevo. Os lo agradezco tanto...
MID_WU_S_2_WAKEUP_#004	Desde entonces, noto como mariposas\nen el estómago.
MID_WU_S_2_WAKEUP_#005	Pero procuraré mantener los pies en el suelo.
MID_WU_S_2_WAKEUP_#006	Solo espero ser capaz, algún día,\nde haceros sentir \x0E\x0A\x00\x1C\x0Cseguro\x0Csegura a mi lado.
MID_WU_S_2_WAKEUP_#007	Debo reconocer que mi amor por vos\ncrece cada día que pasa.
MID_WU_S_2_WAKEUP_#008	Así que con gusto dedicaría el resto de mi vida\na protegeros de cualquier mal.
MID_WU_S_2_HELLO_#001	Buenos días.
MID_WU_S_2_HELLO_#002	La batalla me reclama una vez más.\nEsta vez, no pienso huir.
MID_WU_S_2_HELLO_#003	Pero, antes de marcharme,
MID_WU_S_2_HELLO_#004	me gustaría abrazaros durante unos minutos.
MID_WU_S_2_HELLO_#005	Solo cuando os tengo cerca de mí,
MID_WU_S_2_HELLO_#006	me siento verdaderamente seguro.
