MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Ah! ¡Una aberración!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08リュール\nHa sido una analogía un tanto extraña,\npero me alegro de que lo hayas comprendido.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08リュール\nSiento que hayas tenido que verme\nen una tesitura tan poco digna.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08リュール\nOjalá estuviera yo tan \x0E\x0A\x00L$seguro de mí mismo$segura de mí misma\ncomo tú, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Seguro de mí mismo? Mmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nJamás te había visto tan preocupado, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, Divinidad. Os pido disculpas.\nPensaba que no había nadie más aquí.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¿Qué llevas ahí?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nUna medalla que me dio mi padre hace tiempo.\nUna condecoración del rey.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nDel rey Morion...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNuestro ejército libraba una intensa batalla\ncontra Elusia... Estábamos rodeados.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nNecesitábamos salir de aquella situación,\nasí que tomé la iniciativa a la desesperada.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nA la vuelta, padre me otorgó esta medalla.\nFue la primera vez que me vio como a un líder.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque, a veces... me pregunto...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Nos salvó mi iniciativa o fue todo producto\nde la suerte? Quizá no merezca esta distinción.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nAh, conque el príncipe heredero de Brodia\ntambién tiene momentos de duda...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSiento decepcionaros.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nPara preservar la dignidad de mi país, os pido\nque no le reveléis a nadie esta conversación.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nClaro. Yo también te mostré mis inseguridades\ncon aquella aberración. Estamos empatados.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nAunque quisiera decir una cosa...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Mmm?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nAhora que conozco tu lado vulnerable,\nte siento más cercano a mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nLa vulnerabilidad no siempre es algo malo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSí que sois \x0E\x0A\x00\x0E\x04un\x06una líder peculiar, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Divinidad? ¿Estáis entrenando?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nSí. Siempre tengo la sensación\nde que no soy lo bastante fuerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLa verdad es que... me siento \x0E\x0A\x000\x16intranquilo\x16intranquila...\ny frágil. ¿Así cómo quiero restablecer la paz?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurre, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nEstoy sorprendido. Jamás habría imaginado\nque vuestra Divinidad albergase tales dudas.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nClaro que sí. Siempre me preocupo.\n¡No dejan de caer orugas en mi plato!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Ja, ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nSabes a lo que me refiero, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSí, y también he comprendido lo que dijisteis\nde la vulnerabilidad. Ahora os siento más cerca.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\n¿En serio? ¿A estas alturas? Pero si ya conocías\nde antes esa faceta mía.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nCaí presa del pánico y salí huyendo\nde aquella aberración.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nLo recuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nMe refiero a que con vuestra merced me siento\ncómodo para hablar de mis inseguridades.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nSi no fuese por vos, aún seguiría obsesionado\ncon esa medalla y con la reacción de mi padre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nOs estoy muy agradecido, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nLo mismo digo. Es un alivio tener un aliado\na quien le puedo hacer confidencias.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nCreo que tenemos mucho en común.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nQuizá estéis en lo cierto.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nSigamos así. Aunque para los demás seamos\nreservados, siempre puedes charlar conmigo.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¿Divinidad? ¿Podemos hablar?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDesde luego. ¿Qué ocurre, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMe gustaría entregaros esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n¿Es un anillo?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nSí, hecho a partir de la medalla que me dio\npadre. La he fundido y reforjado.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\n¡¿Es la medalla de tu padre?! ¿Por qué lo\nhas hecho? Creí que era muy valiosa para ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nEn Brodia, es tradición que las medallas\nse transformen al cambiar de manos.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nAun así, no sé si debo aceptarlo.\nTiene un gran valor para ti...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nQueríamos que confiásemos el uno en el otro,\n¿no? Y que nos ayudásemos mutuamente.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nEsta es mi forma de demostraros\nque siempre estaré ahí si me necesitáis.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nYa entiendo...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Bien? ¿Aceptáis el anillo, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nDiamant...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNo sé si soy dign\x0E\x0A\x00\x08\x02o\x02a de un regalo\ntan personal.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nSupongo que tendré que hacer\ntodo lo posible para estar a la altura.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEntonces, ¿lo aceptáis?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nSí, lo acepto.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nCuánto me alegro, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nEs curioso... Resulta que yo también\nquería darte algo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cディアマンド\n¿El Anillo del Pacto?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nHabía pensado en dártelo antes,\npero te me has adelantado.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nPero, este anillo es muy importante...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\n¡También el que me has dado tú!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nNo quiero luchar junto a nadie más,\nDiamant. No aceptaré un no por respuesta.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nDisfruto demasiado combatiendo a vuestro\nlado como para negarme. Acepto el regalo.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nPuedo sentir la historia de los Dragones Divinos\nen este anillo, la mismísima historia de Lythos.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nYo siento la historia de Brodia\nen tu anillo, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nBajo diferentes formas, ha pasado de padres\na hijos durante muchas generaciones.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nTendremos que esforzarnos de lo lindo\npara que nuestro legado no palidezca a su lado.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cディアマンド\nEso no me preocupa. Cuando trabajamos\njuntos, no hay nada imposible.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nJuro protegeros, Divinidad. A partir de este\nmomento, siempre estaré con vos.\x0E\x04\x00\x00
