MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nJa, ja...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\n¡Así se habla!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\n¿Qué os pareció la carrerita del otro día?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nFue la primera vez que le di cien vueltas a algo.\nAquella noche dormí como un tronco.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nY a la mañana siguiente tenía agujetas.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nOh... Debería habéroslo advertido.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\n¡Pero la carrera tuvo el efecto que dijiste!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nMientras corría, las preocupaciones se iban\nde mi cabeza. Mi mente estaba despejada.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nA decir verdad, fue bastante extraño.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\n¡Veo que lo habéis entendido!\nEs un honor haber podido ayudaros.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nPero no hemos acabado. La próxima vez,\nusaréis un bálsamo muscular al terminar.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\n¿Un qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nConviene dejar que la musculatura se recupere\ntras el ejercicio intenso para evitar molestias.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAaah. Tiene sentido.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSi continúo corriendo con el bálsamo ese,\n¿lograré tener tanta autoconfianza como tú?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nClaro. Conmigo funciona,\ny yo soy una persona normal.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nSi seguís este régimen de ejercicios, acabaréis\ndeslumbrando con vuestra seguridad.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nLo dices tan convencida que casi me lo creo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nAntes me contentaba con dejar que tu confianza\nme inspirase, pero con estos ejercicios...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nquizá pueda inspirar a los demás como tú\nhiciste conmigo. Me has ayudado mucho, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nPor favor, vuestra Divinidad...\nVais a hacer que me sonroje.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nEste parece un buen momento para salir\na correr. ¡Hasta otra ocasión!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\n¡Espera!...\nSe ha puesto a correr de la vergüenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nEn fin, la seguiré. ¡Así podré darle algunas\nvueltas al Somniel yo también!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\n¿Qué os pasa últimamente, que siempre salís\na correr sol\x0E\x0A\x00\x08\x02o\x02a? Cualquiera diría que huis de mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nVerás, es que...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nエーティエ\nSi es por algo que yo haya dicho o hecho,\nsinceramente os pido disculpas.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nDéjame terminar. Hay una idea que no deja\nde darme vueltas en la cabeza.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nY, por más que salgo a correr, no consigo\nolvidarla. Ya no sé qué hacer.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nLamento el incordio, pero ¿te importa\nque me desahogue contigo?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nエーティエ\nAdelante.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nEs que me gustaría que estuviéramos\nmás unid\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nエーティエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nエーティエ\nClaro. Me parece bien.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\n¿Qué? ¿Así de sencillo?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nエーティエ\nLo decís en el sentido de entrenar junt\x0E\x0A\x00\x08\x02o\x02as, ¿no?\nAlguien que supervise...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nBueno... no exactamente.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nMe refería a permanecer unid\x0E\x0A\x00\x08\x02o\x02as en lo bueno\ny en lo malo, y quería darte el Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nエーティエ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nエーティエ\n¡¿En serio?!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nエーティエ\nY será verdad... ¿Por qué iba a merecer yo\nuna cosa tan importante?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEn parte, por la seguridad que desprendes.\nSolo con tenerte cerca ya me siento más fuerte.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nPero también por tu gentileza y determinación.\nSé que eres la persona indicada.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nHace tiempo que quería sacar el asunto\na colación, pero temía una negativa por tu parte.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nエーティエ\nConque por eso salíais a correr sol\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nSí.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nエーティエ\nBueno, pues quedaos tranquil\x0E\x0A\x00\x08\x02o\x02a: de ahora\nen adelante, siempre saldremos a correr junt\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nエーティエ\nVamos a dar millones de vueltas\nen la carrera de la vida.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\n¿Aceptas, entonces?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nエーティエ\nClaro. Lo que sea con tal de ayudar.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\n¡Gracias!\nMe he quitado un peso enorme de encima.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nエーティエ\nEste tema me ha dado un montón de energía.\nNecesito trotar un poco para desfogar.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nエーティエ\n¿Os apuntáis? ¿Corremos por el Somniel\nhasta que no podamos más?\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nMagnífica idea. ¡Cuando quieras!\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nエーティエ\nPues en marcha, \x0E\x06\x03\x00.\n¡\x0E\x0A\x00@\x1ETonto el último\x1ETonta la última que llegue al Somniel!\x0E\x04\x00\x00
