MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nMmm... ¿Qué puedo hacer?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\n¿Le pones tu mejunje muscular a todo esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nAsí es. Pero no os quedéis ahí mirando: probad.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nMuy bien. A zampar se ha dicho...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nEstá... ¡Está buenísimo!\nEstá dulce, pero no llega a empalagar.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nEn ese, he sustituido el azúcar\npor un tónico muscular edulcorado.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nAsí puedo comer cuanto quiera\nsin temor a perder el tono muscular.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\n¡Delicioso y encima sano! Pues voy a tener\nque servirlo en mi propia fiesta.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nAdemás, es una idea totalmente novedosa:\n¡comer y entrenar a la vez!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nYa os lo dije.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\n¡Empezaré ya a planificar! ¿Me ayudas, Etie?\nAl fin y al cabo, ha sido idea tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nClaro que sí, pero con una condición.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nAntes daremos diez vueltas corriendo al\nSomniel. Luego, mil flexiones, mil sentadillas y...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\n¡Para el carro!\n¿Por qué tengo yo que hacer todo eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nSois el anfitrión. Debéis esforzaros al límite\npara dar buen ejemplo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nAsí adquiriréis de primera mano la experiencia\nnecesaria para dar una fiesta de este tipo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nBien... Pero dame cuartelillo, ¿vale?\nNunca he hecho esto antes.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nEntendido. Os apretaré lo justo\npara no sobrepasar vuestro límite.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\n¡Oye, oye! ¡Tampoco hace falta pasarse!\x0E\x04\x00\x00
