MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nNo me interesan tus juegos, Zelkov.\nDime qué quieres.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\n¿A qué viene ese cambio de *opinión*?\nDijiste que no deseabas hablar más de aquello.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nSí, sí... Ya sé lo que dije.\nYo también estaba allí.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nMe preocupaba que hablar del tema demasiado\nfuera... demasiado, pero qué va.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nMás bien ha sido lo contrario. Hablar de ello\nme ha ayudado a poner distancia, ¿entiendes?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Podrías explicármelo?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nA ver... Nunca puedo hablar abiertamente\ncon nadie. Creo que me ha venido bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nQuizá tengas razón. Aunque ¿qué otros temas\nnos quedan por *tratar* exactamente?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nNo me *gusta* hablar de cómo acabé\ndedicándome a nuestra ocupación.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMe temo que es una historia trágica\ne inadecuada para una charla *agradable*.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nSi yo te contara... Esa etapa de mi vida\nfue una pesadilla.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nLo mismo digo. Era mucho peor que cualquier\n*desafío* al que nos enfrentamos ahora.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nPero me atrevería a decir que tú no *elegiste*\nemprender una vida dedicada al crimen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\n¿Por qué dices eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nSolo observándote, me da la sensación\nde que *no* tienes remordimientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nPor eso deduzco que no eras *responsable*\nde las circunstancias.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nBuena deducción...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nEs más, tu vida actual se puede considerar\ncomo una *consecuencia* natural de tu pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nDicho de otro modo, tú eres como una flor\nque se ha *nutrido* del fertilizante del pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nQué analogía tan profunda... Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nLas palabras tienen peso, Zelkov, y cada una\nde las tuyas es más densa que la anterior.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nAunque tiene gracia... Al oírlas, me siento\nmás ligera. Será cosa de nuestro vínculo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nQué halago...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nHe estado pensado en lo que haré cuando acabe\ntodo esto y por fin vuelva la paz al mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nLo que más deseo es ir a un sitio donde pueda\ndesquitarme, relajarme y disfrutar de la vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nEso *suena* maravilloso.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nLlegado ese momento, espero que vayas\na visitarme de vez en cuando.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nCon mucho gusto. Así podríamos *conversar*\nde eso que tú y yo sabemos.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\n¡Oh, sí! ¡Claro! Nos arreglaríamos el pelo,\nhablaríamos de armas ¡y muchas cosas más!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nSí... pero hemos de arreglar el presente\npara cumplir *nuestro* futuro soñado.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nEso es. Aunque tengamos un pasado oscuro,\nnada nos impedirá vivir un futuro brillante.\x0E\x04\x00\x00
