MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\n¿Será buena idea?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nSí. Pero estoy decidido a llegar\na esa cabaña cueste lo que cueste.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nCuánto admiro tu *determinación*.\nTe deseo suerte nuevamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nGracias. Espero poder traerte mejores noticias\nla próxima vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\n¡Lo he logrado! ¡He llegado a la cabaña!\n¡Aquí estoy, Sabio del Bosque!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nExcelente... Por fin has *llegado*.\nBienvenido. Yo soy el Sabio del Bosque.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\n¿Eh? ¡¿Eres... Zelkov?!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nNo lo entiendo. ¿Qué está pasando?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nComo prometí, aquí tienes la *medicina*.\nVenga, tómatela.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nEh... De acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nQué dulce. Sabe a... caramelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nCorrecto. No es más que una *chuchería*.\nComo mucho, te hará el camino más llevadero.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEn cuanto a tu *sentido* de la orientación, has\nllegado a este recóndito lugar sin apenas ayuda.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nQuizá eso ya *dice* bastante de tu habilidad...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\n¡Oh! ¡He mejorado sin darme cuenta!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n*Exactamente*.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nHabía oído hablar de tu punto débil y pensé\nque merecía la pena ayudarte a *reforzarlo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nAsí es como nació el *Sabio del Bosque*...\nDiseñé esta estratagema para traerte aquí.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nSí que te has tomado molestias por mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nMe encanta fijarme *objetivos*.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nAl principio, solo pensaba *enseñarte* métodos\nde orientación, pero me pareció muy simple.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nNecesitaba un plan más complejo, como *este*.\nEspero que hayas disfrutado de la experiencia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\n¡Y tanto! Gracias por organizar todo esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nEres tan *caballeroso* como me habían dicho.\nOtros se habrían tomado a mal el engaño.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\n¿A mal? Qué tontería.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nMe gustaba la idea del Sabio del Bosque.\nIncluso esperaba que nos hiciéramos amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Y *eso* por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nPor la nota tan agradable que me dejó...\ny porque me tapó con una manta.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nEstaba claro que se preocupaba por mí.\nMe parecía una gran persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nブシュロン\nSolo hay un problema... Dudo que esto\nme ayude realmente a orientarme mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Cómo? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nNo eres la primera persona que ha intentado\nayudarme a mejorar esa faceta.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nPero nada ha dado resultado. Había depositado\ntodas mis esperanzas en aquella medicina.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nブシュロン\nPero, al final, no era más que un caramelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nブシュロン\n¿Estás bien, Zelkov? Lo siento mucho.\nTe habrás llevado una decepción.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, amigo mío. *Justo* lo contrario.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nEs una meta más ambiciosa de lo que esperaba.\nAhora debo pensar en mi próximo movimiento...\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0C\nブシュロン\n¿Cómo que tu "próximo movimiento"?\n¿Vas a empezar de nuevo?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nPronto recibirás una misiva del Sabio del Mar.\nEspero que *atiendas* a sus instrucciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0C\nブシュロン\nDe acuerdo...\nComo desees, oh, gran sabio Zelkov.\x0E\x04\x00\x00
