MID_Movie_S02	Una batalla del pasado
MID_Movie_C08	Céline
MID_H_Movie_C08	La princesa Céline va al encuentro del\npríncipe Alfred mientras Louis y Chloé\nmantienen a raya a las aberraciones.
MID_Movie_C09	La reina Ève
MID_H_Movie_C09	La reina Ève está siendo interrogada por\nun general elusiano cuando llega Zephia,\ncomandante del ejército atacante.
MID_Movie_C10	Cabos sueltos
MID_H_Movie_C10	Zephia castiga a Nelucce por su fracaso\nen el castillo de Firene y luego da la\nbienvenida a una misteriosa figura.
MID_Movie_C11	Alcryst
MID_H_Movie_C11	Alcryst toma a \x0E\x06\x03\x00 y a Alfred\npor bandidos. Una vez aclarado todo,\nse disculpa profusamente.
MID_Movie_C12	Hortensia
MID_H_Movie_C12	La princesa Hortensia de Elusia busca\nlos anillos Emblema. En el Gran Puente,\nintenta frenar a \x0E\x06\x03\x00.
MID_Movie_C13	El Emblema oscuro
MID_H_Movie_C13	Hortensia controla un Emblema oscuro,\nlo que demuestra que el Dragón Caído\ntambién puede invocar Emblemas.
MID_Movie_C14	La lucha de Veyle
MID_H_Movie_C14	Veyle se impone a sus enemigos.\nSin embargo, se da cuenta de que\naún no es lo suficientemente fuerte.
MID_Movie_C15	Revés
MID_H_Movie_C15	Tras caer ante el rey Hyacinth, el rey\nMorion es llevado a Elusia. Ivy impide\nque \x0E\x06\x03\x00 pueda salvarlo.
MID_Movie_C16	La aberración del rey Morion
MID_H_Movie_C16	\x0E\x06\x03\x00 encara al rey Hyacinth\nen la catedral de Destinea. El rey Morion\nha sido convertido en una aberración...
MID_Movie_C17	Aliados robados
MID_H_Movie_C17	Sombron usa los anillos arrebatados a\n\x0E\x06\x03\x00 para invocar Emblemas\ny usarlos para sus malvados fines.
MID_Movie_C18	Fogado
MID_H_Movie_C18	\x0E\x06\x03\x00 y el grupo se han perdido\nen el desierto de Tullah cuando ven a\nFogado, capitán de los Centinelas.
MID_Movie_C19	Baile entre ruinas
MID_H_Movie_C19	Una voz guía al bailarín Seadall hacia\nla salvación impidiendo que muera\na manos de las aberraciones.
MID_Movie_C20	Molinos en llamas
MID_H_Movie_C20	Las llamas arrasan Florra, una bella\nciudad conocida por su puerto y sus\nmolinos que ha sido invadida por Elusia.
MID_Movie_C21	La otra Veyle
MID_H_Movie_C21	El sortilegio de Zephia despierta el lado\noscuro de Veyle, quien, con un Emblema\noscuro, se enfrenta a \x0E\x06\x03\x00.
MID_Movie_C22	Vástago del Dragón Caído
MID_H_Movie_C22	Griss ve a \x0E\x06\x03\x00 invocar\na un Emblema con una invocación.\nEntre risas, le revela un terrible secreto.
MID_Movie_C23	El desafío de Marni
MID_H_Movie_C23	Marni intenta sin éxito destruir\nel artefacto que controla a Veyle\ny sufre la ira de Zephia.
MID_Movie_C24	La piedra dragón destrozada
MID_H_Movie_C24	El Dragón Divino cae para proteger\na Veyle. La piedra dragón que esta\nsostiene se resquebraja al oír la verdad.
MID_Movie_C25	El despertar de Veyle
MID_H_Movie_C25	Veyle logra imponerse a su personalidad\noscura y revive a \x0E\x06\x03\x00,\naunque en forma de aberración.
MID_Movie_C26	Los Cuatro Mastines
MID_H_Movie_C26	Tras caer derrotados, Zephia y Griss\nabren sus corazones en sus últimos\nmomentos.
MID_Movie_C27	El rencuentro
MID_H_Movie_C27	Veyle se enfrenta a la protectora de\nla última lasca del Dragón: Lumera,\nconvertida en aberración por Sombron.
MID_Movie_C28	Un último adiós
MID_H_Movie_C28	A punto de morir, Lumera recupera\nla memoria. Antes de que se desvanezca,\n\x0E\x06\x03\x00 se despide de ella.
MID_Movie_C29	Emblemas anulados
MID_H_Movie_C29	Los Emblemas desaparecen cuando\nSombron cierra el portal. \x0E\x06\x03\x00\ny sus aliados se preparan para luchar.
MID_Movie_C30	Trece lazos
MID_H_Movie_C30	De nuevo, \x0E\x06\x03\x00 invoca a los\nDoce Emblemas. Tras sumar el Emblema\nfinal, da comienzo la última batalla.
MID_Movie_C31	Sombron Caído
MID_H_Movie_C31	Cuando parece que Sombron ha sido\nderrotado, este sonríe impávido y adopta\nsu verdadera forma de Dragón Caído.
MID_Movie_K01	Emblema Sigurd
MID_H_Movie_K01	Emblema Sigurd, invocado desde\nel Anillo del Caballero Sacro.
MID_Movie_K02	Emblema Celica
MID_H_Movie_K02	Emblema Celica, invocado desde\nel Anillo de la Princesa Amable.
MID_Movie_K03	Emblema Micaiah
MID_H_Movie_K03	Emblema Micaiah, invocado desde\nel Anillo de la Dama del Alba.
MID_Movie_K04	Emblema Roy
MID_H_Movie_K04	Emblema Roy, invocado desde\nel Anillo del Joven León.
MID_Movie_K05	Emblema Leif
MID_H_Movie_K05	Emblema Leif, invocado desde\nel Anillo del Lord Sabio.
MID_Movie_K06	Emblema Lyn
MID_H_Movie_K06	Emblema Lyn, invocado desde\nel Anillo de la Noble de Sacae.
MID_Movie_K07	Emblema Lucina
MID_H_Movie_K07	Emblema Lucina, invocado desde\nel Anillo de la Venerable.
MID_Movie_K08	Emblema Ike
MID_H_Movie_K08	Emblema Ike, invocado desde\nel Anillo del Héroe Resplandeciente.
MID_Movie_K09	Emblema Byleth
MID_H_Movie_K09	Emblema Byleth, invocado desde\nel Anillo del Instructor.
MID_Movie_K10	Emblema Corrin
MID_H_Movie_K10	Emblema Corrin, invocado desde\nel Anillo del Quid del Destino.
MID_Movie_K11	Emblema Eirika
MID_H_Movie_K11	Emblema Eirika, invocado desde\nel Anillo de los Mellizos Azures.
