MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nPorfa, Bunet...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\n¡Ya lo creo!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\n¿De dónde proviene esa extraña afición tuya\npor la comida callejera? Eres de cuna noble.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nYa, y en casa únicamente se servían\nespecialidades de alta cocina.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nA muchos les suena maravilloso, pero yo un día\nasistí a unas celebraciones en Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nAllí noté un olorcillo a dulce y salado\nque venía de un callejón y lo fui siguiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nY así descubriste la gastronomía callejera.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nJusto. Sin pensármelo dos veces,\nme compré algo en el puesto y lo probé.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\n¡Me quedé sin palabras! Qué sabor, qué aroma,\nqué textura... Jamás había comido nada igual.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nPara una niña de familia adinerada,\nte suscitaría un entusiasmo casi pecaminoso.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nPor desgracia nunca me permitían\ncomer fuera de casa...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\n¡y menos aún comida callejera! Si se llegan\na enterar, habrían puesto el grito en el cielo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nYa veo. De modo que tuviste que renunciar\na ella mientras vivías en tu casa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nNo del todo. Después de probar aquel bocado,\nme escabullía a escondidas de mis padres.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nComía a lomos de mi pegaso y tiraba\nlos envoltorios para deshacerme de las pruebas.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nO sea, que los tirabas al suelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nSí, y me siento fatal por ello. Ahora siempre\nme cuido de tirar de la basura como es debido.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nEn fin, he ahí el resumen de mi vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nEntiendo esa pasión por la gastronomía;\nse asemeja mucho a la que yo siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nMe has convencido. Prepararé una especialidad\ncallejera para ti exclusivamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\n¡¿De verdad?!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nAunque tendrá una calidad suprema.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nEso es innegociable, así que luego no te quejes\nsi el resultado difiere de lo que esperabas.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nNada de quejas, te lo prometo. Gracias, Bunet.\n¡Me has alegrado la vida!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クロエ\n¡Estoy ansiosa por probar tu primer plato\nde comida callejera!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nComo ya te comenté, los ingredientes\nme dicen cómo desean ser cocinados.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nYa, eso me dijiste.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nY yo jamás desoigo sus deseos.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nAsí pues, he buscado por todas partes.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nHe intentado localizar ingredientes ávidos\nde convertirse en comida callejera.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\n¿Y has dado con alguno?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nSí, mira.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nMarisco de las lagunas de Solm y setas\nautóctonas de los bosques del reginato.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\n¡Caramba! ¡Qué color tan raro!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nY esta especia anestésica...\nEn cuanto la pruebes, te embotará el gusto.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\n¿Una especia... que anestesia?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nNo te asusta, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\n¿A mí? Tengo tantas ganas de probarla\nque casi no me aguanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nSabía que tu arrojo culinario saldría a relucir.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nY ahora, ¡he aquí la especialidad callejera\ndefinitiva!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\n¡Asombroso! ¡El emplatado presenta el punto\nexacto de cutrez que cabría esperar!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nPues no es ahí donde reside todo su esplendor.\nTe ruego que lo pruebes.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nAy, que me da algo...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\n¡Madre mía! La especia te atonta la lengua.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nPero la salsa le devuelve la sensibilidad,\ny la textura me ha dejado... ¡sin palabras!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nPor cosas como esta amo la comida callejera.\nSi se vendiera en un puesto, ¡sería clienta fija!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nQué extraño... En un principio, lo único\nque me empujó fue tu pasión por la comida.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nPero ahora lo veo como un paso necesario\nen el camino a la excelencia gastronómica.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nUn buen plato sabe igual servido en porcelana\nque en un humilde cucurucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nLa comida callejera es capaz de alegrar la vida\nde los comensales tanto como la alta cocina.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\n¡Exacto! Gracias, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nBien, ¿qué te apetece comer ahora?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クロエ\n¡¿Me vas a preparar algo más?!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nSiempre recibo con agrado las demandas\nde los verdaderos amantes del buen yantar.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06クロエ\n¿En serio? Comida callejera preparada\npor un chef... ¡Se me saltan las lágrimas!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nPues calma, que ni yo ni mis platos nos iremos\na ninguna parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クロエ\nYa, tienes razón. Hay tiempo de sobra\npara pensar.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クロエ\n¡El próximo plato callejero que te encargue\nquedará para la historia!\x0E\x04\x00\x00
