MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Yaaah!
MID_RELIANCE_B_#002	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nQué habilidad cortando leña, como siempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\nNo me lo digas: ¿vienes a por más?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nAsí es.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nEsta leña arde tan uniformemente que resulta\nidónea para controlar el calor de los fogones.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nEl risotto que preparé ayer... Pura perfección,\nincluso para lo que acostumbro.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nGenial, me alegra que los clientes\nestén satisfechos.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nLady Anna, debo preguntártelo: ¿de dónde\nproviene ese talento para cortar la leña?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nMmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nEra una de las tareas que me tocaba hacer\ncuando vivía en casa con mi familia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nEntiendo. Has trabajado sin descanso\ntoda la vida, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nAhora me has hecho recordar a mi familia.\nComíamos juntos un guiso de salmón tan rico...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\n¿Mmm? ¿Ocurre algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nNo, todo bien. Apártate y observa\ncómo trabaja una leñadora profesional.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Yaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nMmm... Ese hachazo se me ha ido un poco.\nQué raro.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nCuánto los echo de menos...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nHola, lady Anna.\nPareces bastante atareada.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nAh... Hola, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nNo creo que te interese la leña\nque he cortado hoy. Estoy en baja forma.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nNo vengo a por leña.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nTe he preparado un guiso de salmón.\nEspero que sepa parecido al que recuerdas.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\n¡Vaaaya! ¿Me lo puedo comer ya?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nClaro, sírvete antes de que se enfríe.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\n¡Muchísimas gracias!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\n¡Mmm! Ya voy entrando en calor.\nSabe igual que el de mi familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nMe alegro; entrañó cierto esfuerzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nHube de indagar sobre la gastronomía\nde tu aldea y buscar las especias adecuadas.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nNo tenía la certeza de haber conseguido\nreproducir el mismo sabor...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\n¡Por eso sabe como el de casa! Lo que\nhas hecho por mí me ha llegado al alma.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nSentía tanta morriña que no podía\nni cortar un tronco a derechas.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nPero saborear el hogar me ha dado ánimos.\n¡Estoy lista para partir cien troncos!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nSi vuelves a sentir nostalgia, ven a verme.\nAl menos te podré cocinar como en casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nMuchas gracias.\n¿Cuánto te debo por el guiso?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nNada, considéralo mi manera\nde darte las gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nAh, no, eso no es suficiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\n¿Cómo voy a seguir vendiendo leña\nsi empiezo a aceptar caridad?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nQué ladina eres.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nEntonces, págame con leña.\nDame lo que tú creas que vale mi guiso.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nTrato hecho. Incluiré un extra por ser la primera\nvez. ¡Es un placer hacer negocios contigo!\x0E\x04\x00\x00
