MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¡Jah! ¡Yah!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, no me hagas volver de manos vacías.\nYa no estoy para juegos.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nLa guerra es rentable y la nobleza ansía\nllenarse los bolsillos para los años venideros.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nYo, por contra, no tengo intención de participar\nen ninguna guerra mientras sea rey.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nMe agrada que así sea. Los nobles quedarán\ncontrariados, pero yo me ocupo de ellos.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nLamento ponerte en esa tesitura.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nPara nada. Lo prefiero a verme como tú:\ninmerso en eternos conflictos diplomáticos.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne, gracias por trasladar mi respuesta\na los nobles. Me quitaste un peso de encima.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSiento si eso te ha causado molestias.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nNingún miembro de la familia real tiene por qué\ndisculparse ante una simple vasalla, alteza.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n¿"Alteza"? Nunca te diriges a mí de esa forma.\n¿Está todo en orden?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nSí. Con permiso, mi señor, he de volver\na mis obligaciones.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nEspera. Dime qué está pasando.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nPor favor, Diamant, estoy en una posición\nmuy comprometida.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nNo conviene que me vean hablándole con tanta\nfamiliaridad al heredero al trono de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nSomos primos; nos conocemos de toda la vida.\n¿A qué viene todo esto?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nLos nobles recibieron vuestra respuesta con\ndesdén. He de medir mis palabras cuando\nme dirija a vos.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nSe está extendiendo el rumor de que mi familia\nestá confabulada con el futuro rey de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nTe he puesto en un brete mayor\nde lo que podía imaginar, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nNo importa, príncipe Diamant. Yo...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nNo tenía derecho a cargarte con semejante\nresponsabilidad. Voy a aclarar el asunto ya.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\n¡No! Lo único que conseguiríais sería\nenredar aún más las cosas.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNo tengo elección. Me han arrebatado\na mi prima y he de recuperarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nDe acuerdo. Me rindo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nRetomaré el tono coloquial... si me prometes\nque no perderás los estribos.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí me gusta. Y descuida.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\n"Descuida" no es ninguna promesa, Diamant.\n¡Prométeme que no empeorarás la situación!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nLo prometo. Confía en tu primo, ¿de acuerdo?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¿Qué voy a hacer?...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nMe pregunto si Diamant entiende siquiera\ncómo debe comportarse un futuro rey.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nHe oído mi nombre. ¿Necesitas algo de mí,\nCitrinne?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nNo, solo estaba... hablando conmigo misma.\n¿Necesitas tú algo de mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nVenía a avisarte de que les he enviado\nuna misiva a los nobles.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\n¡¿Cómo?! ¿A santo de qué? ¡Me prometiste que\nno empeorarías las cosas!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nTranquila. No menciono tu nombre\nen ningún momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nDejo claro que no participaré en ninguna guerra,\nsino que buscaré la prosperidad para Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí se acallarán los rumores, ¿verdad?\nNo quedará lugar para las teorías conspirativas.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nCon eso debería bastar, sí...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nLamento que hayas tenido que zanjar tú\nel problema, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNo, tendría que haber respondido en persona.\nPerdóname; te puse en un compromiso.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nY yo tendría que haber sido más directa.\nLa ambigüedad que mostré desató los rumores.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nEspero que las cosas se calmen pronto.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nEcho de menos los bailes de palacio,\npero temo que jamás vuelvan a celebrarse.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nEso depende de cómo desempeñe yo\nmis funciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nDe cómo desempeñemos ambos\nnuestras funciones, querrás decir.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nTienes razón. Necesitamos que todo el mundo\nponga de su parte para traer la paz a Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nCuento con tu apoyo, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nPor supuesto. Al fin y al cabo, somos primos,\ncasi hermanos.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nSí, así veo las cosas yo también\ny espero que así sea siempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nDiamant... ¿jugamos al pillapilla,\ncomo en los viejos tiempos?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Seguro que no prefieres jugar a las princesas?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nNo. Por algún motivo, me apetece el pillapilla.\n¡Tú la llevas!\x0E\x04\x00\x00
