MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTengo que darte las gracias, Jean.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nQué aroma... ¿Es el té de mi aldea?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nPues sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nComo te veía atascado con el estudio,\nhe pensado que necesitarías un descanso.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\n¡Muchas gracias, alteza!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nQué bien huele. Es tan relajante...\nMe trae muchos recuerdos de casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEscucha, Jean. La otra vez dijiste\nque no creías que el té pudiera salvar vidas.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nPero yo diría que a mí me ha salvado\nen numerosas ocasiones.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nQue el té... ¿os ha salvado?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nCuando las cosas no van bien y estoy baja\nde moral, sé que es la hora del té.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nEn esos momentos, una taza bien calentita\nme ayuda a recomponerme.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nDespués, todo mejora. Aunque solo sea\nporque he podido despejar la cabeza.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nCuando me enfrento a problemas muy graves,\n¿exagero si digo que el té me salva la vida?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nNo. Supongo que no.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nDe hecho, ¡ahora mismo me siento\nmás animado!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nGracias, princesa Céline. Hoy he aprendido\nuna gran lección que no está en este libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ジャン\nAunque, desde el punto de vista médico,\nno se puede decir que el té sane. Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNo tienes por qué disculparte.\nMe alegro de que te encuentres mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nCuando vuelva a casa y vea a mi madre,\nle diré que nuestro té es el mejor del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nSi lo duda, le haré una visita para decirle\nque su té siempre me alegra el día.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nDe hecho, si vuestra alteza está de acuerdo,\n¿podríamos tomar té ahora?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nTomar té a solas no es divertido, y además...\nme gustaría seguir hablando con vos.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\n¡Volveré a mis estudios en cuanto acabemos,\npor supuesto!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nNada me haría más feliz.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nA decir verdad, a mí también me apetecía\ntomar té. Siento no haberte invitado antes.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セリーヌ\n¿Vamos ya, entonces?\n¡El té da para muchas conversaciones!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ジャン\n¡Después de vos!\x0E\x04\x00\x00
