MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHola, Boucheron. Espero que no te importe\nque te haya preparado la comida.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\n¡Qué delicia! ¡Cada bocado es como probar\nun trocito de maná del cielo!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo está mal para empezar, aunque...\nseguro que tienes mucho más que comentar.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\n¿Otra vez con esas?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa última vez estuviste bien,\npero no te confíes. Hay margen de mejora.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\n¿No te basta con lo que he dicho ya?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHa sido un mero comentario general.\n¿Qué hay de cada ingrediente del plato?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTambién podrías opinar sobre mi aspecto,\npor ejemplo.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi todo esto te resulta tan abrumador,\ntendré que pedirte que dejes de comer.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nブシュロン\nQué mal... Ya imaginaba que esto iba a ocurrir,\npero he caído igualmente...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Tan mudo te ha dejado mi sabrosísima receta\nque no puedes dedicarme ni un cumplido?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi te produce semejante efecto, habrá que\nobligarte a vomitarla... Por tu propio bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nブシュロン\nNo hace falta... Te halagaré tanto\ncomo quieras, pero las manos quietas.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\n¿Eres tú, Goldmary?\n¿Qué haces aquí sola a oscuras?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAh, hola, Boucheron...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLe he preparado la comida a todo el mundo\ny apenas he recibido ningún cumplido.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDecían que tampoco era para tanto...\nasí que ahora estoy deprimida.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nPobrecita. Esa gente tiene mucho\nque aprender.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Eso crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nNo saben cuánto te exiges a ti misma.\nEres la campeona de la exigencia, diría yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nYo, en cambio, ya te conozco de sobra,\ny encuentro esa faceta maravillosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBoucheron... Cuánto me alegro...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nSi no te pusieras el listón tan alto,\nperderías parte de tu encanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nQué más da lo que piensen los demás.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGracias, ya me siento mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAhora que me has devuelto mi sonrisa de oro,\ntendré que pagártelo con una rica comida.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\n¿Con comida?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAsí es. A partir de ahora, te la prepararé\ntodos los días.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\n¿Todos?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTranquilo, no voy a pedirte que me colmes\nde halagos constantemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCon los que me has dedicado ya,\nme basta para el resto de mi vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAsí que, solo tienes que relajarte\ny disfrutar de lo que te prepare.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nNo me importará echarte algún que otro\npiropo si eso te hace feliz.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAy, ¿lo dices en serio?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEspero que no quede demasiado salado.\nNo he podido contener las lágrimas...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\n¿Lágrimas? No...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nCon solo oír la palabra\nme entran ganas de llorar.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEres tan sensible...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAdmiro mucho eso de ti, Boucheron...\nMe parece encantador.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVoy a preparar la comida.\nEsperaré tu opinión con ganas.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nTú cocinas, yo te hago\ncumplidos y todos contentos.\x0E\x04\x00\x00
