MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡Glups! ¡El príncipe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nY pensé que quizá nuestra infancia\nexplicase esa paradoja.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nEntiendo... Puedo contártela a grandes rasgos,\npero te advierto de que no es muy interesante.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nNo te preocupes, de verdad. Soy todo oídos.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nNací como segundo príncipe de Brodia\nbastantes años más tarde que mi hermano.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nHasta donde me alcanza la memoria, recuerdo\nque todos alababan el talento de Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nDecían que no había mejor sucesor posible\npara el trono de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nEn cambio, si se referían a mí, el comentario\nmás común era: "Diamant lo haría mejor".\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nUf. Vamos, que siempre te hicieron sentir\ncomo un segundón. Menuda faena.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nPero es por mi culpa... No tengo remedio.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\n¿Y nunca te hartaste y les gritaste:\n"¡Olvidaos de él! ¡Fijaos en mí!"?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nQué va, nunca. Ese tipo de ideas\nni se me pasan por la cabeza.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nMi hermano es perfecto. Eso es así.\nNo es culpa suya que no esté a la altura.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nY soy consciente de que ese hecho ha tenido\nuna influencia fundamental en mi personalidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nDe modo que, en lugar de guardarle rencor,\nsimplemente asumiste que eres inferior.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\n¿Sabes cómo te veo yo? Como alguien amable.\nQuizá por eso me caes tan bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nEsto... ¿Que te caigo bien?\nEres un individuo ejemplar, príncipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\n¡No te arrastraré en mi deriva!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\n¡Tengo que irme otra vez! ¡Lo siento mucho!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nOtra vez se ha largado...\n¡Hasta otra, príncipe Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHola, príncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¡Príncipe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nMe hace gracia que siempre des un repullo\ncuando te saludo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nPerdona, es que tu sonrisa me deslumbra...\nMi instinto siempre es salir huyendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nSi no es indiscreción... ¿cómo te convertiste\nen tamaño adalid del buen talante?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\n¿Quieres que te cuente mi infancia?\nTe hago un resumen, si quieres.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nAunque igual te llevas un chasco,\nporque no hay nada reseñable.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nNací como primer príncipe de Solm\ny recibí una educación formal.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nPero no me impusieron demasiadas normas,\nasí que me sentía bastante libre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nMe escaqueaba del palacio en cuanto podía...\ny me iba al pueblo a pasármelo bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nIncreíble. Había oído que la gente de Solm\ngozaba de mucha libertad...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\npero no tenía ni idea de que también\nfuera aplicable a la realeza.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nEmpiezo a entender cómo te convertiste\nen el príncipe que conozco...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nUna persona entrañable y extraordinaria\ncapaz de trabar amistad con gran facilidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nGracias, príncipe Alcryst. Aprecio tus palabras.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\n¡Otra vez esa mirada radiante!...\n¡Hace que me desmorone!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\n¡Espera! Antes de que te vuelvas a esfumar,\nquiero decirte algo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nY sé que te va a costar digerirlo,\nporque no se te da nada bien recibir cumplidos.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nAy, no. Por favor...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nPor una vez, ¿tendrías la deferencia de creerme\ncuando te aseguro que me caes bien?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nMe atrevería a añadir, querido compañero\n"segundón", que te considero un amigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nOh... Ay, príncipe Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nSí, te creo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nTe agradezco mucho que llames amigo\na alguien como yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nY lo mismo digo: me caes bien...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\n¡Por fin lo has soltado!\n¡Te caigo bien! ¡¡¡Te caigo bien!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\n¡Ah, no! ¡Aaah!\n¡No sé qué mosca me ha picado!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nNo soy digno de corresponder\ntus sentimientos. Lo siento...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nフォガート\nPero ¿por qué te disculpas? Ya sabemos que\nnos caemos bien. Somos casi íntimos amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\n¿Íntimos amigos? Nunca he tenido uno...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nPero admito que me alegra un po...\nNo, me alegra muchísimo. Gracias, Fogado.\x0E\x04\x00\x00
