MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪¡Qué díver me lo voy a pasar!\n¡Me pondré a cantar e iré a comprar!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n(...)♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\n¿Hoy también te diviertes, princesa Timerra?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nPues sí. Déjame adivinar: ¿tú estás entrenando?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nHoy no. De hecho, me gustaría acompañarte.\nPuede que aprenda algo interesante.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nOooh, ¿vas a venir conmigo? ¡Genial!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nVenga, este parece el sitio perfecto\npara empezar.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Aquí? ¿En un sitio público?\n¿Qué vamos a empezar exactamente?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\n♪¡Oídme todos, el día ha llegado!\n¡Hoy cantaré para todos como está mandado!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\n♪¡Príncipe Diamant, no seáis reservado,\nel espectáculo ha comenzado!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\n¿¡Y-Yo?! No, yo no... Esto no es...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\n♪Vaya, vaya, fijaos qué curioso,\nnuestro valiente príncipe está temeroso.♪\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSoy el príncipe heredero de Brodia.\nA mí nada me asusta.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDame un segundo, mmm... Ejem.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n♪Oh, Brodia, tierra de fuerza y poder,\nallí los malvados no pueden venceeer.♪\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n♪Vaya, todos me miran al parecer,\n¡princesa Timerra, decidme qué haceeer!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪No seas blando y sigue cantandooo...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x04\x03\x04
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nLo de hoy ha sido mucho más arduo\nque mi entrenamiento habitual...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nBueno, ¿qué te ha parecido hacer las cosas\na mi manera por una vez?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Así es como te relacionas con tu pueblo?\n¿Y lo haces a menudo?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nReconozco que me ha gustado el desafío.\nMe ha venido bien cambiar de aires.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nAun así, me parece que tu forma de gobernar\nno es adecuada para mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSe me da mejor servirme de mi fuerza\nfísica y combatir.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nEs comprensible. Cada cual tiene sus virtudes.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nGracias por dejar que te acompañara,\nprincesa Timerra. Ha sido divertido.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nミスティラ\n¡Ha estado bien! A pesar de tener estilos\nmuy distintos, formamos un gran equipo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPríncipe Diamant, ¿te importaría\nque me uniera a tu entrenamiento de hoy?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nClaro que no, pero te advierto\nde que mis ejercicios pueden ser intensos.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nEh, sé hacer otras cosas aparte de cantar.\nYa lo verás, soy más dura de lo que crees.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Ah, sí? Pues, en ese caso, comencemos.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nBien, hemos llegado a la mitad de la sesión.\nHagamos un pequeño descanso.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nUf... Uf...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nNo mentías... cuando dijiste... que iba a...\nser intenso...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nDije que... podría, pero... estoy hecha polvo...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nMe impresiona que hayas aguantado tanto.\nLa mayoría abandona mucho antes.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nCon tu físico, un entrenamiento más estricto\npodría obrar maravillas en ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nGracias, pero creo que volveré a mi rutina,\nsi no te importa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nUf... Bueno.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nEntre tú y yo, ¿crees que es posible\nque logremos la paz?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, buena pregunta. Eso es algo\nque a mí también me preocupa.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nComo líderes, creo que es nuestro deber\ncreer en la paz.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nSi no luchamos para asegurar ese futuro\npara nuestro pueblo, ¿quién lo hará?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nEs verdad. El futuro es incierto,\npor ese motivo debemos intentarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nHablar contigo me ha dado la esperanza\nde que el futuro nos traerá cosas buenas.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nEntre herederos al trono debemos apoyarnos.\nSi alguna vez necesitas hablar, ahí estaré.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nGracias, eres muy amable.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nSe acabó el descanso, ¡a entrenar!\n¿Podrás seguir?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\n¿Sabes qué? Se me ha ocurrido una gran idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\n¿Por qué no cantamos durante el resto del\nentrenamiento? Será un reto divertido.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Ja! Suena bien. Pero... empieza tú.\x0E\x04\x00\x00
