MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Qué estás haciendo, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nQue me miren como quieran. No me *importa*\nnada lo que piensen de mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nHablar con *filosofía* es una mera forma\nde *divertirme* y de *matar el tiempo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\n¡No! Dragón Divino, no caigas en la tentación\nde dejarte *influenciar* por alguien como yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\n¿Por qué *no*?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nPorque somos muy distintos, Dragón Divino.\nTú tienes una *misión* importante en la vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nSoy un ejemplo pésimo. Deberías comportarte\nde un modo más *adecuado* a tu posición.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nVa a *ser* que no. Al menos, no en este lugar.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nEs cierto que nos *separan*\nmuchas cosas, *Zelkov*.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nPero ¿qué *importancia* tienen tales\n*diferencias* en un sitio como *este*?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAquí solo venimos a *matar el tiempo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nCuánto lamento haberte llenado la cabeza\nde semejantes *tonterías*.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nNo te disculpes. Prefiero que te des *prisa*\nen contármelo todo sobre *tu* colección.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nComo ordenes. ¿Qué podría mostrarte?...\nAh, aquí tengo una *maravilla*.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\n*Una lista de palabras ideales para reflejar\npensamientos de lo más profundos.*\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\n¡Anda! Suena *interesante*...\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nTe estaba *esperando*, Dragón Divino.\nToma asiento.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n¿Con qué me vas a sorprender hoy, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nPensaba contarte una *historia*.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\n¿Sobre qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nSobre por qué soy como soy y por qué necesito\nmantenerme *ocupado* para seguir adelante.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nMe temo que se trata de un relato bastante\n*siniestro*, pero solo así lo entenderás.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nSiendo yo un niño, un grupo de bandidos\n*asesinó* a mi familia.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nQué espanto.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEntonces juré *venganza*. Aquel fue mi primer\ncometido; me llevó a volverme un asesino.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nHace una década, mi *empeño* dio frutos.\nEliminé uno a uno a los verdugos de mi familia.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nAl ver cumplido mi objetivo, me quedé *vacío*.\nNo tenía ningún fin por el que luchar.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nEl azar quiso que el rey Hyacinth me rescatara.\nFui *elegido* para ingresar en la guardia real.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPosteriormente me *ascendieron* a vasallo,\nlo cual me mantiene con fuerzas para continuar.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nPor ello me *tienes* hoy frente a ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nAgradezco que me lo hayas contado,\npero no acierto a comprender tu motivación.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nQuisiera que me acompañases en mi búsqueda\ndel sentido de la vida, Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n¿Cómo dices?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nDisculpa mi ingenuidad. Tendría que haber\n*imaginado* que jamás compartirías ese deseo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nAl contrario: nada me apetece más.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDe hecho, hace ya tiempo que quería entregarte\nesto, y ahora parece el momento indicado.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nEl Anillo del *Pacto*...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nYa sea persiguiendo nuevas metas o matando\nel tiempo, quiero estar a tu lado para ayudarte.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nLo dices en *serio*, ¿no es verdad?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. ¿Acaso me crees capaz\nde bromear con algo tan importante?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nNo. Y por eso acepto con mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nA cambio, \x0E\x06\x03\x00, quiero entregarte\neste regalo.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\n¿Un collar? Es precioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nCada elemento representa un aspecto\ndel respeto y el afecto que siento por ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nQué maravilla, Zelkov... Gracias.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nOye, ahora que me fijo...\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nNoto algo distinto en tu forma de hablar,\naunque no sabría decir qué.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nEstás en lo cierto. Ya no siento la necesidad\nde que mis palabras suenen más profundas.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nSerá porque esta conversación ya tiene\nde por sí un significado muy profundo para mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nMe halagas.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nAhora, si no te importa, me encantaría escuchar\npor qué elegiste estos materiales para el collar.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nClaro. Te detallaré todo el proceso,\nde principio a fin.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08ゼルコバ\nAsí verás que cada una de mis elecciones\nha estado motivada por mis sentimientos.\x0E\x04\x00\x00
