MSID_Hp_5	PV + 5
MSID_H_Res_3	Otorga Res + 3.
MSID_Res_4	Resistencia + 4
MSID_H_Res_4	Otorga Res + 4.
MSID_Res_5	Resistencia + 5
MSID_H_Res_5	Otorga Res + 5.
MSID_Phy_3	Constitución + 3
MSID_H_Phy_3	Otorga Con + 3.
MSID_Phy_4	Constitución + 4
MSID_H_Phy_4	Otorga Con + 4.
MSID_Phy_5	Constitución + 5
MSID_H_Phy_5	Otorga Con + 5.
MSID_Mov_1	Movimiento + 1
MSID_H_Mov_1	Otorga Mov + 1.
MSID_Avo_10	Esquivar + 10
MSID_H_Avo_10	Otorga Esq + 10.
MSID_Avo_15	Esquivar + 15
MSID_H_Avo_15	Otorga Esq + 15.
MSID_Avo_20	Esquivar + 20
MSID_H_Avo_20	Otorga Esq + 20.
MSID_Avo_25	Esquivar + 25
MSID_H_Avo_25	Otorga Esq + 25.
MSID_Avo_30	Esquivar + 30
MSID_H_Avo_30	Otorga Esq + 30.
MSID_Hit_10	Golpe + 10
MSID_H_Hit_10	Otorga Gol + 10.
MSID_Hit_15	Golpe + 15
MSID_H_Hit_15	Otorga Gol + 15.
MSID_Hit_20	Golpe + 20
MSID_H_Hit_20	Otorga Gol + 20.
MSID_Hit_25	Golpe + 25
MSID_H_Hit_25	Otorga Gol + 25.
MSID_Hit_30	Golpe + 30
MSID_H_Hit_30	Otorga Gol + 30.
MSID_CriAvo_10	Evitar + 10
MSID_H_CriAvo_10	Otorga Evit + 10.
MSID_CriAvo_15	Evitar + 15
MSID_H_CriAvo_15	Otorga Evit + 15.
MSID_CriAvo_20	Evitar + 20
MSID_H_CriAvo_20	Otorga Evit + 20.
MSID_CriAvo_25	Evitar + 25
MSID_H_CriAvo_25	Otorga Evit + 25.
MSID_CriAvo_30	Evitar + 30
MSID_H_CriAvo_30	Otorga Evit + 30.
MSID_SwordArts_Soft_1	Agilidad espada 1
MSID_H_SwordArts_Soft_1	Si se usa una espada,\notorga Esq + 10 a costa de Crí - 10.
MSID_SwordArts_Soft_2	Agilidad espada 2
MSID_H_SwordArts_Soft_2	Si se usa una espada,\notorga Esq + 15 a costa de Crí - 10.
MSID_SwordArts_Soft_3	Agilidad espada 3
MSID_H_SwordArts_Soft_3	Si se usa una espada,\notorga Esq + 20 a costa de Crí - 10.
MSID_SwordArts_Soft_4	Agilidad espada 4
MSID_H_SwordArts_Soft_4	Si se usa una espada,\notorga Esq + 25 a costa de Crí - 10.
MSID_SwordArts_Soft_5	Agilidad espada 5
MSID_H_SwordArts_Soft_5	Si se usa una espada,\notorga Esq + 30 a costa de Crí - 10.
MSID_SwordArts_Hard_1	Potencia espada 1
MSID_H_SwordArts_Hard_1	Si se usa una espada,\notorga Ata + 2 a costa de Esq - 10.
MSID_SwordArts_Hard_2	Potencia espada 2
MSID_H_SwordArts_Hard_2	Si se usa una espada,\notorga Ata + 4 a costa de Esq - 10.
MSID_SwordArts_Hard_3	Potencia espada 3
MSID_H_SwordArts_Hard_3	Si se usa una espada,\notorga Ata + 6 a costa de Esq - 10.
MSID_SwordArts_Hard_4	Potencia espada 4
MSID_H_SwordArts_Hard_4	Si se usa una espada,\notorga Ata + 8 a costa de Esq - 10.
MSID_SwordArts_Hard_5	Potencia espada 5
MSID_H_SwordArts_Hard_5	Si se usa una espada,\notorga Ata + 10 a costa de Esq - 10.
MSID_SwordArts_Mind_1	Enfoque espada 1
MSID_H_SwordArts_Mind_1	Si se usa una espada,\notorga Gol + 10 a costa de Evit - 10.
MSID_SwordArts_Mind_2	Enfoque espada 2
MSID_H_SwordArts_Mind_2	Si se usa una espada,\notorga Gol + 15 a costa de Evit - 10.
MSID_SwordArts_Mind_3	Enfoque espada 3
MSID_H_SwordArts_Mind_3	Si se usa una espada,\notorga Gol + 20 a costa de Evit - 10.
MSID_SwordArts_Mind_4	Enfoque espada 4
MSID_H_SwordArts_Mind_4	Si se usa una espada,\notorga Gol + 25 a costa de Evit - 10.
MSID_SwordArts_Mind_5	Enfoque espada 5
MSID_H_SwordArts_Mind_5	Si se usa una espada,\notorga Gol + 30 a costa de Evit - 10.
MSID_LanceArts_Soft_1	Agilidad lanza 1
MSID_H_LanceArts_Soft_1	Si se usa una lanza,\notorga Esq + 10 a costa de Crí - 10.
MSID_LanceArts_Soft_2	Agilidad lanza 2
MSID_H_LanceArts_Soft_2	Si se usa una lanza,\notorga Esq + 15 a costa de Crí - 10.
MSID_LanceArts_Soft_3	Agilidad lanza 3
MSID_H_LanceArts_Soft_3	Si se usa una lanza,\notorga Esq + 20 a costa de Crí - 10.
MSID_LanceArts_Soft_4	Agilidad lanza 4
MSID_H_LanceArts_Soft_4	Si se usa una lanza,\notorga Esq + 25 a costa de Crí - 10.
MSID_LanceArts_Soft_5	Agilidad lanza 5
MSID_H_LanceArts_Soft_5	Si se usa una lanza,\notorga Esq + 30 a costa de Crí - 10.
MSID_LanceArts_Hard_1	Potencia lanza 1
MSID_H_LanceArts_Hard_1	Si se usa una lanza,\notorga Ata + 2 a costa de Esq - 10.
MSID_LanceArts_Hard_2	Potencia lanza 2
MSID_H_LanceArts_Hard_2	Si se usa una lanza,\notorga Ata + 4 a costa de Esq - 10.
MSID_LanceArts_Hard_3	Potencia lanza 3
MSID_H_LanceArts_Hard_3	Si se usa una lanza,\notorga Ata + 6 a costa de Esq - 10.
MSID_LanceArts_Hard_4	Potencia lanza 4
MSID_H_LanceArts_Hard_4	Si se usa una lanza,\notorga Ata + 8 a costa de Esq - 10.
MSID_LanceArts_Hard_5	Potencia lanza 5
MSID_H_LanceArts_Hard_5	Si se usa una lanza,\notorga Ata + 10 a costa de Esq - 10.
MSID_AxeArts_Hard_1	Potencia hacha 1
MSID_H_AxeArts_Hard_1	Si se usa un hacha,\notorga Ata + 2 a costa de Esq - 10.
MSID_AxeArts_Hard_2	Potencia hacha 2
MSID_H_AxeArts_Hard_2	Si se usa un hacha,\notorga Ata + 4 a costa de Esq - 10.
MSID_AxeArts_Hard_3	Potencia hacha 3
MSID_H_AxeArts_Hard_3	Si se usa un hacha,\notorga Ata + 6 a costa de Esq - 10.
MSID_AxeArts_Hard_4	Potencia hacha 4
MSID_H_AxeArts_Hard_4	Si se usa un hacha,\notorga Ata + 8 a costa de Esq - 10.
MSID_AxeArts_Hard_5	Potencia hacha 5
MSID_H_AxeArts_Hard_5	Si se usa un hacha,\notorga Ata + 10 a costa de Esq - 10.
MSID_BowArts_Soft_1	Agilidad arco 1
MSID_H_BowArts_Soft_1	Si se usa un arco,\notorga Esq + 10 a costa de Crí - 10.
MSID_BowArts_Soft_2	Agilidad arco 2
MSID_H_BowArts_Soft_2	Si se usa un arco,\notorga Esq + 15 a costa de Crí - 10.
MSID_BowArts_Soft_3	Agilidad arco 3
MSID_H_BowArts_Soft_3	Si se usa un arco,\notorga Esq + 20 a costa de Crí - 10.
MSID_BowArts_Soft_4	Agilidad arco 4
MSID_H_BowArts_Soft_4	Si se usa un arco,\notorga Esq + 25 a costa de Crí - 10.
MSID_BowArts_Soft_5	Agilidad arco 5
MSID_H_BowArts_Soft_5	Si se usa un arco,\notorga Esq + 30 a costa de Crí - 10.
MSID_BowArts_Mind_1	Enfoque arco 1
MSID_H_BowArts_Mind_1	Si se usa un arco,\notorga Gol + 10 a costa de Evit - 10.
MSID_BowArts_Mind_2	Enfoque arco 2
MSID_H_BowArts_Mind_2	Si se usa un arco,\notorga Gol + 15 a costa de Evit - 10.
MSID_BowArts_Mind_3	Enfoque arco 3
MSID_H_BowArts_Mind_3	Si se usa un arco,\notorga Gol + 20 a costa de Evit - 10.
MSID_BowArts_Mind_4	Enfoque arco 4
MSID_H_BowArts_Mind_4	Si se usa un arco,\notorga Gol + 25 a costa de Evit - 10.
MSID_BowArts_Mind_5	Enfoque arco 5
MSID_H_BowArts_Mind_5	Si se usa un arco,\notorga Gol + 30 a costa de Evit - 10.
MSID_MartialArts_Mind_1	Enfoque arte 1
MSID_H_MartialArts_Mind_1	Si se usa un arte,\notorga Gol + 10 a costa de Evit - 10.
MSID_MartialArts_Mind_2	Enfoque arte 2
MSID_H_MartialArts_Mind_2	Si se usa un arte,\notorga Gol + 15 a costa de Evit - 10.
MSID_MartialArts_Mind_3	Enfoque arte 3
MSID_H_MartialArts_Mind_3	Si se usa un arte,\notorga Gol + 20 a costa de Evit - 10.
MSID_MartialArts_Mind_4	Enfoque arte 4
MSID_H_MartialArts_Mind_4	Si se usa un arte,\notorga Gol + 25 a costa de Evit - 10.
MSID_MartialArts_Mind_5	Enfoque arte 5
MSID_H_MartialArts_Mind_5	Si se usa un arte,\notorga Gol + 30 a costa de Evit - 10.
MSID_KnifeArts_1	Precisión daga 1
MSID_H_KnifeArts_1	Si se usa una daga,\notorga Gol y Esq + 3.
MSID_KnifeArts_2	Precisión daga 2
MSID_H_KnifeArts_2	Si se usa una daga,\notorga Gol y Esq + 5.
MSID_KnifeArts_3	Precisión daga 3
MSID_H_KnifeArts_3	Si se usa una daga,\notorga Gol y Esq + 7.
MSID_KnifeArts_4	Precisión daga 4
MSID_H_KnifeArts_4	Si se usa una daga,\notorga Gol y Esq + 10.
MSID_KnifeArts_5	Precisión daga 5
MSID_H_KnifeArts_5	Si se usa una daga,\notorga Gol y Esq + 15.
MSID_MagicArts_1	Precisión grimorio 1
MSID_H_MagicArts_1	Si se usa un grimorio,\notorga Gol y Esq + 3.
MSID_MagicArts_2	Precisión grimorio 2
MSID_H_MagicArts_2	Si se usa un grimorio,\notorga Gol y Esq + 5.
MSID_MagicArts_3	Precisión grimorio 3
MSID_H_MagicArts_3	Si se usa un grimorio,\notorga Gol y Esq + 7.
MSID_MagicArts_4	Precisión grimorio 4
MSID_H_MagicArts_4	Si se usa un grimorio,\notorga Gol y Esq + 10.
MSID_MagicArts_5	Precisión grimorio 5
MSID_H_MagicArts_5	Si se usa un grimorio,\notorga Gol y Esq + 15.
MSID_RodArts_1	Maestría bastón 1
MSID_H_RodArts_1	Si se usa un bastón, otorga Gol + 10.\nLos bastones sanan 3 PV más.
MSID_RodArts_2	Maestría bastón 2
MSID_H_RodArts_2	Si se usa un bastón, otorga Gol + 15.\nLos bastones sanan 5 PV más.
MSID_RodArts_3	Maestría bastón 3
MSID_H_RodArts_3	Si se usa un bastón, otorga Gol + 20.\nLos bastones sanan 7 PV más.
MSID_RodArts_4	Maestría bastón 4
MSID_H_RodArts_4	Si se usa un bastón, otorga Gol + 25.\nLos bastones sanan 10 PV más.
MSID_RodArts_5	Maestría bastón 5
MSID_H_RodArts_5	Si se usa un bastón, otorga Gol + 30.\nLos bastones sanan 15 PV más.
MSID_Outclass_1	Arrojo
MSID_H_Outclass_1	Si la unidad inicia el enfrentamiento,\notorga Esq + 15. La Esq aumenta en\nfunción de la Vel.
MSID_Outclass_2	Arrojo +
MSID_H_Outclass_2	Si la unidad inicia el enfrentamiento,\notorga Esq + 30. La Esq aumenta en\nfunción de la Vel.
MSID_Fortitude_1	Firmeza
MSID_H_Fortitude_1	Al inicio del turno del jugador, si la\nunidad tiene el 20 % de PV o menos,\nrecupera el 20 % de sus PV máx.
MSID_Fortitude_2	Firmeza +
MSID_H_Fortitude_2	Al inicio del turno del jugador, si la\nunidad tiene el 30 % de PV o menos,\nrecupera el 30 % de sus PV máx.
MSID_Fortitude_3	Firmeza ++
MSID_H_Fortitude_3	Al inicio del turno del jugador, si la\nunidad tiene el 40 % de PV o menos,\nrecupera el 40 % de sus PV máx.
MSID_MarthEngage	Celeridad divina
MSID_H_MarthEngage	La unidad asesta un ataque extra\nal 50 % del daño normal.
MSID_H_MarthEngage_Covert	La unidad asesta un ataque extra\nal 50 % del daño normal.\nFurtivo: Si el ataque extra acierta,\nenvenena al rival.
MSID_H_MarthEngage_Dragon	La unidad asesta un ataque extra\nal 50 % del daño normal.\nDragón: La unidad recupera en PV\nel daño infligido por el ataque extra.
MSID_BreakPursuit	Rompedefensas
MSID_H_BreakPursuit	Si el ataque de la unidad causa\nel efecto ruptura en el rival, esta\nasesta un ataque extra al 50 %\ndel daño normal.
MSID_MarthEngageAtk	Ráfaga Polaris
MSID_H_MarthEngageAtk	Permite asestar 7 estocadas\nconsecutivas al 30 % del daño\nnormal. Solo enemigos adyacentes.
MSID_H_MarthEngageAtk_Dragon	Permite asestar 7 estocadas\nconsecutivas al 30 % del daño\nnormal. Solo enemigos adyacentes.\nDragón: + 2 ataques.
MSID_H_MarthEngageAtk_Coop	Permite asestar 7 estocadas\nconsecutivas al 30 % del daño\nnormal. Solo enemigos adyacentes.\nRefuerzo: + 1 ataque.
MSID_H_MarthEngageAtk_Magic	Permite asestar 7 estocadas\nconsecutivas al 30 % del daño\nnormal. Solo enemigos adyacentes.\nMístico: Daño según Mag.
MSID_H_MarthEngageAtk_CMD	Asesta varios golpes seguidos.
MSID_Remove_1	Continuidad
MSID_H_Remove_1	La unidad puede moverse\n2 casillas tras realizar una acción.
MSID_Remove_2	Continuidad +
MSID_H_Remove_2	La unidad puede moverse\n3 casillas tras realizar una acción.
MSID_Approach_1	Inercia
MSID_H_Approach_1	Otorga Ata + 1 al primer golpe por\ncada casilla que la unidad haya\nrecorrido inmediatamente antes\nde atacar. (Máximo + 10.)
MSID_Approach_2	Inercia +
MSID_H_Approach_2	Otorga Ata + 1 al primer golpe por\ncada casilla que la unidad haya\nrecorrido inmediatamente antes\nde atacar.
MSID_Rush	Irrefrenable
MSID_H_Rush	Otorga inmunidad frente\nal estado congelación.
MSID_SigludEngage	Galope
MSID_H_SigludEngage	Otorga Mov + 5.
MSID_H_SigludEngage_Dragon	Otorga Mov + 5.\nDragón: + 1 adicional.
MSID_H_SigludEngage_Horse	Otorga Mov + 5.\nCaballería: + 2 adicional.
MSID_H_SigludEngage_Covert	Otorga Mov + 5.\nFurtivo: No sufre penalización\nde movimiento a causa del terreno.
MSID_SigludEngageAtk	Rebasar
MSID_H_SigludEngageAtk	Permite atacar a una fila de rivales\nadyacentes y atravesarla.\nSolo espada y lanza.
MSID_H_SigludEngageAtk_Dragon	Permite atacar a una fila de rivales\nadyacentes y atravesarla.\nSolo espada y lanza.\nDragón: + 20 % de daño adicional.
MSID_H_SigludEngageAtk_Heavy	Permite atacar a una fila de rivales\nadyacentes y atravesarla.\nSolo espada y lanza.\nAcorazado: 10 % de probabilidad\nde ruptura.
MSID_H_SigludEngageAtk_Magic	Permite atacar a una fila de rivales\nadyacentes y atravesarla.\nSolo espada y lanza.\nMístico: Daño adicional = 25 % Mag.
MSID_H_SigludEngageAtk_Prana	Permite atacar a una fila de rivales\nadyacentes y atravesarla.\nSolo espada y lanza.\nQigong: 20 % de probabilidad\nde ruptura.
MSID_H_SigludEngageAtk_CMD	Ataca y sobrepasa al rival.
MSID_M011_SigludEngage_DarkSide	Galope oscuro
MSID_H_M011_SigludEngage_DarkSide	Otorga Mov + 3.
MSID_EvilCounter_1	Halo sagrado
MSID_H_EvilCounter_1	Si una aberración ataca a la unidad,\nesta le devuelve un 10 % del daño\nsufrido.
MSID_EvilCounter_2	Halo sagrado +
MSID_H_EvilCounter_2	Si una aberración ataca a la unidad,\nesta le devuelve un 30 % del daño\nsufrido.
MSID_EvilCounter_3	Halo sagrado ++
MSID_H_EvilCounter_3	Si una aberración ataca a la unidad,\nesta le devuelve un 50 % del daño\nsufrido.
MSID_BlackMagic_1	Reverberación
MSID_H_BlackMagic_1	Si la unidad ataca con grimorio\ny tiene 2 o más PV, pierde 1 PV\nal inicio del enfrentamiento\ne inflige daño + 2.
MSID_BlackMagic_2	Reverberación +
MSID_H_BlackMagic_2	Si la unidad ataca con grimorio\ny tiene 2 o más PV, pierde 1 PV\nal inicio del enfrentamiento\ne inflige daño + 3.
MSID_FavoriteFood	Comida favorita
MSID_H_FavoriteFood	Cuando la unidad toma una ración,\nsu contador de fusión se llena\nal máximo.
MSID_CelicaEngage	Eco
MSID_H_CelicaEngage	Permite lanzar un ataque mágico\nal 50 % del daño normal.\nDespués, permite asestar un segundo\nataque también al 50 %.
MSID_H_CelicaEngage_Dragon	Permite lanzar un ataque mágico\nal 50 % del daño normal.\nDespués, permite asestar un segundo\nataque también al 50 %.\nDragón: Alcance + 1.
MSID_H_CelicaEngage_Magic	Permite lanzar un ataque mágico\nal 50 % del daño normal.\nDespués, permite asestar un segundo\nataque también al 50 %.\nMístico: + 10 % de daño adicional.
MSID_H_CelicaEngage_CMD	Ataque en dos tiempos.
MSID_CelicaEngageAtk	Teleragnarok
MSID_H_CelicaEngageAtk	Permite a la unidad teleportarse a un\nmáximo de 10 casillas de distancia\ny asestar un potente ataque mágico.
MSID_H_CelicaEngageAtk_Dragon	Permite a la unidad teleportarse a un\nmáximo de 10 casillas de distancia\ny asestar un potente ataque mágico.\nDragón: Alcance del ataque + 1.
MSID_H_CelicaEngageAtk_Horse	Permite a la unidad teleportarse a un\nmáximo de 10 casillas de distancia\ny asestar un potente ataque mágico.\nCaballería: + 2 casillas.
MSID_H_CelicaEngageAtk_Fly	Permite a la unidad teleportarse a un\nmáximo de 10 casillas de distancia\ny asestar un potente ataque mágico.\nVolador: + 5 casillas.
MSID_H_CelicaEngageAtk_Magic	Permite a la unidad teleportarse a un\nmáximo de 10 casillas de distancia\ny asestar un potente ataque mágico.\nMístico: + 20 % de daño adicional.
MSID_H_CelicaEngageAtk_CMD	Se teleporta y ataca.
MSID_M011_CelicaEngageAtk_DarkSide	Porte oscuro
MSID_CelicaEngageAtk_DarkSide	Ragnaportación
MSID_H_CelicaEngageAtk_DarkSide	Permite a la unidad lanzar\nun potente ataque mágico\ny luego teleportarse\na otro lugar del mapa.
MSID_H_CelicaEngageAtk_DarkSide_CMD	Ataca y se teleporta.
MSID_H_M011_CelicaEngageAtk_DarkSide	Permite a la unidad teleportarse a un\nmáximo de 5 casillas de distancia\ny asestar un potente ataque mágico.
MSID_EvilCounter_3_DarkSide	Halo profano
MSID_H_EvilCounter_3_DarkSide	Si un enemigo que no es una\naberración ataca a la unidad,\nesta le devuelve un 50 % del\ndaño sufrido.
MSID_EquipRod_1	Clerecía
MSID_H_EquipRod_1	La unidad puede equiparse\ncon bastones de hasta nivel C.
MSID_EquipRod_2	Clerecía +
MSID_H_EquipRod_2	La unidad puede equiparse\ncon bastones de hasta nivel B.
MSID_EquipRod_3	Clerecía ++
MSID_H_EquipRod_3	La unidad puede equiparse\ncon bastones de hasta nivel A.
MSID_Silenceproof	Antisilencio
MSID_H_Silenceproof	Otorga inmunidad frente al estado\nsilencio.
MSID_HealingResonance	Reflejo sanador
MSID_H_HealingResonance	Cuando la unidad sana a un aliado\ncon bastón, también recibe el 50 %\nde los PV restaurados.
MSID_MicaiahEngage	Realce
MSID_H_MicaiahEngage	Otorga + 5 al alcance del bastón\ny + 1 al área de efecto.
MSID_H_MicaiahEngage_Dragon	Otorga + 5 al alcance del bastón\ny + 1 al área de efecto.\nDragón: + 1 alcance adicional.
MSID_H_MicaiahEngage_Prana	Otorga + 5 al alcance del bastón\ny + 1 al área de efecto.\nQigong: + 20 % a los PV restaurados\npor bastones.
MSID_MicaiahEngageAtk	Gran sacrificio
MSID_H_MicaiahEngageAtk	Permite restaurar todos los PV\nde todos los aliados, incluso\nlos que no controla el jugador,\npero la unidad queda con 1 PV.
MSID_H_MicaiahEngageAtk_Dragon	Permite restaurar todos los PV\nde todos los aliados, incluso\nlos que no controla el jugador,\npero la unidad queda con 1 PV.\nDragón: Reduce PV unidad al 30 %.
MSID_H_MicaiahEngageAtk_Heavy	Permite restaurar todos los PV de\ntodos los aliados, incluso los que no\ncontrola el jugador, pero la unidad\nqueda con 1 PV. Acorazado: Def + 1\nen la sig. lucha a unidades curadas.
MSID_H_MicaiahEngageAtk_Prana	Permite restaurar todos los PV\nde todos los aliados, incluso\nlos que no controla el jugador,\npero la unidad queda con 1 PV.\nQigong: Cura estados alterados.
MSID_H_MicaiahEngageAtk_CMD	Gasta PV para sanar aliados.
MSID_M011_MicaiahEngage_DarkSide	Realce oscuro
MSID_H_M011_MicaiahEngage_DarkSide	Otorga + 3 al alcance del bastón\ny + 1 al área de efecto.
MSID_HoldOut_1	Pertinacia
MSID_H_HoldOut_1	Si la unidad tiene el 30 % o más\nde PV al inicio del enfrentamiento,\nsiempre sobrevive con al menos\n1 PV.
MSID_HoldOut_2	Pertinacia +
MSID_H_HoldOut_2	Si la unidad tiene el 20 % o más\nde PV al inicio del enfrentamiento,\nsiempre sobrevive con al menos\n1 PV.
MSID_HoldOut_3	Pertinacia ++
MSID_H_HoldOut_3	Si la unidad tiene el 10 % o más\nde PV al inicio del enfrentamiento,\nsiempre sobrevive con al menos\n1 PV.
MSID_HoldOut_4	Pertinacia +++
MSID_H_HoldOut_4	Si la unidad tiene 2 o más PV\nal inicio del enfrentamiento, siempre\nsobrevive con al menos 1 PV.
MSID_ClosingAttack	Avance
MSID_H_ClosingAttack	Permite desplazarse 1 casilla\nhacia un enemigo que está\na 2 casillas de distancia y atacar.
MSID_H_ClosingAttack_CMD	Avanza 1 casilla y ataca.
MSID_RoyEngage	Ascensión
MSID_H_RoyEngage	Otorga Niv + 5.
MSID_H_RoyEngage_Dragon	Otorga Niv + 5.\nDragón: Niv + 1 adicional.
MSID_H_RoyEngage_Horse	Otorga Niv + 5.\nCaballería: Mov + 1.
MSID_H_RoyEngage_Heavy	Otorga Niv + 5.\nAcorazado: PV máx. + 5.
MSID_RoyEngageAtk	León ígneo
MSID_H_RoyEngageAtk	Permite atacar una casilla adyacente\ny las dos contiguas a esta. Incendia\ndicha zona y las dos filas posteriores\na ella. Solo espada.
MSID_H_RoyEngageAtk_Dragon	Permite atacar una casilla adyacente\ny las dos contiguas a esta. Incendia\ndicha zona y las dos filas posteriores\na ella. Solo espada.\nDragón: Mayor zona de ataque.
MSID_H_RoyEngageAtk_Magic	Permite atacar una casilla adyacente\ny las dos contiguas a esta. Incendia\ndicha zona y las dos filas posteriores\na ella. Solo espada.\nMístico: Mayor zona incendiada.
MSID_H_RoyEngageAtk_CMD	Ataca una zona y la incendia.
MSID_M011_RoyEngage_DarkSide	Ascensión vil
MSID_H_M011_RoyEngage_DarkSide	Otorga Niv + 3.
MSID_AugmentDamage_1	Ventaja vital
MSID_H_AugmentDamage_1	Si la unidad tiene ventaja de arma,\n- 3 al daño sufrido.
MSID_AugmentDamage_2	Ventaja vital +
MSID_H_AugmentDamage_2	Si la unidad tiene ventaja de arma,\n- 5 al daño sufrido.
MSID_AugmentDamage_3	Ventaja vital ++
MSID_H_AugmentDamage_3	Si la unidad tiene ventaja de arma,\n- 7 al daño sufrido.
MSID_Ambush_1	Emboscada
MSID_H_Ambush_1	Si el rival inicia el enfrentamiento\ny la unidad tiene 25 % PV o menos,\nesta ataca primero.
MSID_Ambush_2	Emboscada +
MSID_H_Ambush_2	Si el rival inicia el enfrentamiento\ny la unidad tiene 50 % PV o menos,\nesta ataca primero.
MSID_Ambush_3	Emboscada ++
MSID_H_Ambush_3	Si el rival inicia el enfrentamiento\ny la unidad tiene 75 % PV o menos,\nesta ataca primero.
MSID_LeafEngage	Versatilidad
MSID_H_LeafEngage	Si el rival inicia el enfrentamiento,\nla unidad responde con el arma\nmás adecuada (según el alcance,\nla ventaja de arma, la eficacia, etc.).
MSID_H_LeafEngage_Dragon	Si el rival inicia el enfrentamiento,\nla unidad responde con el arma\nmás adecuada (según el alcance,\nla ventaja de arma, la eficacia, etc.).\nDragón: Gol + 30 en combate.
MSID_H_LeafEngage_Coop	Si el rival inicia el enfrentamiento,\nla unidad responde con el arma\nmás adecuada (según el alcance,\nla ventaja de arma, la eficacia, etc.).\nRefuerzo: Crí + 10 en combate.
MSID_H_LeafEngage_Covert	Si el rival inicia el enfrentamiento,\nla unidad responde con el arma\nmás adecuada (según el alcance,\nla ventaja de arma, la eficacia, etc.).\nFurtivo: Esq + 20 en combate.
MSID_H_LeafEngage_Heavy	Si el rival inicia el enfrentamiento,\nla unidad responde con el arma\nmás adecuada (según el alcance,\nla ventaja de arma, la eficacia, etc.).\nAcorazado: Def + 5 en combate.
MSID_H_LeafEngage_Fly	Si el rival inicia el enfrentamiento,\nla unidad responde con el arma\nmás adecuada (según el alcance,\nla ventaja de arma, la eficacia, etc.).\nVolador: Res + 5 en combate.
MSID_LeafEngageAtk	Golpe cuádruplo
MSID_H_LeafEngageAtk	Permite a la unidad atacar\nconsecutivamente con espada,\nlanza, hacha y arco.
MSID_H_LeafEngageAtk_Dragon	Permite a la unidad atacar\nconsecutivamente con espada,\nlanza, hacha y arco.\nDragón: + 20 % de daño adicional.
MSID_H_LeafEngageAtk_Covert	Permite a la unidad atacar\nconsecutivamente con espada,\nlanza, hacha y arco.\nFurtivo: El rival puede soltar\n1000 M. Probabilidad = Sue %.
