MID_WU_C_1_IN_#001	Hoolaa. Aquí estoy.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	¡Vuestra mayor fan lo aprueba!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	¡Os estaré animando!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Buenos días...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	¿Estáis durmiendo? ¿En serio?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	¡Bu! ¡Os habéis despertado!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Iba a gastaros una broma muy chula.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Je, je. Esto... olvidad lo que he dicho.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Vamos con una bromita para despertar\na \x0E\x0A\x00:\x1Aeste dormilón\x1Cesta dormilona.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Le haré cosquillas en la nariz con esto...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	¡¿Eh?! No funciona. Qué raro.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¡Divinidad! ¡¿No habéis estornudado?!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Normalmente, cuando le haces esto\na alguien en la nariz...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	¡A-a-achís!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Soy Framme. He venido a despertaros.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Oh, ya estáis despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	¿Me esperabais?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Ja, ja. ¡Pues venga, a levantarse!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Divinidad, venga ya. Es hora\nde que os levantéis. En serio.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Voy a animaros. ¡A pleno pulmón!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	¡Ja, ja!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	¿Sabéis qué? Da igual.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Seguid durmiendo.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Os arroparé y os dejaré descansar.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Sé que os cuesta mantener abiertos\nesos ojos tan cansados.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	¡Pero os prometo que nos espera\nun día fabuloso!\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Ya sabía yo que os encontraría aquí.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Ja, ja. Os conozco demasiado bien.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	No os avergüenza que os haya pillado\ndurmiendo, ¿verdad?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Oooh...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Soy vuestra mayor fan.\nNo tenéis nada de qué preocuparos.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Dormís como un tronco.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Exactamente igual que cuando cuidaba de vos.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Quiero deciros algo...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Todo ese tiempo que estuvisteis durmiendo...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Creo que, en el fondo, sabía que seríamos\naliad\x0E\x0A\x00\x08\x02o\x02as para siempre.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Ja, ja. ¡Buenos días!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Pensé que sería bueno dejaros dormir,\npero no.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	¡Vuestra aliada favorita os está esperando!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	¡A levantarse!\x0E\x04\x00\x00
