MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLady Nel, ¿puedo ofreceros algo de beber?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	Diría que ya no necesitas más ayuda\nen ese aspecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nLo cierto es que... Hay un asunto\nen el que agradecería vuestra asistencia.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Sé que es una petición muy osada\ny fuera de lugar, pero...\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Lady Nel, ¿aceptaríais ser mi amiga?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nDebo negarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\n¡¿Cómo?! ¿N-no queréis que seamos amigas?\x0E\x04\x02\x00
MID_RELIANCE_A_#011	(...) Lo sabía: ¡me odiáis!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\n¡Claro que no! No malinterpretes mis palabras.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\n¿A qué os referís?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04エル\nDiscúlpame por haber sido tan brusca.\nSimplemente es mi forma de hablar.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Si me he negado a tu solicitud es porque\ncarece de sentido: ya somos amigas.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, ¿lo... lo somos?\x0E\x04\x02\x00
MID_RELIANCE_A_#017	¡Es maravilloso!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04エル\nEstás llorando.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nSon lágrimas de felicidad, porque me habéis\nhecho muy feliz.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Un momento. Esto es un sueño, ¿verdad?\nTiene que serlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04エル\nNo estás soñando, Zelestia.\nSin duda alguna, eres mi amiga más preciada.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\n¿La más preciada? Me siento honrada, lady Nel.\nVos también lo sois para mí.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	En adelante, no me despegaré de vos.\n¡Seré vuestra mejor amiga por siempre jamás!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Tenéis sed? ¿O quizá preferiríais picar algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04エル\nSospecho que hemos vuelto al punto de partida.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nNada me produce más satisfacción\nque ser vuestra amiga inseparable, lady Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04エル\nPuesto que tan feliz te hace,\ncompartiré tu dicha.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	No puedo expresar con palabras\nlo que significa para mí nuestra amistad.\x0E\x04\x00\x00
