MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\n¿Qué ocurre, Louis?\n¿No puedes quitarme los ojos de encima?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nYa que estamos, ¿quieres tomar té conmigo?\nTengo unas tazas fabulosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ロサード\nEs una idea genial. ¡Vamos!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\n¿De verdad no te parecen una monada?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nQue no, Rosado. No voy a cambiar de opinión.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nPero míralas bien. ¿De verdad que no?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nPara nada. Vamos, ni una pizca.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\n¡Qué raro! Como te gustan la uvas,\npensé que también te gustaría esto.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nSupongo que las uvas de mar\nno son del gusto de todos.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nEs que son algas... ¡no uvas!\n¡De uvas solo tienen el nombre! ¡Las odio!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nParecen uvas de verdad, pero ¡son saladas!\nMenuda decepción me llevé...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nPues a mí me encantan.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nSon como bolitas del océano,\ny saben como el mar.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\n¿De veras? En ese caso, te pido disculpas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\n¿Qué tengo que disculpar?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nIntento apreciar las cosas que les gustan\na mis amigos... en la medida de lo posible.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\n¡Pero no puedo con las dichosas uvas de mar!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\n¡No pasa nada, Louis! Podemos ser amigos\naunque tengamos gustos diferentes.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\n¿Sí? Entonces, ¿tienes algún inconveniente\nen que te siga observando?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nMe fastidiaría verme obligado a dejar de mirar\na mi querido Rosado en sus quehaceres diarios.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\n¡Claro! ¡Prepárate para que mi bella estampa\nquede grabada en tu retina!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\n¡Eso está hecho!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nLouis, quédate quieto un segundo, ¿vale?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\n¿Papel y pluma? ¿Estás haciendo un dibujo?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nPor lo que sé, eres capaz de dibujar\npaisajes con gran velocidad y precisión.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\n¡Sí! Es mi talento no tan secreto.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\n¿Y qué estás dibujando ahora?\nEste paisaje no es nada del otro mundo...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\n¡Te estoy retratando a ti, tonto!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nQuiero una imagen en la que salgamos los dos.\nYa me añadiré a mí mismo luego.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\n¿No crees que un autorretrato sería mejor?\nQuedaría más bello y equilibrado.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nSí, pero no es lo que quiero hacer.\nNo persigo la belleza en este caso.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\n¡¿Perdona?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nQuiero un retrato contigo, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nPara recordar a mi amigo\ncuando no estés a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\n¡Qué detalle por tu parte, Rosado!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nHago lo que puedo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\n¿Te importa si me pongo una máscara?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n¿Cómo que una máscara? ¡No persigo\nla belleza, pero tampoco tienes que taparte!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nEra solo una idea...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nPues guárdatela para ti...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nLa gente normalmente se sonroja y obedece.\n¿Por qué eres así?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nLo siento. Me alegra que me hagas un dibujo,\npero también me da un poco de vergüenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nYo no es que sea muy... agraciado.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nPara el carro. ¡Eres absolutamente adorable!\nEn especial cuando te avergüenzas.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nTan solo me gustaría tener un recuerdo tuyo.\nSi no quieres posar, vale...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nDentro de muchos años, cuando sea viejo,\nno recordaré la cara de mi querido amigo Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nMuy bien. Todo sea por mi amigo\ny su pasión. Acepto mi destino.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\n¡Gracias! Quédate quieto un momento.\nNo tardo nada...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ロサード\nAlgún día lo miraremos y nos reiremos.\n¡Será el reflejo perfecto de nuestra alegría!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nSi es lo que hay que hacer para conmemorar\nnuestra amistad, me sacrificaré gustosamente.\x0E\x04\x00\x00
