MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n¡Merrin! Llegas en el momento justo.\nPor favor, toma asiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nUn plato elevado requiere\nuna descripción elevada.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nEstá claro que sabes cocinar pollo.\nEste plato tiene que ser un fijo del menú.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nMe alegra oírte decir eso.\nHace que mis desvelos merezcan la pena.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nGracias por prestarte a degustar\nmi plato, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06メリン\nHa sido todo un placer. Gracias a ti\npor la comida. Estaba deliciosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nHola, Bunet. He oído que te interesan\nlos animales extraños.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\n¿Perdón?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nPues resulta que a mí también, y sé dónde hay\nunos ejemplares increíbles en estado salvaje.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\n¿Qué tal si te llevo? En agradecimiento\npor aquella deliciosa comida.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nGracias por la oferta, pero debo rechazarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\n¿De veras? ¿No te gusta observar\nlos animales salvajes?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nNo me refería a eso...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\n¿Y qué es, si se puede saber?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nUn momento...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh, no. Ahora lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nSolo te interesan para comértelos, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\n¡¿Qué?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nTe has aburrido de cocinar carne normal\ny por eso has empezado con animales raros.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\n¿Qué había en aquel guiso? ¡¿Me engañaste\ny me hiciste comer halcón o algo así?!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\n¡Claro que no! ¡Te aseguro que era pollo!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\n¡Mentiroso! ¡Seguro que te has acercado a mí\npara que te muestre dónde están los animales!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nEscucha...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNo, tú me vas a escuchar a mí.\nSi dañas a la naturaleza, te las verás conmigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nQue ni se te ocurra ponerle la mano encima\na un animal o te arrepentirás.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nMerrin, por favor. No te equivoques.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nTe despellejaré y haré un guiso contigo.\n¿Me oyes?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x08\x06メリン\n\x0E\x03\x02\x06\x04ボネ\nNo sé cómo me las apaño\npara que me malinterpreten...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nBien, Bunet. Aquí me tienes. ¿Qué quieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nComo se te ocurra servirme un estofado\nde flamenco o algo por el estilo, te juro que...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nEstás confundida. Escúchame, por favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nNo me interesan los "animales extraños",\ncomo tú los llamas.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nMás bien, me interesas tú.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\n¿Perdona?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nAunque ambos servimos a la familia real,\nno hemos tenido ocasión de confraternizar.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nHe de admitir que me intimidabas bastante.\nTe conduces con tanta franqueza y seguridad...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nSiempre le hablas de animales extraños\na cualquiera que se te acerque...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nEsperaba poder entablar amistad algún día\ncon la Defensora de la Fauna.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nEse es el apodo que te puse.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nConque "Defensora de la Fauna"...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nAsí es. Es que te preocupas tanto\npor los animales salvajes...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nYa sé que es un apodo bastante tonto...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\n¡¿Tonto?! ¡Pues a mí me encanta!\nDefensora de la Fauna... Suena muy heroico.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nAjá... Pues sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06メリン\nLo siento, Bunet. No sabía que querías\nhacerte amigo mío.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nParece que estaba muy equivocada contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nNo hace falta que te disculpes.\nEstoy acostumbrado a que se me malinterprete.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nSiempre he sido un tanto excéntrico.\nDigamos que es algo crónico.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\n¡Pues yo también soy un bicho raro\nde tomo y lomo! ¡Ya somos dos!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nA partir de ahora, seremos amigos, ¿vale?\nLos bichos raros deben ayudarse entre ellos.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nEso me encantaría. Para celebrarlo,\n¿te gustaría probar mi última creación?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nSi quieres, te dejo que le des un nombre.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06メリン\n¿Cómo? ¿Yo? ¿El nombre que elija\nsaldrá en tu menú?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nSí. Me impresionó mucho tu crítica\nde la otra vez. Ponle el nombre que quieras.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nBien... ¿Qué nombre podría darle?\nQuizá el de un animal raro...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nEsto... Será mejor que no lo hagas.\nLa gente podría llevarse una idea equivocada...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\n¡Bien pensado!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04ボネ\nNo hay prisa. Come con tranquilidad\ny deja que te llegue la inspiración.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\n¡Será un placer!\x0E\x04\x00\x00
