MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Hola, Rosado!\nEstás adorable, como siempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x02\x0A\x08ロサード\nUn último toque y... ¡listo!\nUn paisaje perfecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Rosado! ¿Estás dibujando?\nQué escena tan hermosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nAh, hola, príncipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nOye... Es tan hermoso como tu rostro.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\n¿Eso piensas? ¡Ay, muchas gracias!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\n¡Eh, no! No volveré a caer en tus trucos.\nYa sé cómo acaba esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nEn cuanto te pregunte si soy el más adorable\nde todos, me romperás el corazón.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nLo siento, pero ya te dije\nque yo no hago comparaciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\n¿Acaso es malo amar a toda belleza por igual?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nSupongo que tienes razón. Siempre has sido\namable conmigo... y yo un engreído.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nNo debí obsesionarme con ser\nmás mono que los demás. Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nEh, no pasa nada. No tienes que\navergonzarte por querer ser el mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nYo tengo mi manera de ver el mundo,\ny tú tienes la tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nPodemos no estar de acuerdo y, aun así,\nrespetar nuestras diferencias, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nRespetar nuestras diferencias...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nClaro que sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nDebería apreciar tus cumplidos\nen vez de pedirte más.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\n¡Exacto! Tú sigue siendo adorable y yo\nte adularé. Así ambos seremos felices.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nSí, soy adorable, eso es un hecho.\nEl mundo puede pensar lo que quiera.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\n¡Exacto! Y, debo decir que me encanta\nver esa sonrisa tan bonita que tienes.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\n¡Bien, tú sigue contándome más!\x0E\x04\x00\x00
