MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nLa asamblea de guerra aún tardará en empezar.\nDebería buscar una distracción hasta entonces.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nDesconocía que te supieras tantas. Y sus títulos\nme dejan desconcertada. Mejor elige tú.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n¡No puedo creer que quieras escucharme cantar!\n♪¡Ha llegado mi momento de gloria!♪\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Ji, ji. El caso es que no consigo decidirme\npor una. ¿Qué tal si te las canto todas?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04エル\nMe encantaría.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nSuspirar de melancolía es impropio de ti,\nprincesa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nOh. Hola, Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nDeberías degustar una porción de carne asada.\nAsí recuperarías fuerzas.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\n¡Eso se te ha pegado de mí! Qué chuli. El caso\nes que estoy algo alicaída por mis canciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nExplícate.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nUnos tipos pasaron a mi lado mientras\nencendía un fuego y dijeron cosas mezquinas.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	"¿Qué es ese ruido infernal?",\n"¡Me sangran los oídos!"... y otras lindezas.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nEs inaceptable.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nOh, eso no fue lo que me molestó.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Lo que me preocupaba era que tú pensaras\nigual, pero que no me lo dijeses por educación.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Y ahora no sé si únicamente me oyes\ncantar para complacerme. Qué tonta soy...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nCiertamente eres tonta de remate.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\n¡¿Eh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nDisfruto de tu voz con todo mi corazón.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Cada una de tus canciones es un valioso\ntesoro que solo puedo obtener contigo.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Has de saber que los dragones gozamos\nde vidas muy longevas. De miles de años.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nLo sé, sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nNi siquiera el cerebro de un dragón es capaz\nde guardar los recuerdos de toda una vida.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Así que muchos recuerdos se desvanecen,\ncomenzando por los menos importantes.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Por eso, valoro mucho más una canción\nque me conmueve que el puro talento.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Tus canciones perdurarán en mi mente\ndurante siglos, quizá milenios.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nOh, eso sí que es un cumplido, Nel. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\n¿Te sientes mejor?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\n¡Y tanto! Además, andar por ahí cabizbaja\nno es para nada mi estilo.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Ahora, cada vez que te vea, pienso cantar\na pleno pulmón. ¡Así jamás me olvidarás!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nJa, ja. No necesitas preocuparte por eso.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Tu imagen quedará grabada a fuego\nen mi mente por siempre jamás.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nJi, ji. Vale, pero eso no significa\nque vaya a dejar de componer canciones.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	De hecho, acabo de escribir una nueva:\n"Solomillo, aquí te pillo". ¿Quieres escucharla?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nPor supuesto.\x0E\x04\x00\x00
