MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nYa hemos llegado.\nTras estos muros estaremos a salvo.\x0E\x04\x00\x00
MID_EV2_#004	\x0E\x05\x01\x16\x08ルミエル\nRelax\nPrueba a golpear con tu espada.\nCuando flaquee, podrás asestar otro ataque.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x16\x08ルミエル\nSmile\n\x0E\x03\x02\x0A\x08ルミエル\nEnhorabuena, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_EV3_#002	\x0E\x05\x01\x18\x08ルミエル\x0CStatus\nComo has visto, la espada es eficaz frente\nal hacha. Recuérdalo en adelante.\x0E\x04\x02\x00
MID_EV3_#003	Un rival incapacitado no podrá contratacar\npor un tiempo. Saca partido a tal circunstancia.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x14\x06フラン\nSmile\n\x0E\x03\x02\x08\x06フラン\n¡Ah! ¡El Dragón Divino me ha mirado!\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x16\x06フラン\x0CStrike\nPara que lo sepáis, puedo sanar a diestro\ny siniestro con mi bastón.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x16\x06フラン\x0CStatus\nTambién puedo proteger a los aliados cercanos,\naunque cuando me atizan duele de lo lindo...\x0E\x04\x02\x00
MID_EV4_#004	\x0E\x05\x01\x18\x06フラン\x0EStandBy\nLo dicho: tanto si necesitáis protección\ncomo sanación, confiad en mí.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x14\x06クラン\nSmile\n\x0E\x03\x02\x08\x06クラン\n¡Eh, Divinidad!\nQuizá no lo sepáis, pero yo lucho con magia.\x0E\x04\x02\x00
MID_EV5_#002	\x0E\x05\x01\x14\x06クラン\nRelax\nPuedo atacar a distancia o cuerpo a cuerpo.\n¡No hay armadura que resista mis poderes!\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nAhora me toca a mí entrar en acción.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x16\x08ルミエル\nRelax\n\x0E\x03\x02\x0A\x08ルミエル\nFelicidades a todos.\nHabéis luchado divinamente.\x0E\x04\x02\x00
MID_EV7_#002	\x0E\x05\x01\x18\x08ルミエル\x0CStatus\nSigamos adelante.\nEsperad ahí un momento.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nBien, si estáis todos listos,\ncomenzaremos de inmediato.\x0E\x04\x02\x00
MID_EV8_#002	\x0E\x05\x01\x1A\x08ルミエル\x0EStandBy\nEsta vez no voy a contenerme.\nLucharé como si fuera una batalla real.\x0E\x04\x02\x00
MID_EV8_#003	\x0E\x0B\x00n
MID_EV8_#004	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n¿El Anillo del Caballero Sacro?\x0E\x04\x00\x00
MID_EV8_#005	\x0E\x0B\x01>
MID_EV8_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x02\x0A\x08ルミエル\n(...)\x0E\x04\x02\x00
MID_EV9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02b\n\x0E\x03\x02\x0A\x08シグルド\nMi nombre es Sigurd. Mi fuerza\ny mi agilidad están a tu servicio.\x0E\x04\x00\x00
MID_EV9_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x03\x02\x0A\x08リュール\nConque este es el Emblema Sigurd...\nParece muy fuerte.\x0E\x04\x00\x00
MID_EV9_#003	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nCada Emblema posee características únicas.\x0E\x04\x02\x00
MID_EV9_#004	Al aliarte con ellos, puedes valerte\nde sus distintos poderes y habilidades.\x0E\x04\x00\x00
MID_EV9_#005	\x0E\x03\x02\x0A\x08リュール\nSea cual sea el poder de Sigurd,\nserá diferente al de Marth...\x0E\x04\x02\x00
MID_EV9_#006	Más nos vale no bajar la guardia.\x0E\x04\x00\x00
MID_EV10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x18\x06マルス\x0EStandBy\n\x0E\x03\x02\x08\x06マルス\nMi estoque es particularmente eficaz\nante las unidades de caballería, como aquellas.\x0E\x04\x02\x00
MID_EV10_#002	\x0E\x05\x01\x14\x06マルス\nRelax\nPodrás usarlo mientras sigamos fusionados.\nAdelante, pruébalo contra ese enemigo.\x0E\x04\x00\x00
MID_EV11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nOs compenetráis admirablemente...\nComprobemos si nuestra réplica está a la altura.\x0E\x04\x02\x00
MID_EV11_#002	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nVamos, Sigurd.\x0E\x04\x00\x00
MID_EV12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n¡Ha sido increíble!\x0E\x04\x00\x00
MID_EV12_#002	\x0E\x03\x00\x10\nヴァンドレ\x02b\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nSigurd destaca por su movilidad, al parecer.\nMenos mal que solo es un simulacro...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01 \x12M002_ルミエル\nRelax\n\x0E\x03\x02\x14\x12M002_ルミエル\nNo te contengas, \x0E\x0A\x00$\x10hijo mío\x10hija mía.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDe acuerdo.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEstá resultando mucho más difícil que antes.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStrike\n\x0E\x03\x02\x14\x12M002_ルミエル\nAl igual que yo, tus enemigos no cederán.\nPor eso debes vencerme.\x0E\x04\x02\x00
MID_BT2_#003	\x0E\x05\x01 \x12M002_ルミエル\nRelax\nMe llena de júbilo volver a verte pelear\ndespués de tantos años.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x16\nヴァンドレ\x08Pain\n\x0E\x03\x02\x0C\nヴァンドレ\nOs ruego que perdonéis la afrenta de alzar\nmi arma contra vos, majestad.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01 \x12M002_ルミエル\nRelax\n\x0E\x03\x02\x14\x12M002_ルミエル\nVander, tu misión es proteger a mi \x0E\x0A\x00\x14\x08hijo\x08hija.\nCumple con tu deber del mejor modo posible.\x0E\x04\x02\x00
MID_BT3_#003	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nEso implica que debes atacarme\ncon todas tus fuerzas.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x10\x06クラン\x06Sad\n\x0E\x03\x02\x08\x06クラン\nMajestad, yo... no quiero atacaros...\nAy, me voy a marear.\x0E\x04\x00\x00
MID_BT4_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nConcéntrate, Clanne, si no quieres\nerrar tu ataque.\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x14\x06フラン\nAngry\n\x0E\x03\x02\x08\x06フラン\nMi señora, no es por faltaros al respeto...\npero ¡tengo que arremeter contra vos!\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nAsí me gusta, Framme.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01\x1E\x12M002_ルミエル\x08Pain\n\x0E\x03\x02\x14\x12M002_ルミエル\nAh...\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nHabéis vencido.\nEstoy orgullosa de todos vosotros.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\x0E\x05\x00\x18\x08ルミエル\x0CAppeal\nOs habéis batido con gran coraje.\nNos habéis vencido a Sigurd y a mí; ahí es nada.\x0E\x04\x02\x00
MID_ED1_#002	Siempre se puede mejorar más todavía,\npero es un buen comienzo, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\n¡Gracias!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0C\x06フラン\x024\n\x0E\x03\x02\x08\x06フラン\nNo me gusta nada haber tenido\nque enfrentarme a la reina Lumera.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x02\x08\x06クラン\nSí, ¡no puedo creer que hayamos ganado!\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nA pesar de que acabáis de despertar del letargo,\nvuestro poder ya comienza a crecer, Divinidad.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0A\x08ルミエル\n\x0E\x06\x03\x00, quiero entregarte esto.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\n¿No es la que estabas usando antes?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08ルミエル\nSí. Es una vieja espada que solo pueden\nblandir los Dragones Divinos.\x0E\x04\x02\x00
MID_ED1_#010	La he usado durante años, pero ahora es tuya.\nConsidérala como un premio por derrotarme.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nGracias. Trataré de hacerme \x0E\x0A\x00\x18\ndigno\ndigna\nde este honor.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ルミエル\nNo me cabe duda de que lo lograrás.\x0E\x04\x02\x00
MID_ED1_#013	Por favor, acepta esto también.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\n¿Otro anillo Emblema?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08ルミエル\nNo, es solo una sortija ornamental.\nVerás, hace mil años te hice una promesa...\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\n¿Qué promesa?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08ルミエル\nQue algún día te haría un regalo bonito\ny apropiado para tu cumpleaños.\x0E\x04\x02\x00
MID_ED1_#018	Lo estaba haciendo en secreto, pero caíste\nen aquel letargo antes de que pudiera acabarlo.\x0E\x04\x02\x00
MID_ED1_#019	Aquel cumpleaños pasó hace demasiado tiempo,\npero para mí significa mucho darte el obsequio.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x0A\x08リュール\nLo siento... No puedo aceptarlo.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08ルミエル\n¿Por qué no?\x0E\x04\x00\x00
