MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Príncipe Diamant! Deseo conocer tu destreza.\n¡Te reto a un duelo!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nMe han educado para valorar el honor\nante todo. Es lo que hacemos en mi país.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nSe gane o se pierda, siempre se debe\nmantener la dignidad y ser justos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nHemos de ser como los cerezos,\nque solo florecen en el momento adecuado.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo. Es una filosofía admirable.\nDejemos el duelo para mejor ocasión...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nGracias. Aprecio tu comprensión a pesar\nde que fui yo quien te retó al duelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nLa próxima vez estaré fresco y descansado,\ny pienso darlo todo.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\n¡Excelente! Lo espero con ganas.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nParece que estamos a la par, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\n¡Eres más fuerte de lo que esperaba!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nTú tampoco eres manco, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nSerá mejor que te sigas empleando a fondo,\nporque es lo que yo pienso hacer.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Quieres seguir con el duelo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nLo he dado todo. Por mí podemos dejarlo\naquí y no agotarnos hasta la extenuación.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nLo mismo digo. Eres un digno oponente.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nEs un honor que me hayas dedicado\nparte de tu valioso tiempo. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nHa sido divertido.\nHabrá una segunda ronda pronto, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\n¿Te gustaría?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nNo podemos dejarlo en empate.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nTe advierto... que nuestro próximo duelo\nterminará de una forma muy distinta.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nPor mi honor como príncipe heredero\nque no pararé hasta que supliques clemencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nGrandes palabras. ¡Yo juro por mi espada\nque saldré victorioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nTu espada es impresionante, debo decir.\nSe nota que la afilas con regularidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nLa espada es el reflejo del alma.\nYo cuido de la mía a diario.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nLa tuya también es muy majestuosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEn Brodia valoramos mucho la fuerza.\nMi espada es un símbolo de ello.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAl igual que tú, considero a mi espada\ncomo algo más que una simple arma.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nInteresante. Aunque nuestras culturas\nson muy distintas, tienen esa idea en común.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nEs increíble lo mucho que se aprende\nde una persona cuando te enfrentas a ella.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nIncluso más que hablando.\nEsperaré ansioso nuestro próximo duelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nOtro empate, no me lo puedo creer.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nNi yo. Eres más fuerte que antes.\nEstaba seguro de que esta vez te ganaría.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nYo igual. Te has entrenado con esmero\ndesde nuestro último duelo, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nTener un rival fuerte me motiva para mejorar.\nTe lo agradezco, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Por eso me retaste?\n¿Para mejorar?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nEn parte, sí... Pero solo en parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nMi mayor interés es aprender sobre el mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nCostumbres, ideologías, filosofías...\nHay tantas culturas que aún no conozco...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nAunque también comparten muchas similitudes,\ncomo nuestra percepción de las espadas.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nCreo, al igual que tú, que luchar nos enseñará\nmás al uno del otro que hablando.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nPor eso me gusta retar a oponentes\ntan fuertes e interesantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí que ese era tu objetivo...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nSiento algo de envidia.\nMi posición no me permite viajar a placer.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nPodrías viajar a través de mí.\nSerá un placer contarte mis historias.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEso me gustaría. Disfruto mucho\noyendo historias de aventuras.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, perdón...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nNo te tienes que disculpar.\nTras tanto luchar, es normal que entre hambre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nToma un onigiri, se hace con arroz.\nEs delicioso y refrescante.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nMmm, tiene una forma extraña,\npero la comida es comida.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Es... muy ácido!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nDentro hay una ciruela seca y salada.\n¿No notas cómo mitiga el cansancio?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nEl sabor es impactante, desde luego.\nMmm... Podría acostumbrarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nEsta es otra frontera que podríamos\nexplorar juntos, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Como un intercambio gastronómico?\nBien, dejemos las armas y a cocinar.\x0E\x04\x00\x00
