MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#019	Al parecer, en aquella época era incapaz\nde mantener una conversación. Era un paria.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\n¡No me extraña! ¿Quién querría ser amigo\nde alguien que disfruta con el dolor?\x0E\x04\x02\x00
MID_RELIANCE_B_#021	¿Y qué hay de los Cuatro Mastines?\n¿Se llevaban bien entre ellos?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nNo mucho. Y nuestros endebles lazos\nse rompieron tras perder a una persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nAsí que murió alguien... ¿Se trataba de mí?\n¿O de Zelestia? ¿Quizá Madeline?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Marni, la Madeline de este mundo, fue asesinada\npor tu equivalente y el de Zelestia.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nグレゴリー\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06モーヴ\nTildaron su muerte de estupidez y se rieron.\nNo pude perdonarlos, así que deserté.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Cuando te miro, veo la cara de Griss.\nQuizá por eso no podía confiar del todo en ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nグレゴリー\nNo te culpo. Después de hacer algo tan atroz...\nEl caso es que ahora comprendo tu actitud.\x0E\x04\x02\x00
MID_RELIANCE_B_#030	Lo lamento. Dejaré de molestarte.\nY... gracias por hablar conmigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n¿Te encuentras bien? Pareces consternado.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, no. Estoy como una rosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nEs normal que te sientas incómodo tras oír\nlo que sucedió.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Permite que me disculpe si no has logrado\ndigerirlo. Debería haber sido más considerado.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nNo es nada, en serio. Fui yo quien preguntó.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Si mi otro yo hizo lo que hizo...\nyo tampoco confiaría en mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nPero las circunstancias son otras. Ahora sé\nque tú jamás serías capaz de hacer algo así.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\n¡Claro que no! No soy ese tipo de persona.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Nunca mataría a un aliado, y...\n¡y tampoco lo abandonaría a su suerte!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nTe creo. Estoy convencido de que arriesgarías\ntu vida para proteger a tus amigos.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Es por ello que te has ganado mi confianza.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nグレゴリー\n¿D-de veras? Oh, no sabes lo mucho\nque significa para mí oírte decir eso.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Gracias por creer en mí, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\n¿Qué ocurre? Te acabo de dar las gracias,\ny tú solo me observas de un modo raro.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nEs solo que no me esperaba esas palabras\nde agradecimiento.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	En todos los años que conocía a Griss,\nél jamás me dio las gracias por nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nBueno, él no era yo.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Quiero decir, mi yo de este mundo estaba\nloco de atar, por decirlo suavemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nEn efecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\n¿Sucede algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nOh, nada. Acabo de caer de que nunca antes\nhabía oído reír a Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nComo tú mismo dijiste antes,\nno somos la misma persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nJe, exacto.\nAunque a veces nos parezcamos a ellos.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Nosotros somos nosotros.\nSigamos progresando juntos, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nDe acuerdo.\x0E\x04\x00\x00
