MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nMi odio hacia Brodia es cosa del pasado, pero\nno he podido resistirme a gastarte una broma.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nAunque, bien mirado... Eso demuestra\nque ya existe confianza entre nosotros, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\n¡P-por supuesto! Casi se me sale el corazón\ndel pecho, pero supongo que ha tenido gracia...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\nPerdón, princesa Ivy...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nEs que, la última vez que hablamos, dejaste\nclaro que todavía le guardas rencor a Brodia...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nEn efecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nPues, a riesgo de extralimitarme,\nme gustaría decir una cosa, con tu permiso...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nLas relaciones entre Brodia y Elusia nunca han\nsido cordiales desde que tengo uso de razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nPero, como tú misma aseguraste, ahora somos\naliados... Trabajamos codo con codo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nSí, eso es cierto.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nA mí me parece una alianza tan poco plausible\ncomo esperanzadora.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nHaré todo lo posible para que nuestros países\nse alíen cuando este conflicto haya acabado.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nQuizá no pueda contribuir tanto\ncomo mi hermano, el príncipe heredero, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nEn fin, solo quería informarte de mis intenciones\nde la forma más transparente posible.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nCuando te conocí, mi primera impresión fue\nque carecías de carisma y de voluntad.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nAhora me doy cuenta de mi error.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\n¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nCuando la ocasión lo exige, hablas francamente.\nEliges tus palabras con sensatez y delicadeza.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nSon cualidades que todo príncipe desearía.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nAh, no... Te ruego que no me sobrestimes.\nA tu lado, mis talentos brillan por su ausencia...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\n¿Insinúas que, como princesa heredera\nde mi reino, juzgo mal a las personas?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\n¡N-no, qué va! Nada más lejos de...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nAh, espera. ¿Era otra broma?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nMuy bien. Veo que ya las vas pillando.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nCreo que es señal de que nuestra relación\nva por buen camino.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nEso parece. Y espero que siga mejorando.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nEn honor a nuestros padres...\ny por el bien de nuestros reinos.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nSí. ¡Por un futuro mejor!\x0E\x04\x00\x00
