MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, ¿puedo hacerte una pregunta personal?\nNecesito material para mi próxima novela.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nJade, ¿querías material? ¡Pues vas a tenerlo!\nObserva al maestro en acción.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\n¡Eh, alpaca! Cálmate, bonita.
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\n¡Eeeh, alto! ¡He dicho que te calmes!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\n¡Ugh! ¡Aaaaaaaah!
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\n¡Amber!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x04\x03\x04
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nQue una alpaca me arrollara y me tirase\na un charco no es lo que quería que vieras...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nAún no me creo que una alpaca apareciera\nde la nada. Menos mal que la hemos atrapado.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nTú la has atrapado. Lo único que he hecho\nyo es llenarme de barro hasta las orejas.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アンバー\nNi siquiera en algo que se me da bien\npuedo competir contigo...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アンバー\nSnif...\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ジェーデ\nAmber, no te pongas así.\nTienes que verle el lado positivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ジェーデ\nLa alpaca, tu caída, el charco...\nGracias a ti, mi próxima obra va a ser la monda.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nOye, Amber, me he quedado sin ideas...\n¿Puedo hacerte más preguntas?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUn momento, Jade.\nPrimero, debo hacerte una petición.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\n¡No escribas sobre cómo fracasé al intentar\natrapar esa alpaca, por favor te lo pido!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nPero...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nMi hogar es famoso por sus granjas de alpacas...\n¡Sería una vergüenza para ellos!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nEstaba tan deprimido y lleno de barro que\nno fui capaz de pedírtelo. ¿Me harías el favor?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nEso no me lo esperaba. Me temo\nque no puedo acceder a tu petición, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nHas inspirado mis novelas más divertidas y\nexitosas. La gente espera la siguiente con ansia.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nBien, en ese caso...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nTe reto a un duelo. Si gano, no podrás escribir\nsobre el incidente de la alpaca y el charco.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nDe acuerdo, acepto.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nEste será nuestro primer duelo desde el torneo\npara elegir a los vasallos del príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nFue la primera vez que perdí contra ti. Desde\nentonces, siempre acabo en segundo puesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nEs como una maldición. Haga lo que haga,\nnunca consigo superarte...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nBueno, lo cierto es que disputaste la final de\naquel torneo con una desventaja evidente.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nNo tuviste tiempo ni para calentar\nporque ayudaste a ese niño que se perdió.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\n¡No es excusa! Además, tú también ayudaste.\nDe hecho, tú encontraste a sus padres.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nSí, es verdad.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nTú consigues todo lo que te propones\nmientras yo me tropiezo por el camino...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nEsa alpaca fugitiva fue la gota que colmó\nel vaso. ¡Hoy dejaré de ser un segundón!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\n¡En guardia, Jade!\n¡Esta vez no pienso perder contra ti!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x04\x03\x04
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\n¿Ya has tenido bastante?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nAgh... No puedo. No puedo derrotarte, Jade.\nEs imposible...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nHe ganado, así que tengo vía libre para escribir\nsobre lo que quiera, tal como quedamos.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nSí, vale. Me has ganado justamente...\nEscribe lo que te dé la gana.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nEso haré, y me aseguraré de que seas\nel primero en leer la novela cuando termine.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMi novela ya está lista, Amber. Como te dije,\nme gustaría que fueras el primero en leerla.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nAh, maravilloso...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nCómo te gusta meter el dedo en la llaga...\nTrae, a ver cuánto me avergüenzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nMmm... ¡Mmm!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nJade, ¿qué es esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nMmm.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\n¿Seguro que esta novela se basa en mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nPues claro, la he escrito basándome\nen cosas que me has contado.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nPero ¿y el incidente de la alpaca y el charco?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nNo hay ninguna página que sea vergonzosa,\nesta novela me hace parecer un tipo genial.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nNo eres un segundón, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nTú fuiste el primero que intentó detener\na esa alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nFuiste el primero que se ofreció a buscar\na los padres de ese niño el día del torneo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nPuede que yo sea la que cierra el libro,\npero después de que lo abras tú.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nVaya.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nEres amable, fuerte, y tanto el señor Diamant\ncomo yo confiamos plenamente en ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\n¡Gracias, Jade! Me has animado con tus\nhermosas palabras y este fantástico libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nMe alegro. Debes confiar en ti mismo si quieres\nguardarnos las espaldas en la batalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\n¡Sí, sí! Voy a seguir entrenando con esmero\nhasta que sea como el Amber de tu novela.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nAh, eso tengo ganas de verlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nBien, basta de cháchara.\n¡Voy a entrenar con más ganas que nunca!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nVoy a... ¡Ah! ¿¡Una piedra!? ¡Aaaaagh!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nBueno, pues sí que empiezas bien\ntu entrenamiento...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nEstoy segura de que te harás más fuerte,\npero espero que algunas cosas nunca cambien.\x0E\x04\x00\x00
