MID_WU_C_1_IN_#001	Disculpad.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Entonces me retiraré.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Tengo que anotar esta idea\nantes de que se me olvide...\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	"La caballera oyó cómo\nel Dragón Divino dormía..."\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	La puesta de sol de ayer fue preciosa,\ncomo dijisteis.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Quizá hoy también tengamos buen tiempo.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Sois muy amable, Divinidad...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Antes habéis decidido quedaros conmigo.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Algún día, de algún modo, os compensaré\npor tantos actos de altruismo.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¿Cómo os encontráis esta mañana?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Os preocupáis por vuestros aliados...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	pero procurad cuidaros vos también.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	No me puedo creer que me pasara\nalgo tan gracioso de camino aquí.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Divinidad, escuchad...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Hace un momento, me resbalé\ncon una cáscara de fruta...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Prometedme que tendréis cautela, Divinidad.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Es como una escena de mis novelas...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	No me lo puedo sacar de la cabeza...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Esto no está bien...\nJe, no debería reírme, pero... Je.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Disculpad que mi risa os haya despertado.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Antes me resbalé con una cáscara de fruta...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	¡y caí al suelo como un saco de patatas!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Área asegurada. He vigilado la puerta.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	¿Habéis despertado?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Puedo irme, si lo preferís...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Oh, ¿queréis hablar conmigo?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	No, no... Es un honor.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Disculpadme por mi inquietud de antes.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Me alegró mucho...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Ya sabéis, cuando os ofrecisteis a ayudarme\na enfrentarme a mi pasado.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Contad conmigo para lo que necesitéis, ¿vale?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Mi "Muro de Hierro" está a vuestra disposición.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	"La caballera entró en los aposentos\nde su más estimado aliado..."\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	"Sus ojos rojos y azules se abrieron\npara saludarla..."\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Je, ¿me habéis reconocido por mis pisadas?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Si es así, me alegro. Buenos días tengáis.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	"Ahí estaba su compañer\x0E\x0A\x00\x08\x02o\x02a,\ndescansando sobre el altar..."\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Je, qué escena tan romántica.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Creo que nunca me cansaré de esto.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Si pudiera encontrar las palabras adecuadas...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Pero me basta con estar junt\x0E\x0A\x00\x08\x02o\x02as siempre.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Con el tiempo seguro que conseguiré\nencontrarlas.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Je, disculpad.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Ignoradme. Solo me apetecía sonreír.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Al fin y al cabo, estoy muy feliz...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Es un honor ser vuestra compañera.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Siempre que acudo aquí, tengo la sensación\nde que se me desencaja el rostro de sonreír...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Aah... Siempre que os miro...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	no puedo evitar bajar la guardia.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Estoy acostumbrada al humor...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	pero con vos siento una alegría irrefrenable.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Es muy extraño...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Esto me suele pasar cuando pienso\nen una idea para una novela.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Mas cuando miro el Anillo del Pacto,\nno puedo menos que sonreír.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Intento meditar, pero no me concentro.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Cuando pienso en vos...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Me siento la persona más feliz del mundo.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buenos días. Je, ¿me oíais?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Esto me da algo de vergüenza...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Pero no me arrepiento de nada.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Je, je.\x0E\x04\x00\x00
