MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nGriss...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\n¿Un obsequio? Qué detalle, Gregory. ¿Qué es?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nBueno, me estuve informando y, al parecer,\nos gustan los platos picantes, así que...\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Me acerqué a la ciudad a por los manjares\nmás picantes que había. ¿Queréis probarlos?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\n¿Te has tomado tantas molestias por mí?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nPuestos a hacer algo, mejor hacerlo bien.\nPor favor, ¡servíos lo que más os guste!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\n(...)\x0E\x04\x02\x00
MID_RELIANCE_B_#008	(Qué amable es siempre... Pero, aunque sé que\nno es Griss, no puedo evitar ponerme nerviosa.)\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\n¿Eh? ¿Qué ocurre? ¿Os da reparo comer sola?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	En ese caso, yo también tomaré algo.\nEste sándwich tan rojo tiene buena pinta...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\n¡Cuidado! Tiene pinta de ser superpicante.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nMmm... Pues no pica tanto como esperaba...\nAlto... ¡No me digas que es de efecto retardado!\x0E\x04\x02\x00
MID_RELIANCE_B_#013	¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\n¡Oh, no! ¡Espera, te traeré agua!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nCof, cof. Estoy bien, de veras. Cof, cof.\nNo os preocupéis por mí. Probad otra cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\n¿E-estás seguro? Bueno, si insistes...\ncreo que comeré lo mismo que tú.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	¡Vaya, menuda delicia! Nunca lo había probado,\npero tiene el punto justo de picante.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\n¿En serio no lo encontráis demasiado picante?\nCaramba...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Al menos os he arrancado una sonrisa. Pero aún\nqueda mucha comida. Cof, cof. Vamos, atacad.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\n(...) Estás sudando a mares.\n¿Seguro que estás bien?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nグレゴリー\nQuizá el sándwich sí era demasiado picante\npara mí. No estoy tan acostumbrado como vos...\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Pero estoy bien, en serio... Yo puedo con tod...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\n¡¿Gregory?! ¡Gregory!\x0E\x04\x02\x00
MID_RELIANCE_B_#024	¡Se ha desmayado! ¿Y ahora qué hago?\nIré a buscar ayuda. ¡Tú no te muevas!\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Ay... ¿Quién le mandará hacer esas burradas?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle, siento lo de la otra vez.\nSé que mi desmayo os dejó muy inquieta.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nNo te preocupes. Lo importante es que\nno te pasó nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nAun así, como disculpa, os he traído un surtido\ndistinto para que probéis.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\n¿Otra vez comida picante?\nLo has elegido todo a mi gusto, ¿verdad?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Te agradezco el detalle, pero, si no puedes\ncomer conmigo...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nOh, tranquilizaos. He estado practicando.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nNo sé...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nVenga, ¡a comer!\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Esta galleta roja fuego huele que alimenta...\nO mejor pruebo... No, cogeré esto de aquí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nCon calma, ¿eh? Que ya he visto el efecto\nque te hace la comida picante.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nLo tengo controlado.\n¡Ahora puedo aguantar sin problema!\x0E\x04\x02\x00
MID_RELIANCE_A_#012	A ver qué tal está la tarta... Aunque...\n¡Ugh, huele que echa para atrás!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\n¿Por qué te sometes a esta tortura?\nEspero que no lo hagas por mí...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nBueno, a nadie le gusta sentir miedo, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNo te sigo...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nSé que os asusto, y que con solo mirarme\nos echáis a temblar.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Yo odio tener miedo, así que lo último\nque desearía sería haceros sentir así a vos.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Sé que mi otro yo os hizo daño, pero yo no soy\nvuestro enemigo, y jamás osaría heriros.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Así que pensé que este sería\nun buen modo de demostrároslo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nAh, comprendo... Creo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nSi degustar juntos esta comida os hace feliz,\nmerece la pena quemar mis entrañas.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nYa no me provocas temor, Gregory.\nSalta a la vista que eres un tipo muy amable.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Pero sí me asusta que hagas estas barbaridades\npor mí y que puedas volver a desmayarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nLa próxima vez que me traigas un regalo,\nque sea algo que podamos disfrutar los dos.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Quiero que seamos amigos; no tiene sentido\nhacer cosas que nos hagan sentir incómodos.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	A menos que no quieras ser mi amigo...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\n¡No! Quiero decir sí, claro que quiero ser\nvuestro amigo, si a vos os parece bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\n¡Gracias!\x0E\x04\x02\x00
MID_RELIANCE_A_#030	En ese caso, ¿cuál es tu comida favorita?\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Me toca a mí invitarte por todas las molestias\nque te has tomado.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nグレゴリー\nGracias, lady Veyle. Elegiré algo bien sabroso...\npara cuando recupere el sentido del gusto.\x0E\x04\x00\x00
