MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Mi señor Diamant, fijaos! ¡Me he hecho\ncon esta legendaria poción secreta!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¡¿Cómo que una alpaca?!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\n¡Sí! Así os he visto desde el primer día,\ntiene que ser por eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Desde el primer día?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nCuando el torneo aquel, ¿lo recordáis?\nAunque mi familia se opuso, yo me inscribí.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nPerdí contra Jade... pero ¡quedé segundo!\nEn el pueblo me llamaban "la alpaca milagrosa".\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nCreo recordar que no estabas muy feliz...\n¿No te retiraste entre lágrimas?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アンバー\nSí... Tenía tantas ganas de vencer...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nEstaba hundido... Entonces, vos me pedisteis\nque me convirtiera en vuestro segundo vasallo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nMe sonreíais con tanta amabilidad...\nEn ese momento lo supe...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nEste hombre... tiene alma de alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Eso es lo que pensaste?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nEn aquel mismo instante, decidí permanecer\na vuestro lado y protegeros.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\n¿Qué ocurre? ¿Por qué ponéis esa cara?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEs que... no sé qué parte de mí\nte trae a la mente una alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nEn realidad, son varias cosas.\nCómo explicarlo...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nSois amable, apacible y deseo protegeros.\n¡Y sois tan liviano y suavecito!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Me acabas de llamar... "liviano y suavecito"?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nLo sé, es un gran cumplido. No todo el mundo\ncomprende cuánto admiro a las alpacas.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí que... ¿se trata de un cumplido?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nY tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nEn fin... Tendré que hacerme con más poción\nde esa para saber si lo estás diciendo en serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\n¡¿Eh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nEstaba de broma.\nSi dices que así es como te sientes, te creo.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nEs un honor que me compares con una alpaca.\nY me alegro de tenerte como vasallo, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08アンバー\nGracias, príncipe Diamant. Me llena de orgullo\nserviros. De verdad... ¡no hace falta poción!\x0E\x04\x00\x00
