MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nEste pescado a la brasa está de muerte.\nTiene una consistencia perfecta.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\n¿Un salvador? ¿Yo? ¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNo lo entendéis. Claro.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nNo importa. Acabad la comida antes\nde que se enfríe. Enseguida estará el postre.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nフォガート\n¿Postre? ¡Qué rico!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nフォガート\nEsta es la mejor comida del mundo, seguro.\nVoy a dejar el plato limpio.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nLa mejor comida del mundo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Qué bueno! Has vuelto a lograrlo, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nSabía que os estaba gustando\npor vuestra sonrisa extática.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nAntes de que lo olvide, tenemos que volver\na hablar de lo que dijiste el otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\n¿A qué os referís?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nSí, lo de que era tu salvador. Le he estado\ndando vueltas, pero no sé qué querías decir.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nOh, eso...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nMe inscribí en el concurso para ser el cocinero\nde palacio y perdí.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nFue la mayor deshonra de mi vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nAun así, tuvisteis la deferencia de tomarme\ncomo vuestro chef personal.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nNunca podré corresponder vuestra gentileza.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nEntiendo, pero... Bunet, en realidad\nel concurso ese me daba igual.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nMe alegré de que participaras\nporque reapareciste en mi vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\n¿Qué? ¿Esa fue siempre vuestra intención?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nClaro. Habían pasado años desde la última vez\nque hablamos en el mesón de tus padres.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nCierto... Qué despedida tan amarga.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nPero quizá deberíamos dejar esta conversación\npara otro momento. El plato principal está listo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nNo quisiera que una historia acerba\nos impidiese disfrutar de los sabores.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nTienes toda la razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\n¡Hala! ¡Qué bueno está esto!\nEsta comida es la mejor del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Mmm! Se acabó el postre.\nUna pitanza de lujo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nVuestros halagos elevan mi ánimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\n¿A qué viene ese tono agrio?\nParece que quieres que hablemos en serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nAsí es. Le he estado dando vueltas a algo\nque dijisteis. ¿Me mandasteis buscar?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nSí. Cuando oí que los bandidos atacaron\ntu pueblo, me agobié mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nNo dejaron piedra sobre piedra. El mesón\nde tus padres quedó reducido a cenizas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nAquella imagen se me quedó grabada.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nMe sentí muy impotente. Llegué tan pronto\ncomo pude, pero ya era tarde.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nHabías huido con el resto de los habitantes.\nNo sabía adónde habías ido.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nLo siento... Todo fue tan repentino\nque no tuve ocasión de avisaros.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nNo fue culpa tuya. En todo caso...\ntras tu marcha, nunca dejé de buscarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nEchaba de menos tus deliciosos platos,\npero sobre todo nuestras conversaciones...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nYo también las eché de menos.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nCuando me enteré del concurso de cocina,\nsupe que participarías.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nNo dejarías pasar una oportunidad como esa\nde mostrar tu habilidad ante todo el reginato.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nSi lo piensas, tu habilidad con los fogones\nes lo que ha hecho que volvamos a vernos.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nSin embargo, perdí...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\n¡Y dale! Bunet, no tiene importancia.\nTe faltaba práctica.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nSi hubiese otro concurso hoy,\nlo ganarías de calle.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ボネ\nOh, Fogado... Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nMe alegra que me buscaseis. Gracias a eso,\npodemos vivir dulces momentos como este.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nRealmente sois mi salvador.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\n"Salvador" suena muy fuerte, pero... ¡vale!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\n¿Sabes qué? No pienso permitir\nque vuelvas a separarte de mi lado.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nEl sentimiento es mutuo.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nSoy vuestro chef personal y vasallo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nY, lo que es más importante,\nvuestro mejor amigo. Nunca os fallaré.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nフォガート\nMe alegra oír eso. No hay nada más dulce\nque tu amistad, Bunet.\x0E\x04\x00\x00
