MID_WU_C_1_IN_#001	¡Hola!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Os habéis despertado enseguida.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	¿Vos también queréis ir a correr?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Podría dar un par de vueltas más.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	¿Sabéis?...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Ahora me gusta aún más salir a correr.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Todas esas dudas que me amargaban\nya son historia.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¿Os sentís un poco adormilad\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Lo mejor para eso es salir a correr.\n¿Qué me decís?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Vale... Iré con cuidado.\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Con calma.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	¡¿Ya estáis despiert\x0E\x0A\x00\x08\x02o\x02a?!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	De verdad que creía...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	que andaba con mucho cuidado.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Os he traído mi flor preferida de Firene.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	No hay un aroma mejor en todo el mundo.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Debería ayudar a despertaros.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	¿Qué os ha parecido el aroma de Firene?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Algún día os llevaré a un campo\nrepleto de estas maravillas.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	¡Os he preparado el desayuno, Divinidad!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Parece que la comida es la clave\npara despertaros rápidamente.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	¡Deleitaos! Me he asegurado\nde incluir muchas proteínas.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	¿Habéis estado usando el bálsamo muscular?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	¡Los hay con diferentes perfumes!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Melocotón, galleta, hierbas varias...\nHasta hay uno que huele a té.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Creo que deberíais probar...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	el de aroma a pimiento picante.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Da mucha energía,\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	así que es perfecto para las mañanas.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	¡Eh! ¡Vuestra compañera\nha venido a despertaros!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¿Ya estáis despiert\x0E\x0A\x00\x08\x02o\x02a? Qué pena.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Había planeado algo muy delicado.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Ja, ¡claro que puedo ser delicada!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Quería mostraros los espléndidos\ncampos de flores de Firene...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	pero con la guerra y demás\nno hay tiempo para ir de visita.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Podría hacer que trajeran las flores aquí,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	pero no sería lo mismo,\nni aunque llenara la habitación con ellas.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Pero, algún día...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	veremos esos campos junt\x0E\x0A\x00\x08\x02o\x02as. Lo prometo.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Por ahora, secaré una de mis flores favoritas\npara vos.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Quizá la ponga en un broche para que podáis\nllevarlo. Creo que quedaría bonito.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	¡Hora de una carrera matutina!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Arriba, \x0E\x0A\x00&\x10dormilón\x12dormilona.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Bien, estáis despiert\x0E\x0A\x00\x08\x02o\x02a. ¿List\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Empecemos con unos estiramientos...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	y unas vueltas de calentamiento.\nDespués ya iremos aumentando el ritmo.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	He dado unas cuantas vueltas\nsola antes de venir,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	como hacíais vos antes.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Salir a correr sola está bien\npero no es lo mismo sin vos.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Soy mucho más fuerte cuando tengo\na mi amig\x0E\x0A\x00\x08\x02o\x02a y compañer\x0E\x0A\x00\x08\x02o\x02a a mi lado.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	¡Buenos días! ¿List\x0E\x0A\x00\x08\x02o\x02a para poneros en marcha?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Todo va bien...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	cuando corremos codo con codo.\x0E\x04\x00\x00
