MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, tengo una duda.\n¿Cómo os entrenáis los caballeros de Brodia?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x04\x03\x04
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nAy, vaya...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nNo me puedo creer que haya ganado...\nsin despeinarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nY yo no me puedo creer que haya tropezado.\n¡Ni siquiera iba a atacar! Soy patético...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nEspera... Es un truco para que baje la guardia.\n¿Has vuelto a tropezar aposta para distraerme?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nLo siento, Merrin, pero voy a dejarlo aquí.\nLa lección ha terminado por hoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAh, de acuerdo.\nYa seguiremos en otro momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Oye, Merrin! Lo siento mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\n¿Por qué te disculpas?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nPor el duelo del otro día.\nTropecé de verdad. Me ganaste.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\n¿En serio?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nNo fue intencionado ni una estrategia.\nSimplemente... perdí el equilibrio.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nMe ocurre a menudo, de hecho.\nSoy bastante torpe.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nMe tropiezo con todo. ¡El título de caballero\nlo obtuve de pura chiripa!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nEso no me lo creo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nYo también nací en una pequeña aldea; sé lo\nmucho que habrás trabajado para llegar aquí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nNadie se convierte en el vasallo del príncipe\nheredero sin haberse esforzado al máximo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nPuede que te falte coordinación, pero, sin\nninguna duda, eres un caballero excelente.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nMenuda inyección de ánimo...\nGracias, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nSoy yo el que debería aprender de ti.\n¿Podríamos entrenar juntos de nuevo?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nClaro. Será un honor entrenar\ncon un caballero del Reino de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\n¡Bien! ¡Qué ganas!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nCon tu ayuda, dejaré de ser un torpón\ny me convertiré en un caballero respetado.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nPor lo que veo, la fuerza del pueblo\nde Brodia reside en su determinación.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nCreo que yo también voy a aprender\nun par de cosas de ti, amigo mío.\x0E\x04\x00\x00
