MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Vaya, vaya! Pero si es Fogado,\n¡mi hermanito favorito!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nEso sí que es mirar el lado positivo de las cosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nEstamos en plena guerra y haces que suene\ncomo unas vacaciones en familia.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\n¿Tiene eso algo de malo?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nフォガート\nPara nada. Como he dicho antes,\nme alegra verte feliz.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nOye, quiero hablar contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n¿Qué ocurre, Fogado? Te veo un poco triste.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nEs que... creo que te debo una disculpa.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\n¡Lo sabía! ¡Tú me has robado las costillas!\n¡Las estaba guardando para esta noche!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\n¡¿Qué?! ¡Yo nunca haría eso!\n¡Sé cuánto te gustan tus tentempiés cárnicos!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nUn momento. ¿Por qué has dicho que lo sabías?\n¿Es que no te fías de tu propio hermano?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nPerdona, lo siento. Ya sabes cómo me pongo\ncuando me levanto con hambre.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nEn fin, ¿por qué querías disculparte?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nHe estado pensando en lo que dijiste.\nLo de que nunca paraba por el castillo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nCreía que, como el nuestro es un pueblo libre,\ntambién merecía un príncipe con espíritu libre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nPero ahora veo que no he pasado mucho tiempo\ncon mi hermanita. Intentaré compensarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nEscucha, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nSé que hay algo más aparte de todo eso\ndel "espíritu libre".\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nDejas el castillo para conocer mejor el país\ny estar preparado por si surge una crisis, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nAsí, si ocurre lo peor, podrás asesorarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nVeo que lo sabes todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nBueno, para algo somos hermanos, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n¡Sé todo lo que se te pasa por esa cabecita!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nAprecio mucho todo lo que haces por mí.\nNo podría tener un hermanito mejor.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nSomos una familia. Tenemos que cuidarnos\nlos unos a los otros.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nAunque, si te digo la verdad... a veces querría\nque me protegieses un poco menos...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\ny que pasases más tiempo conmigo, ¿sabes?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nComo en este momento. Justo así.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Timerra! ¡He resuelto el problema!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\n¿Había que resolver algo?\nEs la primera noticia que tengo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nToma esto. He pasado la noche en vela\npara hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\n¿Un muñeco? ¿Por qué...? Un momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nNo puede ser... ¡Eres tú! ¡Es un muñeco de ti!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\n¡Cooorrecto!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nAhora siempre estaremos juntos.\nNo volverás a sentirte sola.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nAunque no me encuentre en el castillo,\nserá como si estuviese contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nY, además, te mantendrá a salvo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nYa has metido la pata.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nNo soy una niña. ¿De qué me va a proteger\nun muñeco? ¿De unos soldaditos de juguete?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nAdemás, ¡apenas se te parece en nada!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nTendría que echarle mucha imaginación\npara figurarme que el pelele este eres tú.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nPero me ha costado tanto trabajo hacerlo...\n¿No crees que se da un aire a mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nPues no, ni por asomo.\nLo siento, pero no te queda otra.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nVas a tener que pasar más tiempo conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nSomos la princesa y el príncipe, pero,\nante todo, somos hermana y hermano.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nSí, tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nTú ganas. Pasaré menos tiempo deambulando\npor Solm y más contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\n¡Bien! ¿A que no ha sido tan difícil?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nフォガート\nSupongo que ya no necesitarás el muñeco.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\n¡Yo no he dicho eso!\nLe daré un bonito hogar a este mimosín.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nMuy bien. Pero que sepas que no come carne.\x0E\x04\x00\x00
