MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\n¿Deseas aferrarte a tu inocencia,\na los principios que te han guiado siempre?\x0E\x04\x02\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE006_エル\n¡Nil, contrólate!\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x14\x12E005_Boss\n¡Arg! ¡Demostraré mi valía!\x0E\x04\x02\x00
MID_OP2_#046	Vengaré a mi padre, cumpliré su voluntad\n¡y me convertiré en el nuevo Dragón Caído!\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nConque el Somniel de este mundo se hundió...\nNo me sorprende, la verdad.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x14\x12E005_Boss\nAquí estás, Divinidad.\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x0A\x08リュール\nSolo he venido por Nel.\nDéjala marchar, por favor.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x14\x12E005_Boss\nLo consideraré si retiras la protección\ndel último brazalete.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08リュール\n¿Protección? ¿A qué te refieres?\x0E\x04\x00\x00
MID_OP2_#052	\x0E\x03\x02\x14\x12E005_Boss\nEs el Brazalete de las Tres Casas.\x0E\x04\x02\x00
MID_OP2_#053	Un hechizo lo protege para que nadie\npueda canalizar su poder.\x0E\x04\x02\x00
MID_OP2_#054	No es posible invocar a sus Emblemas,\nni mover el brazalete a otro lugar.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x0A\x08リュール\nA pesar de que el Somniel cayó desde el cielo,\nel brazalete no se liberó. Debe de ser frustrante.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x14\x12E005_Boss\nEn efecto. El Dragón Divino me habló\ndel hechizo antes de enfrentarse a mi padre.\x0E\x04\x02\x00
MID_OP2_#057	Solo puede romperlo quien lo conjuró,\npero \x0E\x0A\x00l4la muy imbécil está muerta4el muy imbécil está muerto.\x0E\x04\x02\x00
MID_OP2_#058	Y por eso no podía convertirme en el heredero\nde padre aunque reuniera todos los brazaletes.\x0E\x04\x02\x00
MID_OP2_#059	Fue tu llegada lo que reavivó mi esperanza.\nLlevaba mucho tiempo aguardando este día.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x0A\x08リュール\nPorque yo puedo eliminar la protección.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x14\x12E005_Boss\nExacto. Y accederás a ello o mataré a Nel.\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x10\x0EE006_エル\nNo lo hagas, Divinidad.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nEs necesario. Por ti, Nel.\x0E\x04\x02\x00
MID_OP2_#064	Listo. ¿Satisfecho?\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x14\x12E005_Boss\nJa, ja... ¡Ja, ja, ja!\x0E\x04\x02\x00
MID_OP2_#066	¡El último brazalete ya está en mi poder!\x0E\x04\x02\x00
MID_OP2_#067	¡Despertad, Emblemas!\n¡Concededme lo que deseo!\x0E\x04\x02\x00
MID_OP2_#068	Al fin, padre...\n¡Lo he logrado!\x0E\x04\x02\x00
MID_OP2_#069	¡Uaaarg!\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x0A\x08リュール\nHe hecho lo que me pedías. Ahora libera a Nel.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x02\x14\x12E006_Boss\n¿Y qué me impulsaría a hacerlo,\ncuando ya he obtenido lo que buscaba?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x0A\x08リュール\n¡Monstruo!\x0E\x04\x00\x00
MID_OP2_#073	\x0E\x03\x02\x14\x12E006_Boss\n¡Ja, ja, ja! ¡Adiós, desdichada hermanita!\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x0A\x08リュール\n¡Nel!\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x18\x16E006_セレスティア\n¡Ya es suficiente!\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x14\x12E006_Boss\n¿Cómo...?\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x0A\x08リュール\n¡Zelestia! ¡Gregory! ¡Madeline!\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x02\x18\x16E006_セレスティア\n¡¿Estáis herida, lady Nel?!\x0E\x04\x00\x00
MID_OP2_#079	\x0E\x03\x02\x10\x0EE006_エル\n¡Mis Vientos! No os imagináis el alivio que\nsiento al veros...\x0E\x04\x02\x00
MID_OP2_#080	¡Qué alegría encontraros sanos y salvos!\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x0A\x08リュール\nUn momento... ¿Y Mauvier?\x0E\x04\x00\x00
MID_OP2_#082	\x0E\x03\x02\x18\x16E006_セレスティア\nDivinidad, lady Nel... Lo lamento, pero Mauvier...\x0E\x04\x02\x00
MID_OP2_#083	Mauvier está...\x0E\x04\x00\x00
MID_OP2_#084	\x0E\x03\x02\x10\x0EE006_エル\n¿Qué ha ocurrido?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nYa hemos destruido los pilares.\nEl templo no tardará en derrumbarse.\x0E\x04\x02\x00
MID_OP3_#002	Adiós, querida familia...\x0E\x04\x02\x00
MID_OP3_#003	¡Ah!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\n¡¿Mauvier?! ¿Has...?\n¿Eso es un bastón de teletransporte?\x0E\x04\x02\x00
MID_OP3_#005	¿Y Zelestia? ¿La has sacado de aquí?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nMi plan era este desde el principio.\x0E\x04\x02\x00
MID_OP3_#007	¿Por qué morir todos cuando solo hace falta\nque uno permanezca aquí?\x0E\x04\x00\x00\n
MID_OP3_#008	\x0E\x03\x02\x16\x14E004_グレゴリー\n¡Idiota! ¡Así no podrás salvarte tú! Dámelo a mí.\nSi alguien tiene que quedarse aquí, seré yo.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nGregory, a partir de ahora eres el lugarteniente\nde Zelestia. Espero que estés a la altura.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x16\x14E004_マデリーン\n¿Por qué no nos dijiste nada, Mauvier?\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, deseo que encuentres la felicidad.\nProtegerte ha sido mi mayor...\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x16\x14E004_マデリーン\n¡Para ya! ¡Deja de despedirte de mí!\nÍbamos a morir juntos. Me obligas a decírtelo...\x0E\x04\x02\x00
MID_OP3_#013	Mauvier, te quie...\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nSe acabó.\x0E\x04\x02\x00
MID_OP3_#015	Lamento haberos engañado a todos.\x0E\x04\x02\x00
MID_OP3_#016	Erais mi familia, y doy las gracias por cada día\nque hemos pasado juntos.\x0E\x04\x02\x00
MID_OP3_#017	Pero mi tiempo se ha agotado\ny debéis seguir adelante sin mí.\x0E\x04\x02\x00
MID_OP3_#018	Lady Veyle... Pronto me reuniré con vos.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x10\x0EE006_エル\nNo... Mauvier...\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nNo me lo puedo creer.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x18\x16E006_セレスティア\nUn sacrificio altruista, heroico.\nMurió como el más insigne de los caballeros.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E006_Boss\nPensar que solo he enterrado a uno de esos\nasquerosos Vientos... ¡¿Cómo habéis escapado?!\x0E\x04\x02\x00
MID_OP4_#005	No importa. A ojos de lord Sombron,\nsois todos despreciables. ¡Por eso moriréis aquí!\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08リュール\n¡No, Nil! ¡No permitiremos que sigas\nlos pasos de Sombron!\x0E\x04\x02\x00
MID_OP4_#007	Impediremos que te conviertas en su heredero,\n¡cueste lo que cueste! ¡Vientos! ¡Nel!\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x18\x16E006_セレスティア\nSí... Has matado a uno de los nuestros, pero\n¡aún podemos desencadenar una tempestad!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x00\x1A\x14E006_グレゴリー\x023\x0E\x03\x02\x16\x14E006_グレゴリー\nNo daré vuelta atrás. Mauvier me encomendó\nser un lugarteniente digno.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x00\x1A\x14E006_マデリーン\x024\x0E\x03\x02\x16\x14E006_マデリーン\nCuando mi señor equivoca el rumbo,\nmi deber es corregirlo. Estoy lista.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE006_エル\nNo soporto la idea de perder\na alguno más de vosotros.\x0E\x04\x02\x00
MID_OP4_#012	Esta será nuestra batalla final.\x0E\x04\x02\x00
MID_OP4_#013	Hermano...\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\n青リュール\x02b\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x04\x0C\n青リュール\n\x0E\x05\x01\x18\n青リュール\nAngry\n\x0E\x03\x02\x0C\n青リュール\nDetenlo, te lo ruego.\nTe cederé cuanto queda de mi poder.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x01\x0C\n青リュール\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nEs... muchísimo.\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nGracias. ¡No te fallaré!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nEl terreno es inestable. Debemos dirigirnos\na la isla del noroeste lo antes posible.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nPor los vórtices aparecerán refuerzos enemigos.\nConviene sellar todos los que encontremos.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nQué horror. Si hubiera estado ahí,\nhabría perecido en el acto.\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nNil parece absorber poder por cada víctima\nque siembra a su paso.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x1C\x0EE006_エル\nAngry\nQuizá convenga diezmar a los enemigos\nde cada isla antes de que caiga.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nVeo algo por allí. Puede que no tenga\nimportancia, pero me gustaría investigarlo.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\n¿Echas de menos tu mundo? Lástima, pero ya\nno regresarás. ¡No tras haber osado desafiarme!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01\x1E\x12E005_Boss\x08Pain\n\x0E\x03\x02\x14\x12E005_Boss\n¿Me han derrotado? Imposible. Padre... ¡Padre!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1Me alegra veros a todos aquí reunidos, como\nen los viejos tiempos. Siempre esperé que...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nAl fin podré reunirme con todos... en aquella\npreciosa pradera... Divinidad, esperadme...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01"\x14E006_Hide2\nSmile\n\x0E\x03\x02\x16\x14E006_Hide2\n¡Por fin! Adiós, presión y responsabilidades.\nYa solo tengo que arrancar las malas hierbas.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01\x1E\x14E006_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide2\nMuero con orgullo, como última representante\nde la casa real firenesa. Madre... he sido feliz.\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nNo parece haber esperanza de que regrese\nla paz. ¿Quién quedará para ocupar este trono?\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nGracias; ya no tendré que volver a luchar.\nBrodia, lamento haber sido un rey débil...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01 \x14E006_Hide4\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide4\n¿Acaso he muerto? ¿Yo, el futuro y anhelado\nrey? No es posible. Y, sin embargo, aquí estás...\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01\x1E\x14E006_Hide4\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide4\nYa no puedo caer más bajo. Siento no haber\nsido un buen hermano, Diamant...\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01 \x14E006_Hide5\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide5\nDebería regocijarme al ver a un hijo del Dragón\nCaído despierto. ¿Por qué siento tal vacío?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01\x1E\x14E006_Hide5\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide5\nSé que es tarde para arrepentirme, pero...\nojalá pudiera disculparme ante Hortensia...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01$\x14E006_Hide6\x0CNormal\n\x0E\x03\x02\x16\x14E006_Hide6\nYa no queda nadie, ni siquiera\nel Dragón Divino. Y no van a regresar...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01"\x14E006_Hide6\nSmile\n\x0E\x03\x02\x16\x14E006_Hide6\nSe acabó... Quizá ahora podamos reunirnos\ntodos otra vez. ¿Se alegrará Ivy de verme?...\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nDivinidad...\n¿Os han devuelto a la vida, igual que a mí?\x0E\x04\x00\x00
MID_BT24_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNo exactamente. Espera...\n¿Acaso sabes que eres una aberración?\x0E\x04\x00\x00
MID_BT24_#003	\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nDebería haber muerto en Elusia,\npero, como veis, sigo aquí.\x0E\x04\x02\x00
MID_BT24_#004	Si a vos os han resucitado, quizá me rencuentre\ncon todos aquellos que significan algo para mí.\x0E\x04\x02\x00
MID_BT24_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\nEstáis de mi lado, ¿verdad, Divinidad?\nSeguro que sí. Pero ¿por qué os interponéis?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide7\nNo es malicia lo que guía mis acciones...\nTengo un deber como última reina de Solm.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide7\nLo siento... Siento el sol del desierto acariciar\nmi rostro. Por fin vuelvo a casa, madre...\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01\x1E\x14E006_Hide8\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide8\nNo tengo miedo. Ya he muerto dos veces...\n¿Qué más da una tercera?\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01$\x14E006_Hide8\x0CStatus\n\x0E\x03\x02\x16\x14E006_Hide8\nMe temo que esta sí es la definitiva...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\n¡Divinidad, cuánto tiempo! La última vez\nque os vi fue en nuestra peleíta de Lythos.\x0E\x04\x02\x00
MID_BT25_#002	\x0E\x05\x01"\x14E005_Hide2\nRelax\nEl encapuchado era yo. Nil me había convertido\nen aberración y casi no era consciente de ello.\x0E\x04\x00\x00
MID_BT25_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nSabiendo lo que te hizo, ¿sigues luchando\nen su bando? ¿Por qué motivo?\x0E\x04\x00\x00
MID_BT25_#004	\x0E\x03\x02\x16\x14E005_Hide2\n¡Es una gran oportunidad! ¿Cómo voy a hacer\ntodo lo que me perdí en la vida, si no?\x0E\x04\x02\x00
MID_BT25_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\nSer una aberración no está nada mal.\nSolo sigues tus impulsos básicos; sin freno.\x0E\x04\x02\x00
MID_BT25_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\nNo sientes empatía ni vergüenza. ¡Así que puedo\nmatarte sin el más mínimo remordimiento!\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x18\x0EE006_エル\x06Sad\n\x0E\x03\x02\x10\x0EE006_エル\nTu aspecto actual me recuerda al de Sombron.\x0E\x04\x02\x00
MID_BT19_#002	Supongo que tú sentirías algo parecido\nal verme a mí cuando me transformé.\x0E\x04\x00\x00
MID_BT19_#003	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nAhórrate las suposiciones y la compasión.\nTú siempre lo tuviste todo. No nos parecemos.\x0E\x04\x02\x00
