MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0E\x08ヘクトル\x023\n\x0E\x03\x02\x06\x04チキ\n¡Mira! ¡Aquí hay otro amigo\nde brazalete, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nGracias, Emblema Hector. Ardo en deseos\nde verte en acción en el campo de batalla.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08ヘクトル\n¡Así se habla!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04リン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nHa sido un buen enfrentamiento, Lyn.\n¿Podemos hablar un momento?\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x06\x04リン\nEsperaba que me pidieras la revancha.\n¿Qué deseas?\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08ヘクトル\nSolo quiero saber si estás bien.\nEn la última ronda me he dejado llevar un poco.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x06\x04リン\nGracias por interesarte.\nHa sido un golpe muy duro, pero estoy bien.\x0E\x04\x02\x00
MID_ED2_#005	Es más, me alegro mucho.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08ヘクトル\n¿Te alegras de que te diera un hachazo?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x06\x04リン\nNo es eso. Me has recordado los momentos\nque compartimos Eliwood, tú y yo.\x0E\x04\x02\x00
MID_ED2_#008	Entrenábamos duro y luchábamos con todo,\npero esos días quedaron en el recuerdo.\x0E\x04\x02\x00
MID_ED2_#009	Ver cómo te empleas a fondo\nme ha recordado esas sensaciones.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x0A\x08ヘクトル\nTe entiendo perfectamente.\x0E\x04\x02\x00
MID_ED2_#011	Me tranquiliza combatir a tu lado\nporque sé que me cubrirás las espaldas.\x0E\x04\x02\x00
MID_ED2_#012	Y porque eres una amiga muy valiosa\na quien le puedo confiar mi propia vida.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x06\x04リン\nPues espero que me permitas que te proteja\nen lugar de cargar tú solo contra el enemigo.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08ヘクトル\nNo te preocupes. No pienso dejarte atrás.\x0E\x04\x00\x00
