MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nMmm... Quizá lo esté enfocando mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nLos clientes no quieren cosas que pueden\nencontrar en cualquier lado, sino algo único.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nPor eso mi trabajo es tan complicado, siempre\ntengo que desarrollar nuevos productos.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nEntendido. Deja que le dé algunas vueltas.\nSeguro que pronto se nos ocurre algo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nHola, lady Anna. ¿Ya se te ha ocurrido\nqué podrías vender?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nNo. Sigo sin ideas...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nOh... ¿Estás llorando?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06アンナ\n¡No!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nSolo estoy un poco triste. No paro de decirle\na la gente que no me trate como a una niña.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nPero, en momentos así, me doy cuenta\nde que soy una cría que no puede hacer nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nPor eso no se me ocurre ningún producto\nnuevo para el Día de los Enamorados.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nAnímate, lady Anna...\nCreo que sé cómo ayudarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nHe pensado en algo que podrías vender.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nLlevo unos días dándole vueltas, de hecho.\n¡Collares hechos a mano!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\n¿Collares otra vez? ¿No quedó\nclaro que estaban descartados?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nYa sé que dijiste que son muy típicos\ndel Día de los Enamorados.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nPero, si se fabrican a mano, todos tendrán\nalgo único. ¿No es eso lo que buscas?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nAdemás, creo recordar que en tu aldea\nsabéis trabajar muy bien el cristal.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\n¡Añádele un hilo y ya tienes un collar!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\n¿Tan mala idea es?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nNo, no... ¡Me gusta! Podría tener éxito.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\n¡Muchas gracias, Divinidad!\nMe has dado nuevos ánimos.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nEs un placer ayudar, lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Cómo van los collares?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\n¡Hola, Divinidad! Me alegra informarte\nde que ya he fabricado la mitad.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nVaya, te están quedando muy bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nEl mérito es tuyo por darme la idea.\nDe verdad que te lo agradezco mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06アンナ\nSiento haber sido tan quejica.\nSi esto sale bien, no volveré a hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nEso es muy maduro por tu parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nAunque todo el mundo se queja\nde vez en cuando, incluso los adultos.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nSi algo te resulta frustrante, siempre\npuedes acudir a mí para contármelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\n¡Eso me hace feliz! Te debo un gran favor\npor todo esto, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nPor cierto, he pensado en llamarlos\n"Collares del Dragón Divino".\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nTe agradezco el detalle, pero creo que deberías\nusar otro nombre que fuera más comercial.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\n¡Te ha dado vergüenza, qué mon\x0E\x0A\x00\x08\x02o\x02a!\nAhora sí que está decidido: los llamaré así.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n¿Por qué no lo consultas con la almohada?\n¡Seguro que se te ocurre un nombre mejor!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nLalalá, no te oigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nEn cuanto los ponga a la venta,\nseguro que se agotan el primer día.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nBueno, dejaré pasar lo del nombre\nmientras eso te haga feliz.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nCruzo los dedos para que tu negocio\nsea un éxito, lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nHoy es el Día de los Enamorados.\n¿Cómo se está vendiendo el nuevo producto?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06アンナ\nYa se ha agotado.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n¡¿De verdad?!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06アンナ\n¡Que sí! Me los han quitado de las manos.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nEnhorabuena, lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06アンナ\nNo habría sido posible sin ti, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nEs una pena que no haya podido ver\nlos collares terminados.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06アンナ\nLo cierto es que... aún me queda uno. Mira.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n¡Oh! Sí que has hecho un gran trabajo.\nNo me extraña que se vendieran tan rápido.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06アンナ\nPuedes quedártelo si quieres.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\n¿Estás segura?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06アンナ\nEse no estaba a la venta. Es el que mejor\nquedó, por eso lo guardé para ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06アンナ\nEspero que te guste.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n¿Es el mejor? ¿Seguro que no te importa\nque me lo quede yo?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06アンナ\n¡No te lo ofrecería si no fuese de corazón!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06アンナ\nMira... Aprecio todo lo que has hecho por mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nQué palabras tan amables.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06アンナ\nEntre l\x0E\x0A\x00\x08\x02o\x02as dos creamos este producto\nen equipo. Te lo agradezco mucho.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06アンナ\nPor eso pensé que deberías quedarte\ncon el mejor, como muestra de nuestra amistad.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nMe alegra que todo haya salido bien.\nY es un honor aceptar este collar. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\n¿Sabes qué? Yo también tengo un regalo\npara ti: el Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06アンナ\n¡¿Qué?! ¡No puede ser!\nEs demasiado valioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nPor eso quiero que lo tengas tú.\nLos productos únicos son los mejores, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nYa que yo tengo un recuerdo de nuestra\namistad, tú también deberías tener uno.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06アンナ\nYa... Hemos creado algo genial, así que\nsupongo que eso nos convierte en soci\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06アンナ\nVale, vale, me lo quedaré.\n¡El día va mejorando por momentos!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\n¡Ya lo creo!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06アンナ\nBien, a partir de mañana tenemos\nmucho trabajo que hacer.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06アンナ\nPrimero, hay que buscar artesanos\nque fabriquen los collares en masa.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06アンナ\nEn cuanto se sepa que el Dragón Divino\ntiene uno, ¡se venderán como rosquillas!\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\n¡Ja, ja, ja! Cuánta determinación.\nNo cambies nunca, lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nNo quisiera que mi socia se ablandara.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06アンナ\n¡Tranquil\x0E\x0A\x00\x08\x02o\x02a! Nuestra sociedad nos traerá fama,\ndinero y me reunirá con mi familia.\x0E\x04\x00\x00
