MID_WU_C_1_IN_#001	¡Aquí estoy!
MID_WU_A_1_WAKEUP_#002	Pero esta me parece una buena alternativa.
MID_WU_A_1_WAKEUP_#003	Observaros mientras descansáis me infunde\ntanta calma que...
MID_WU_A_1_WAKEUP_#004	(...)
MID_WU_A_1_HELLO_#001	Zzz... Zzz...
MID_WU_A_1_HELLO_#002	Ah... ¡Ay! ¡Me he quedado dormida!
MID_WU_A_1_HELLO_#003	¿Qué os parece si damos un paseo\npara espabilarnos? Aunque...
MID_WU_A_1_HELLO_#004	Tengo la sensación de que olvido algo.
MID_WU_A_1_HELLO_#005	¡Bah! ¡Serán imaginaciones mías!
MID_WU_A_2_IN_#001	Siempre es un placer despertar\nal Dragón Divino.
MID_WU_A_2_IN_#002	Tanto aquí como en mi antiguo mundo.
MID_WU_A_2_SOON_#001	¡Muy buenas!
MID_WU_A_2_SOON_#002	Ver cómo os levantáis
MID_WU_A_2_SOON_#003	me trae gratos recuerdos
MID_WU_A_2_SOON_#004	del Dragón Divino de mi mundo.
MID_WU_A_2_WAKEUP_#001	Allí, cuando vivía la reina Lumera,
MID_WU_A_2_WAKEUP_#002	solía encargarme de despertaros.
MID_WU_A_2_WAKEUP_#003	Pero, tras vuestro ascenso al trono,\nrara vez disfruté de ese privilegio.
MID_WU_A_2_HELLO_#001	Estáis \x0E\x0A\x00(\x12despierto\x12despierta.
MID_WU_A_2_HELLO_#002	Es maravilloso que durmáis tan profundamente.
MID_WU_A_2_HELLO_#003	Si no necesitaseis a nadie para levantaros\ncada mañana,
MID_WU_A_2_HELLO_#004	me pregunto qué haría yo para entretenerme...
MID_WU_S_1_IN_#001	\x0E\x0A\x000\x16Querido mío\x16Querida mía,
MID_WU_S_1_IN_#002	¡he venido a despertaros!
MID_WU_S_1_SOON_#001	Os habéis espabilado de inmediato...
MID_WU_S_1_SOON_#002	¡Ja, ja, ja!
MID_WU_S_1_SOON_#003	Me alegro enormemente.
MID_WU_S_1_SOON_#004	¿Verdad que no hay nada mejor que la familia?
MID_WU_S_1_SOON_#005	Espero que nunca nos separemos.
MID_WU_S_1_WAKEUP_#001	Vaya, ¿ni un atisbo de reacción en presencia\nde vuestra compañera más querida?
MID_WU_S_1_WAKEUP_#002	Qué sola me siento...
MID_WU_S_1_WAKEUP_#003	Como no os despertéis de una vez,
MID_WU_S_1_WAKEUP_#004	me buscaré otro dragón\ncon el que pasar el rato.
MID_WU_S_1_WAKEUP_#005	No lo digo en serio.
MID_WU_S_1_WAKEUP_#006	Se me antoja imposible abandonaros...
MID_WU_S_1_WAKEUP_#007	Disfruto demasiado de vuestra compañía.
MID_WU_S_1_HELLO_#001	¿Os ha gustado mi forma de despertaros?
MID_WU_S_1_HELLO_#002	¿Cómo? ¿Estáis \x0E\x0A\x00$\x10contento\x10contenta?
MID_WU_S_1_HELLO_#003	¡Fantástico!
MID_WU_S_1_HELLO_#004	Me alegra saber
MID_WU_S_1_HELLO_#005	que os he hecho sonreír.
MID_WU_S_2_IN_#001	Buenos días, \x0E\x0A\x00&\x10dormilón\x12dormilona.
MID_WU_S_2_IN_#002	Compruebo que hoy volvéis a precisar\nmi ayuda.
MID_WU_S_2_SOON_#001	Os agradezco que despertéis nada más\nverme llegar,
MID_WU_S_2_SOON_#002	pero...
MID_WU_S_2_SOON_#003	no me privéis del placer de mimaros,\nos lo ruego.
MID_WU_S_2_SOON_#004	Quiero que sepáis
MID_WU_S_2_SOON_#005	que siempre me tendréis para lo que necesitéis.
MID_WU_S_2_WAKEUP_#001	Se os ve tan \x0E\x0A\x00$\x10relajado\x10relajada mientras dormís...
MID_WU_S_2_WAKEUP_#002	Estoy convencida de que,\nen más de una ocasión,
MID_WU_S_2_WAKEUP_#003	yo también tendré que recurrir a vuestra ayuda.
MID_WU_S_2_WAKEUP_#004	Espero que eso no os importe.\nAl fin y al cabo, somos familia.
MID_WU_S_2_WAKEUP_#005	Es asombroso haber forjado un vínculo\ntan poderoso
MID_WU_S_2_WAKEUP_#006	entre un Dragón Divino y una dragona maga.
MID_WU_S_2_WAKEUP_#007	Gracias por haberos convertido\nen mi auténtica familia.
MID_WU_S_2_WAKEUP_#008	Me hace tan feliz
MID_WU_S_2_WAKEUP_#009	que me hayáis entregado el Anillo del Pacto...
MID_WU_S_2_HELLO_#001	Ah...
MID_WU_S_2_HELLO_#002	No sabéis cuánto os amo.
MID_WU_S_2_HELLO_#003	Pero no quisiera avergonzaros.
MID_WU_S_2_HELLO_#004	Aunque me encantaría deciros lo que siento\npor vos a diario,
MID_WU_S_2_HELLO_#005	jamás haría nada que os pudiese incomodar.
