MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\n¿Alfred?...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nAgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\n¡¿Qué sucede?!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nTranquila, Céline... Solo es... una crisis.\nSe me pasa enseguida...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\n¿Una crisis? ¿Acaso has recaído\nen tu enfermedad?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nCon lo bien que iba... Creía que aquella parte\nde mi vida era agua pasada...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEspérame aquí. Voy a buscar ayuda.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡No, detente!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nPero... ¿por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo quiero que nadie me vea así. Ni nuestros\naliados, ni los Emblemas, ni el Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo puedo mostrarme como un príncipe endeble\ne inútil, capaz de derrumbarse cualquier día.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\n¡Jamás te juzgarían de esa manera!\nSu infinita benevolencia lo impide.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Pero yo sí me vería así!\nAdemás, me niego a ser una carga para ellos.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nDelante de ellos, he de dar una imagen\nde príncipe resuelto que se ejercita con ahínco.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nDéjame descansar un rato. No es nada.\nPor favor te lo pido, Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nDe acuerdo. Eso sí, si tu estado empeora,\niré a pedir ayuda.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo sabes cuán feliz me hace\ntenerte por hermana.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\n¿Esa es tu idea de la felicidad?\nNo digas sandeces.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nVale, entonces, ¿a ti qué te pone contenta?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nNada.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Estás de broma? Tienes grandes amigos,\ngozas de buena salud... ¿Eso no te hace feliz?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セリーヌ\nDisfruto de esas cosas, ciertamente,\nmas no las persigo como objetivo vital.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\n¿Qué sería de mí si encontrase la dicha?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nQue pasaría el resto de mis días\nrememorando el pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿En serio? ¿Aunque luego vivieras\nalgo todavía mejor?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08セリーヌ\nLa posibilidad de que nunca sucediera\nme aterra. No podría soportarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セリーヌ\nSiempre he anhelado la felicidad y solo he visto\nmiseria, como cuando hui del castillo.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08セリーヌ\nDe haber caído Firene o de haberos perdido\na madre o a ti, ¿qué habría hecho yo?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08セリーヌ\nY ahora esto. Si fuera a peor y hubieras\nde dejarme... ¿qué iba yo...? ¿Cómo podría...?\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08セリーヌ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cアルフレッド\nOye, no pienso morir, ¿entendido?\nSaldré adelante entrenando duro.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08セリーヌ\nDe verdad que tienes alma de bárbaro.\nSi tu físico le fuera a la par...\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Todo se andará! Por eso hago ejercicio.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0E\x0Cアルフレッド\nMira, Céline, un trébol de cuatro hojas. ¿Lo ves?\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08セリーヌ\n¿Dónde?\x0E\x04\x00\x00
MID_RELIANCE_A_#041	\x0E\x03\x02\x0E\x0Cアルフレッド\nAl lado de tu pie. Toma, aquí tienes.\nUn pequeño tesoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#042	\x0E\x03\x02\x0A\x08セリーヌ\nUn pequeño tesoro... ¡Qué recuerdos! De niños\níbamos siempre buscando cosas como esta.\x0E\x04\x00\x00
MID_RELIANCE_A_#043	\x0E\x03\x02\x0A\x08セリーヌ\nEn aquel entonces, se me daba mejor a mí\nque a ti. ¿En qué momento me superaste?\x0E\x04\x00\x00
MID_RELIANCE_A_#044	\x0E\x03\x02\x0E\x0Cアルフレッド\nCharlar contigo hace que me sienta genial.\n¡Me apunto otro pequeño tesoro!\x0E\x04\x00\x00
MID_RELIANCE_A_#045	\x0E\x03\x02\x0A\x08セリーヌ\nNo sé si eso cuenta, aunque me reconforta\nsaber que ya ha pasado lo peor.\x0E\x04\x00\x00
MID_RELIANCE_A_#046	\x0E\x03\x02\x0E\x0Cアルフレッド\nPara saldar mi deuda contigo, iré a buscarte\nun montón de pequeños tesoros.\x0E\x04\x00\x00
MID_RELIANCE_A_#047	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo te prometo que vaya a estar bien siempre,\npero podemos darnos apoyo mutuo, por Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#048	\x0E\x03\x02\x0A\x08セリーヌ\nClaro, Alfred. Seré tu fiel aliada.\x0E\x04\x00\x00
MID_RELIANCE_A_#049	\x0E\x03\x02\x0A\x08セリーヌ\nPase lo que pase, retornaremos\na Firene. ¡Juntos!\x0E\x04\x00\x00
