MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nCaray, ¿qué tenemos por aquí?\n¡Nada menos que la princesa Céline de Firene!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSí, tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Princesa Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSaludos, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\n¡Han llegado a mis oídos rumores\nde lo más interesantes!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nTengo entendido que, a pesar de tu posición,\n¡manejas la espada con simpar maestría!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nEso aviva aún más mi interés. ¿Aceptas el reto?\n¡Ardo en deseos de verte luchar!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nDe veras que agradezco la oferta,\nmas detestaría batirme sin un motivo de peso.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nLástima... ¿Es que no deseas\nponer a prueba tu talento?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nMi deber me obliga a mantenerme en forma,\npero jamás entreno por puro placer.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nCada cual tiene sus manías, supongo...\n¿Al menos aceptarás que te invite a un té?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nMe encantaría, pero antes he de atender\ncierto asunto oficial.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEs una simple misiva que planeo enviar a casa.\n¿Te importa aguardar hasta que la escriba?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nQué ajetreada es la vida de las princesas...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAsí es. No puedo desdeñar\nmis responsabilidades.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\n¿Y no se te antoja sofocante tanta obligación?\nYo no sería capaz de soportarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nUna vida como la mía conlleva sus penurias,\npero también me reporta satisfacciones.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nAh, ¿sí? Confieso que me cuesta creerlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nLa próxima vez que departamos te contaré\nde dónde extraigo exactamente tal placer.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¿Es esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSí, lo que ves.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nNo lo entiendo.\n¿Qué te hace tan feliz de este cuadro?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nRepresenta a tu reino y es de una factura\nsublime, pero más allá de eso...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nComo te decía la última vez,\nla vida de una princesa conlleva sus penurias.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nPero me regocija ver a mi pueblo\ndisfrutar de la paz.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nSí, las personas de este cuadro parecen\nvivir contentas y en paz, desde luego.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSi puedo asegurarme de que vivan de ese modo,\ntodos mis pesares habrán merecido la pena.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nCompruebo el profundo amor que profesas\na tu patria...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\n¡Inmenso, te lo aseguro!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nBien, ahora ya sé qué es lo que hace\nfeliz a una princesa.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nEn cuanto a mí, ¡me basta con encontrar\nun digno rival al que retar a un duelo!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAh, cierto... Deseabas practicar conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nSi planearas atacar Firene, no encontrarías\noponente más fiera y despiadada que yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nSería un placer verte armada de toda tu furia,\npero no estoy dispuesto a pagar ese precio.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nMe alegra oírlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nBien, si no vamos a luchar,\ntomemos al menos un té.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nMe consta que posees un don\npara elegir infusiones.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMe parece una excelente alternativa.\nEso nos permitirá mantener nuestra amistad.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\n¡Ese ha sido siempre mi objetivo!\x0E\x04\x00\x00
