MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Buenas, princesa Ivy!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nA ti te gusta la carne y yo prefiero la verdura.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nA mí me encanta cantar, pero a ti te da\nvergüenza hacerlo delante de otra gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nA mí me gusta estudiar. Tú, en cambio,\nprefieres corretear por las colinas.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nEs verdad que no nos parecemos en nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nSí. Sin embargo, disfruté mucho\nde tu compañía.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\n¡Yo también! Me lo pasé genial.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nLas diferencias pueden provocar conflictos,\npero también estimular el intercambio de ideas.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nCreo que hablar contigo me ha ayudado\na ser una mejor dirigente para mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nLo mismo digo. Espero que podamos\nseguir siendo amigas.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nLa amistad se basa en la reciprocidad.\nAhora tienes que revelarme algún punto débil.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nVaya, pues si no hay más remedio,\ntendré que decírtelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nEs broma. Me gustaría que nos lleváramos\nbien, princesa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nQuiero que nuestra amistad sirva\nde ejemplo para nuestros países.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nEstoy de acuerdo.\n¡Por una larga y próspera amistad!\x0E\x04\x00\x00
