MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Me lo he pasado genial!\nHacía tanto que no cabalgábamos juntas...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nPoco a poco, me enseñasteis a darle\na mi cólera un uso más... productivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nContra cualquiera que se te colara en la fila.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\n¡Eso solo ocurrió una vez! Me refería\na los bandoleros a los que nos enfrentamos.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nMe ayudasteis a dominar mis arrebatos\nde furia para usarlos con un buen fin.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\n¡Me alegra oír eso! Aunque, si te digo la verdad,\nno era mi intención.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nSí, ya lo imaginaba.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nEn todo caso, si no os hubiese encontrado,\npatrona...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nla furia me habría consumido por completo\ny habría acabado sola y resentida.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パネトネ\nHabría desperdiciado toda mi vida\nlamentando mi mala fortuna.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPanette, dijiste que, si no me hubieses\nconocido, habrías acabado sola y resentida.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nPero no creo que sea verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\n¿Qué os hace pensar eso, patrona?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nBueno, aunque eras bastante salvaje,\nestá claro que tenías un lado amable.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nIncluso si te enfrentabas con auténtica escoria,\nte limitabas a pararles los pies sin ensañarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nTras nuestras largas cabalgadas, te preocupabas\nde alimentar y cepillarles el pelo a los lobos...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nLa verdad es que yo no te puse\nen el buen camino; ya estabas en él.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\n¿Lo decís de veras?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nClaro. Sabía que eras una buena persona.\nPor eso te pedí que entraras a mi servicio.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nRecuerdo aquel día. Quedé muy sorprendida.\nJamás sospeché que fueseis la princesa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\n¿No te convenció el modo principesco\nen que te lo pedí? "¡Porfa, sé mi vasalla!"\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nMe pareció absurdo que una princesa\nquisiera relacionarse con alguien como yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nPues me alegro de que finalmente aceptaras.\nMuchas gracias, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nPor favor, patrona. Soy yo quien\nos debe estar agradecida a vos.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nVenga ya. ¿Crees que no me he dado\ncuenta de cómo te desvives?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nSé que te preocupaba mucho deshonrarnos\na mí o a mi familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nA decir verdad, la etiqueta de la corte\npuede ser una locura. Me hago cargo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nPero te tomaste la molestia de aprender\npara estar a la altura de tu cargo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nEra lo mínimo que podía hacer\npara corresponder a vuestra generosidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nPanette, quiero que sepas una cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nSeré una reina digna de tu empeño.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nUna reina a la que puedas\nenorgullecerte de servir.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nNo albergo ninguna duda. Yo, por mi parte,\nprometo serviros con el máximo fervor.\x0E\x04\x00\x00
