MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\n¿Has viajado de un mundo a otro para ayudar\na unos extraños? Eres ciertamente peculiar...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\n¿Te apetece que demos un paseo?\nLo digo por cambiar un poco de aires...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNo, estoy bien así.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nAjá... Bueno, si te molesta algo, lo que sea,\npuedes decírmelo. Para eso estoy.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nEs obvio que no nos vamos a entender...\nAhórrame tus atenciones. No las necesito.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSoren, ¿tienes un momento? ¡Me gustaría\nretarte a un combate de entrenamiento!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0A\x08セネリオ\n¿Por qué te intereso tanto yo? No creo que\nandes corta de compañeros de práctica.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nTus ataques son previsibles. Casi le estás\ndiciendo a tu rival cuándo debe esquivarlos.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nSí que me prestas atención... Me sorprende,\nporque siempre pareces frío y distante.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nQuizá convendría que aparcaras tu deber\nde caballero una temporada.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\n¿Eh? ¿P-por qué? ¿No crees que tenga\nel talento necesario?...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nMe recuerdas a alguien que... no estaba hecho\npara esa vida. No te fuerces a ti misma.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nGracias por el consejo. Está bien,\nprocuraré no sobrepasar mis límites.\x0E\x04\x00\x00
