MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n¡Aaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nヴァンドレ\nSanta paciencia... Y pensar que\nte tenía por una persona humilde.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Es mucho pedir? Lo siento...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNo, te enseñaré. Siento curiosidad\npor ver hasta dónde puedes llegar.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, genial. Te estoy muy agradecida.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nA cambio, tendrás el placer de disfrutar\nde una agradable conversación conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPronto te preguntarás cómo pudiste\npasar tanto tiempo tejiendo en solitario.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nEres de lo que no hay.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nTu confianza te hace hablar con descaro.\nDices lo primero que se te pasa por la cabeza.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nAunque admito que eso es lo que hace\nque charlar contigo resulte tan entretenido.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nMuy bien. Supongo que no se pierde nada\ny quizá nos divirtamos un poco.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEstoy segura de que así será.\x0E\x04\x00\x00
