MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, ¿tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nLo entiendo, pero ¿qué tiene de malo\nhacerlo en un duelo de entrenamiento?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nSoltar una frase provocativa le da vidilla\nal duelo... Y los monólogos me gustan.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nTú haz lo que tengas que hacer cuando haya\nterminado de hablar. Somos aliadas, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nNo. Tomarse los combates a la ligera\nes una mala costumbre.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nPensaba que tú, como caballera, lo entenderías,\npero veo que estaba equivocada.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nSi eso era todo, me marcho.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nVenga, Yunaka. Si tienes toda la razón;\nsolo quería divertirme un poco...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nUf... Esto debería bastar.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nEh, ¿qué haces?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nAh, hola. Estaba ocupándome\ndel mantenimiento de algunas armas.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nEsa... Esa cimitarra que tienes ahí\nes muy interesante.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nLa compré en una tienda de recuerdos.\nEs bonita, ¿a que sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\n¡Eso es quedarse corto!\n¡Esta arma es una obra maestra!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\n¡Mira la curvatura! Qué maravilla...\n¡Típica artesanía tradicional de Solm!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\n¡Y la hoja! Es una combinación perfecta\nde tradición y poder destructivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nPues no había caído en la cuenta.\nOye, sí que te has emocionado de repente...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nSi tanto te gusta, quizá debería dártela.\nNunca la uso.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\n¿En serio? ¡Es un regalo increíble!\nTe la quitaré gustosa de las manos. ¡Trae!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nAh, sí, solo una cosita...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nTe la daré si me dejas hacer mi monólogo\ncuando entrenemos juntas.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\n¿Qué? ¡Venga ya!\n¿Y eso qué tiene que ver?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nPor mucho que quiera esta cimitarra,\n¡no dejaré que sueltes monólogos en combate!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nTú te lo pierdes. Supongo que tendré\nque usar yo esta majestuosa arma.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\n¡Pues vale!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¡Ya está! Bien limpia.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\n¿Qué haces?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nAh, nada. Estoy puliendo esta figura\nde dragón. Es bonita, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\n¡Haaala! Es preciosa. ¡Es un dragón,\nun dragón, un dragón! ¡Me encantan!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\n¿De qué tipo es? ¿Qué le gusta comer?\nEs tan bonito y tan fabuloso.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nYa veo que te gusta.\nTal vez esté dispuesta a dártelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\n¿De verdad? ¡Lo quiero! ¡Lo quiero mucho!\nDámelo, por favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nCon una condición: se acabaron las charlas\nen los combates, incluso en los de práctica.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nAh, ya veo lo que estás haciendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nTe suena la estratagema, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\n¿Por qué no nos olvidamos ya\nde esta disputa tan absurda?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nNo volveré a practicar mis monólogos. Y ahora,\ndame el dragón, por favor. ¡Te lo ruego!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nEstá bien. Si vas a dejar esa ridícula\ncostumbre, me considero satisfecha.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nY, ya que hemos solucionado este tema,\n¿podemos volver al de esa fantástica cimitarra?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nClaro, hagamos un trato.\nMi cimitarra por tu figura.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\n¡Hecho!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nBien, es toda tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\n¡Síii! Aquí tienes tu dragón.\nCuida bien de él.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\n¡Hola, dragoncito bonito!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\n¡Los colores son preciosos! Y huele...\na recién pulida. Es tan perfecta que lloraría.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06メリン\n¿Dónde conseguiste la figura? Es exquisita.\n¿Cuánto te costó? ¡Dame los detalles!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\n¿De dónde la sacaste? ¿Quién te la vendió?\n¿Cuánto costó? ¡Cuéntamelo todo!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nYo he preguntado primero.\nEmpieza tú.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nNo te he oído porque hablas muy deprisa.\nContéstame a mí primero, anda.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06メリン\n¡Eso no es justo!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\n¿Qué? ¿¡Por qué no!?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\n¡Ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nEntonces, ¿ya somos amigas?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nAhora que lo dices...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nTenemos bastante en común.\nPoca gente se emociona tanto por cosas así.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06メリン\n¡Cierto! Veo que tú y yo vamos a llevarnos bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nResponderé encantada a tus preguntas,\npero ¿me las repites más despacio?\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ユナカ\nVale, para empezar, lo primero que quería saber\nes dónde la compraste exactamente...\x0E\x04\x00\x00
