MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Espera, príncipe Alfred!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\n¿No? En la mía todos tenemos\nun lado indómito.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nYa que estamos, ¿quieres que te enseñe\na montar en mi loba?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nEstaba deseando que me lo ofrecieras.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\n¡Estupendo! Te mostraré lo básico\ncon mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nSupongo que no te importará recibir mordiscos\no revolcones de vez en cuando.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nO sea, ¡¿que me llevaré más de uno?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nYa lo creo. Cuando la loba se pone toda\nalterada, no hay quien la amanse.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nPero seguro que te apañas para controlarla\nsi tienes la fuerza física necesaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nLos jinetes curtidos saben gobernar a los lobos,\npero para los novatos es otra historia.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nTampoco te quiero asustar. Casi todo el mundo\nacaba el entrenamiento de una pieza.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe lo estoy replanteando.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nCasi que mejor lo dejamos. No puedo causar\nbaja mientras estemos en guerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nYa, ya. A veces, lo más valeroso\nes saber retirarse a tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nEn vez de eso, ¿por qué no me enseñas\na acampar?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe haría gracia enfrentarme a los elementos\nen Solm, aunque solo fuera un poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\n¡Por supuesto! Suena divertido.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nTe enseñaré todo lo que sé: a montar\nel campamento, a rastrear animales...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nAh, y lo más importante: ¡a cantar!\nEs lo mejor de la acampada.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Genial! ¡Me agencio una tienda de campaña\ny nos ponemos a ello!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Me fui con Alfred de acampada...♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Cenamos y cantamos; fue una gozada...♪\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\n♪Estrellas brillantes había un montón...\n¡y aquí se termina esta canción!♪\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Ja, ja! ¡Bravo! Qué bonita forma\nde expresar tus sentimientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nAy, gracias. Mis canciones no suelen\nrecibir demasiados elogios.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Cómo? ¡Pero si cantas de maravilla!\nA mí me alegra el corazón.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Ja, ja, ja! ¡Y a mí también!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nGracias, príncipe Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\n¡Uy, que se nos apaga la hoguera!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, permíteme. A ver si con esto...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\n¡Bien hecho! Así se reaviva la llama.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nNo sé qué pinto yo aquí.\n¡Has nacido para esto!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, he tenido una maestra excelente.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nEso es, tú sigue dorándome la píldora.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nTe doy las gracias de nuevo.\nHe aprendido mucho en tu compañía.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nAhora comprendo mejor la idiosincrasia\nde tu pueblo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nConque pretendías conocer de primera mano\nla cultura de Solm, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nAsí es. Pensé que imitando las costumbres\nde Solm llegaría a entenderos mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nAjá... A ver, confiesa.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\n¿Acaso tienes intención de invadirnos?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Para nada!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nLo juro. Mi único objetivo con todo esto\nes estrechar los lazos entre nuestros reinos.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nYa lo sé. Solo quería gastarte una broma.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nDe todas formas, aún no hemos terminado.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nA que ahora me toca a mí aprender cosas\nsobre el Reino de Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nPara fomentar la concordia entre Solm\ny Firene, ambos deben conocerse, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nMuy cierto.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nEntonces, por el bien de nuestras naciones,\ncuéntamelo todo sobre la tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nCon mucho gusto, princesa Timerra.\nA ver, por dónde empiezo...\x0E\x04\x00\x00
