MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nPercibo cierto resentimiento hacia el Dragón\nDivino por tu parte, Nel...\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nAhora estás hablando conmigo.\nDeja la nostalgia para otro momento.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHe mejorado mucho en combate gracias a ti,\nByleth. Espero que sigas ayudándome.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ベレト\nMe tranquiliza que lo veas así, Zelestia.\nPuedes contar conmigo.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCuando veo a este Dragón Divino, a veces\nme pregunto por qué no logré proteger al otro...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ベレト\nTe comprendo. Yo no pude salvar a mi padre,\nalgo que pesó sobre mi conciencia largo tiempo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nByleth, una vez mencionaste que tu padre\nfalleció. ¿Cómo lograste superarlo?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ベレト\nMis alumnos me apoyaron muchísimo.\nDudo que lo hubiera conseguido sin ellos.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ベレト\nPor eso nunca es malo buscar consuelo en\nlos demás, Zelestia. Recuerda que no estás sola.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGracias; tus palabras me reconfortan.\nEs un alivio sentirse tan bien respaldada.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNo cambias el gesto ni cuando luchas...\nAy, perdón. Dicho así, suena descortés.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06ベレト\nNo te preocupes... Me lo comentan a menudo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\n¿Es verdad que antes de maestro fuiste\nmercenario? Vaya cambio tan drástico...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06ベレト\nFue cosa del destino, o eso tengo entendido. El\ncaso es que así conocí a mis queridos alumnos.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLamento mi tendencia a huir... Para un gran\nguerrero como tú, debe de resultar patético.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ベレト\nSi escapar te asegura la supervivencia,\nno veo qué tiene de malo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ベレト\nEn algunos casos, es la táctica más aconsejable.\nHe perdido a muchos aliados por no seguirla.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nAconsejable... Me sorprende que digas eso.\nContigo a mi lado, mi timidez se evapora.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nAyer entrenaste de nuevo hasta tarde...\nMe impresionas, pero procura no excederte.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nDescuida. Mauvier me salvó la vida\ndemasiadas veces como para desperdiciarla.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\n¿Qué te pasa? ¿Por qué estás como paralizada?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nD-déjamelo a mí, B-Byleth... ¡D-despacharé\na ese asqueroso insecto en un s-segundo!\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\n¿Por qué te empeñas en ocultar el miedo\nque te dan los insectos, Madeline?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nVaya, te has dado cuenta... ¡Un caballero que\nse precie no puede mostrar esas debilidades!\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ベレト\nTodo el mundo tiene alguna... Aceptarte\na ti misma te ayudará a crecer en tu profesión.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nAceptarme... Tenía una idea equivocada de lo\nque supone ser caballero. ¡Seguiré tu consejo!\x0E\x04\x00\x00
