MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nQué aroma tan delicioso.\nHuele tan fresco... tan verde...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nA la gente le gusta hablar mientras come...\nY esa comida parecía un banquete de la corte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nTendría que habértelo dicho. Al fin y al cabo,\nno es que te prodigues mucho en las fiestas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nPero no te vengas abajo.\nNo es que la gente se dejase la comida...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nEl deber de un chef es elaborar la comida\nadecuada para cada ocasión. He fracasado.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nHe hecho algo peor que una mala comida.\nHe hecho... la comida equivocada.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nBunet, tampoco es para tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nSoy tu amigo y te he fallado. No basta\ncon una disculpa. Por favor, azótame.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パンドロ\n¡¿Qué?! ¡Venga ya! Ya te diste una paliza\npreparando el banquete. ¡No pienso pegarte!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nHe echado a perder tu fiesta... y, aun así,\nme perdonas. Eres un verdadero amigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nPandreo, ¿cuándo es vuestra próxima fiesta?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nQuieres volver por tus fueros, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nNo. Todavía no. Antes de restaurar\nmi buen nombre, debo hacer una cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nHe de asistir a una fiesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08パンドロ\n¡¿Quéee?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n¡Eh, Bunet! ¿Qué te pareció la fiesta?\nEstuvo bien, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nUy... ¿Tan mal fue?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nPerdóname... El ruido era abrumador.\nLa cabeza me da vueltas todavía.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nEntiendo. Es culpa mía.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nDebo decir que todo el mundo pareció disfrutar,\nincluso en un momento como este.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\n¡Esa es la magia de las fiestas!\n¿Y tú? ¿Has sacado algo en claro?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nSí. Ha sido una experiencia muy valiosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nHe visto que dedicaste gran parte del tiempo\na escuchar los problemas de la gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\n¡Claro! Mis fiestas no giran en torno a mí.\nQuiero que todos se sientan mejor, ¿entiendes?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nAunque parezca un crápula de tres al cuarto,\n¡no dejo de ser miembro de la iglesia!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nSí... Ahora entiendo cuál fue mi error.\nQuería que mi comida tuviese el protagonismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nPero, en una fiesta, la comida\ndebe dar paso a la conversación.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nA pesar de mi jaqueca, me alegra haber ido.\nLa próxima vez, prepararé la comida adecuada.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\n¡Eso suena genial! Gracias, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nY, oye, dime si te puedo ayudar con algo.\nPídeme lo que sea.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nPues, ahora que lo dices...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nMe gustaría darte un pequeño lametón.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\n¡¿Un qué?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nEstás de broma... ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nNo. Lo digo en serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nEntender tu espíritu festivo me ayudará\na elaborar la comida perfecta para la ocasión.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nRemángate. Acabaré enseguida;\nno hay motivo para ponerse nervioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nEh...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\n¿Pandreo? ¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nMira que en su día he estado\nen fiestas descontroladas, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\n¡Esto es demasiado, incluso para mí!\n¡Lo siento!\x0E\x04\x00\x00
