MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Jia! ¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nシトリニカ\nBuenas noches, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nQué bien, mis padres han enviado un paquete.\nA ver qué me han mandado esta vez...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nJe, je... Como si no lo supiese ya.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\n¡Estos parecen de los buenos!\nTienen un aspecto especialmente apetitoso...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¿Lapis? ¿Qué estás cuchicheando?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\n¡Aaah! ¡¿Citrinne?!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\n¡Qué susto me has dado! Cómo se te ocurre\nacercarte en la oscuridad poniendo esa cara...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\n¿Debería haberme puesto un antifaz?\nNo creo que eso dé menos miedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nEsta es mi cara, Lapis. No te pases.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nLo siento, no era mi intención.\nEs que menudo susto...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\n¡Oh! ¡Qué buena pinta tiene eso!\n¿Te lo han enviado del campo?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nNo, no... Son... Esto...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nParece que te lo ha enviado tu familia...\n¿Es que viven cerca de un campo de patatas?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nPensé que tus padres vivían en la ciudad...\n¿Lo habré entendido mal?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nEh...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nEstá bien. Te diré la verdad, Citrinne.\nMis padres no viven en una ciudad.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nMi familia vive en el campo.\nDe ahí vienen estos tubérculos.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\n¿Y eso? Si siempre has dicho que...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nMentí. Está mal, pero lo hice...\nPor favor, no se lo cuentes a nadie, ¿vale?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nClaro que no. Pero... no lo entiendo.\n¿Qué sentido tiene mentir sobre eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nNo quería parecer una... cateta.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nMe da vergüenza. El príncipe Alcryst es noble,\ny tú estás emparentada con él.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ラピス\nUna palurda como yo está fuera de lugar\nentre personas así...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\n¡Lapis! ¡No digas eso! A quién le importa que...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ラピス\nA mí me importa. Desearía venir de una familia\ntan ilustre como la tuya...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nPero no es el caso.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nシトリニカ\nSomos tal para cual.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x08\x06ラピス\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nシトリニカ\nTú lamentas tener orígenes humildes,\nmientras que yo desearía ser más fuerte.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0C\nシトリニカ\nCada una tiene lo que le falta a la otra.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x08\x06ラピス\nEh... Pues tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0C\nシトリニカ\nTu secreto está a salvo conmigo.\nTe dejo, que tengo mi entrenamiento nocturno.\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nシトリニカ\nBuenas noches, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#035	\x0E\x03\x02\x08\x06ラピス\nDuerme bien, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06ラピス\n¡Aquí estás, Citrinne! Te estaba esperando.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\n¿Y eso, Lapis?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nQuería participar en tu entrenamiento nocturno.\nSerá más divertido con compañía, ¿no crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\n¡Claro! Pero no quisiera robarte\nhoras de sueño.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nPor favor. Todavía me siento mal\npor nuestra última conversación.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nAdemás, no puedo dormir sabiendo\nque mi compañera se desvive trabajando.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nLapis... Eres tan amable.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nPues yo quería darte una cosa...\nToma esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\n¿Una nota? ¡No, es una dirección!\n¿Y esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nEs la dirección de una de las propiedades\nque tiene mi familia en el centro de la ciudad.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nHace tiempo que no nos pasamos por allí;\nahora solo está el personal de servicio.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nBien... Pero ¿por qué me das la dirección?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nSi quieres ocultar tus orígenes, será mejor\nque cambies la dirección de los paquetes.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\n¡Puedes usar esta dirección a partir de ahora!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\n¡Tus padres mandan los paquetes a la mansión,\ny los sirvientes los reenvían!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nTambién pueden pasar allí las vacaciones...\n¡O incluso mudarse para siempre!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nLa casa está a su entera disposición.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nCaramba...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nCitrinne... Gracias.\nNo sabía que te importase tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nPara nada... No en vano,\neres una de mis mejores amigas.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nEres muy generosa, pero no puedo aceptarlo...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\n¿Qué? ¿Por qué no?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nMi familia no es noble, pero me enorgullezco\nde ella. Jamás le pediré que oculte su origen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nMe da cosa que la demás gente lo sepa,\npero me alegra habértelo confiado a ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nMenudo par estamos hechas, ¿eh?\nCada una tiene lo que desea la otra.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nY ambas nos ayudamos si la otra lo necesita.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nNo es una mala amistad...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ラピス\nPara nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\n¿Crees que el príncipe Alcryst tuvo esto\nen cuenta cuando nos tomó a su servicio?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nLo dudo. Sé que bebes los vientos por él,\npero creo que lo estás sobrevalorando.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ラピス\n¿Qué? ¡Yo no...!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\n¡Mira! Te has puesto tan colorada\ncomo las alfombras de la corte real.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06ラピス\nVenga... No seas así.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ラピス\nAdemás, tampoco son tan rojas.\n¡Deberías ver los tomates de mi pueblo!\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nシトリニカ\nPues sería una idea genial.\n¿Y si me llevas un día allí de visita?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06ラピス\n¡Vale! Pero no se te ocurra llevar dinero.\nLos paisanos prefieren hacer trueques.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nシトリニカ\n¡Qué rural! Siempre he querido regatear.\nPodría ofrecerles algunos collares...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06ラピス\n¡Cuidado! ¡Si ofreces eso, acabarás usando\nla mansión aquella para almacenar tomates!\x0E\x04\x00\x00
