MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nBuah, tengo que inspeccionar ese sitio,\npero es demasiado peligroso para ir solo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Lo logramos! Ya estamos en la mansión...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUf, estoy temblando... El corazón me palpita.\n¡Y tengo la piel de gallina!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nMmm... No veo ningún fantasma.\nPasemos a la siguiente estancia.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\n¡Oye, oye, para el carro! Vamos despacio, ¿vale?\nEl fantasma podría aparecer en cualquier sitio...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nAh, ¿sí? ¿Dónde, por ejemplo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMua, ja, jaaa...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nSin ir más lejos... ¡¡¡aquí mismooo!!!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\n¿Mmm?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\n¿Seguro? Yo no veo nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nEh...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nEsto... da igual. Trataba de gastarte\nuna broma, Panette.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\n¡Ni te has inmutado!\nDebes de tener los nervios de acero.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nIgual resulta que la mansión no está encantada\nni leches. A saber.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\n¿Mmm?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nBastante es que los rumores sobre la mansión\nfueran ciertos, pero lo del espíritu... No sé.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nPues está aquí...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\n¡Bien, Panette! Así me gusta, que no pierdas\nla esperanza. Por desgracia...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\n¡Que no, Amber! ¡Que está aquí!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nYa, ya, te entiendo. Metafóricamente,\ncada casa tiene su espíritu. Me gusta que...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\n¡No me refiero a eso! ¡Digo que está aquí!\n¡Justo... ahí! ¡Mira!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nAy...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\n¡¡¡Uaaaaaah!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nPanette, mira... Si tú no le cuentas a nadie\nlo que pasó en aquella mansión, yo tampoco.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\n¡Quién podía imaginar que habría otra mansión\nnormal y corriente en ese mismo lugar!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nCuyos inquilinos no se tomaron precisamente\na bien nuestra irrupción.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nMenudo palo...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nY no acabó ahí la cosa. Pensé que ese tipo tan\nestirado era el famoso guerrero. Le di la mano...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nCuando se lo conté al príncipe Diamant,\nse partió de risa. Me llamó "pardillo legendario".\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\n"Pardillo legendario"...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\n¡Tiene su gracia!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nVale, venga, ríete. Me está bien empleado\npor no saber cerrar la bocaza...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nOye, siento mucho haberte metido\nen este berenjenal.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nNi lo menciones. Me lo he pasado bastante bien,\nen realidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\n¿De verdad? ¿Aunque no viéramos\nningún fantasma?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nBueno, esa parte fue una lástima, sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nLos fantasmas son una de mis muchas aficiones\nque la gente encuentra extrañas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nEn ese aspecto, tú y yo nos parecemos.\nHay quien también te calificaría a ti de peculiar.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nPero... ¡a mí me caen bien los bichos raros!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nUf. No tengo claro si tomármelo\ncomo un cumplido...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\n¡Pues deberías!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\n¡Ah! ¡Entonces... perfecto!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nMe daba miedo que te arrepintieses, porque...\nme lo pasé muy bien contigo, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nEs que no conozco a casi nadie que se preste\na investigar rumores y leyendas.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nSi algún día necesitas un compañero\npara una de tus aventuras, cuenta conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\n¡Se me ocurre un lugar de leyenda\nque podríamos visitar!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\n¿En serio? ¿¡Cuál!?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パネトネ\n¡Una taberna donde sirven comida superpicante!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nPero... ¿el local está encantado?\n¿Está sobre un antiguo cementerio? O es que...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パネトネ\nTienen un plato llamado "derritelenguas".\n¡Pica tanto que nadie ha podido acabárselo!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nAaah, ya entiendo. Es ese tipo de leyenda...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アンバー\nBueno, ¡no pienso hacerle ascos!\n¡Te acompaño e invito yo! Es lo mínimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08パネトネ\n¡Hurra!\x0E\x04\x00\x00
