MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\n¿Cómo planeas demostrar tu arrojo en este\ncampo de batalla alejado de cuanto conoces?\x0E\x04\x02\x00
MID_OP2_#024	\x0E\x03\x02\x18\x16E002_セレスティア\nAh, no ha sido para tanto, lady Nel.\x0E\x04\x02\x00
MID_OP2_#025	¿Puedo preguntar quién os acompaña?\x0E\x04\x02\x00
MID_OP2_#026	¡Caray! He de decir que me recordáis mucho\na \x0E\x06\x03\x00, el Dragón Divino.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nAh... Pues el caso es que...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\n¡No digáis más, Divinidad! ¡Habéis renacido!\nNo sabéis cuán feliz me hace...\x0E\x04\x02\x00
MID_OP2_#029	Sabía que no nos abandonaríais.\nAl menos de forma permanente, claro...\x0E\x04\x02\x00
MID_OP2_#030	Llegué a pensar que Sombron había sido capaz\nde vencer al Dragón Divino... ¡Qué ridiculez!\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE002_イル\nZelestia, lamento tener que sacarte de tu error,\npero esta no es la persona que crees.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nSí, entiendo que resulte confuso. En efecto,\nsoy el Dragón Divino, aunque de otro mundo.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x18\x16E002_セレスティア\n¿Qué?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE002_エル\nDeberíamos haberte informado antes.\nNo tienes ante ti a \x0E\x0A\x00P&nuestra vieja amiga&nuestro viejo amigo,\x0E\x04\x02\x00
MID_OP2_#035	sino \x0E\x0A\x006\x16al salvador\x1Ca la salvadora a quien Nil y yo\nhemos invocado mediante un rito ancestral.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x10\x0EE002_イル\nEste Dragón Divino llegó al santuario\ndel castillo tras tu partida hacia Firene.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x18\x16E002_セレスティア\nAjá... Entiendo.\x0E\x04\x02\x00
MID_OP2_#038	Claro... ¿Dónde tengo la cabeza? Yo estaba\npresente cuando enterraron al Dragón Divino.\x0E\x04\x02\x00
MID_OP2_#039	Sostuve su mano inerte en la mía\ny me despedí para siempre...\x0E\x04\x02\x00
MID_OP2_#040	Ay...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x10\x0EE002_エル\nSé que no es fácil, Zelestia.\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x18\x16E002_セレスティア\nDisculpadme.\x0E\x04\x02\x00
MID_OP2_#043	Me pueden las emociones... Aquella pérdida\nfue para mí tan dolorosa como para vos.\x0E\x04\x02\x00
MID_OP2_#044	Divinidad, me llamo Zelestia.\nSoy una dragona maga de cierto renombre.\x0E\x04\x02\x00
MID_OP2_#045	Siempre os he considerado a la reina Lumera\ny a vuestro yo de este mundo como mi familia.\x0E\x04\x02\x00
MID_OP2_#046	Es un honor conoceros.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nPor favor, dejémonos de formalidades\ny tratémonos como \x0E\x0A\x00\x1C\x0Camigos\x0Camigas.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x18\x16E002_セレスティア\nTiene gracia... ¡Es justo lo que el Dragón Divino\na quien yo conocía habría dicho!\x0E\x04\x02\x00
MID_OP2_#049	Decidme... ¿en vuestro mundo\nhay también alguien idéntica a mí?\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x0A\x08リュール\nPues...\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x18\x16E002_セレスティア\n¡Perdón! Qué tonterías se me ocurre preguntar...\x0E\x04\x02\x00
MID_OP2_#052	Por supuesto que esa persona existirá, y seguro\nque habrá sido de gran ayuda contra Sombron.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x02\x10\x0EE002_エル\n¿Traes noticias del castillo de Firene, Zelestia?\nHas permanecido allí una larga temporada...\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x18\x16E002_セレスティア\nEn efecto. Firene se prepara para invadir\na sus vecinos del norte.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x10\x0EE002_エル\nBrodia.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x18\x16E002_セレスティア\nFue la princesa Céline quien lo propuso.\nSolo falta que el rey Alfred dé el visto bueno.\x0E\x04\x02\x00
MID_OP2_#058	Pero ella se ha anticipado y ya ha reclutado\nun batallón de caballeros de élite.\x0E\x04\x02\x00
MID_OP2_#059	No podemos quedarnos de brazos cruzados\ncontemplando lo que está sucediendo.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x10\x0EE002_イル\nCorrecto. Nos dirigiremos al castillo para poner\nfin a esta guerra antes de que empiece siquiera.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x18\x16E002_セレスティア\nAh, otro asunto... El Emblema de Firene parece\ncambiado desde la última vez que lo vi.\x0E\x04\x02\x00
MID_OP2_#062	Sugiero que no bajemos la guardia.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x10\x0EE002_エル\nEntendido. Pongamos rumbo al castillo\npara recuperar el Brazalete del General Audaz.\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x0A\x08リュール\nEspero que Alfred y Céline estén dispuestos\na dialogar con nosotros...\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E002_Boss\x021\n\x0E\x03\x00\x18\x12E002_Hide\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x14\x12E002_Hide\n¿Y bien, Alfred?\n¿Sigues rumiando el plan de invasión?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x14\x12E002_Boss\nNo me atosigues, Céline. Es una decisión\nsumamente importante y debo meditarla.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x14\x12E002_Hide\nNo, ¡lo que debes hacer es mostrar\nmás determinación!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x14\x12E002_Boss\nNo es tan sencillo: Brodia es una nación aliada.\nSi les declaramos la guerra, no hay vuelta atrás.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x14\x12E002_Hide\nMadre y nuestros vasallos cayeron en la guerra.\nNos toca a nosotros defender a nuestro pueblo.\x0E\x04\x02\x00
MID_OP3_#006	¿No ves cómo sufre? Sin el Dragón Divino,\nel mundo está abocado a la catástrofe.\x0E\x04\x02\x00
MID_OP3_#007	Nuestra tierra yerma, flores que se marchitan...\nPronto veremos también las despensas vacías.\x0E\x04\x02\x00
MID_OP3_#008	La única solución es ampliar nuestro territorio\npara acaparar más recursos. Y ha de ser ya.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E002_Boss\nLo sé. Me consta que Brodia, como país minero,\npuede aportarnos los recursos que precisamos.\x0E\x04\x02\x00
MID_OP3_#010	La invasión nos proveería inmediatamente\nde liquidez monetaria y minerales.\x0E\x04\x02\x00
MID_OP3_#011	Un objetivo deseable, pero el plan tiene un fallo:\nno tiene en cuenta el poderío militar de Brodia.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x14\x12E002_Hide\nRazón por la cual he formado un batallón\nde caballeros que nos guiará a la victoria.\x0E\x04\x02\x00
MID_OP3_#013	¿O te preocupa su Emblema? ¡Esa princesa\npacata no es rival para el General Audaz!\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E002_Boss\nVes certezas donde no las hay. Por favorable\nque sea el panorama, podríamos perderlo todo.\x0E\x04\x02\x00
MID_OP3_#015	¿O lo has olvidado ya? Nuestros vasallos,\ntan seguros de vencer, cayeron como pétalos...\x0E\x04\x02\x00
MID_OP3_#016	El mismo día que el Dragón Divino, \x0E\x0A\x00 \x0Enuestra\x0Enuestro\n\x0E\x0A\x00P&más poderosa aliada&más poderoso aliado, nos dejó para siempre.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x14\x12E002_Hide\nCómo has cambiado, Alfred...\nAntes no le tenías miedo a nada ni a nadie.\x0E\x04\x02\x00
MID_OP3_#018	Cuando perdimos al Dragón Divino, tu valor\ntambién se esfumó. Yo me ocuparé, en tal caso.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E002_Boss\n¿Ocuparte de qué?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x14\x12E002_Hide\nMe dirigiré a Brodia yo sola, sin tu autorización.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E002_Boss\n¿Y también sin caballeros?\n¿Acaso deseas morir?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x14\x12E002_Hide\nEntre morir por la espada y perecer asistiendo\nal martirio de nuestro pueblo, ¡elijo lo primero!\x0E\x04\x02\x00
MID_OP3_#023	Si pierdo la vida, quizá surja un verdadero héroe\nque guíe a nuestra nación. No pido nada más.\x0E\x04\x02\x00
MID_OP3_#024	En cuanto a los brodianos, si deben sufrir\npor el bien de nuestro pueblo, que así sea.\x0E\x04\x02\x00
MID_OP3_#025	Para que un país florezca,\nes necesario que otros se marchiten.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x14\x12E002_Boss\nNo voy a hacerte entrar en razón, ¿verdad?\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x14\x12E002_Hide\nNo es culpa tuya tener una hermana\ntan testaruda, desde luego.\x0E\x04\x02\x00
MID_OP3_#028	Pero, si quieres que sobreviva,\ndebes tomar una decisión.\x0E\x04\x02\x00
MID_OP3_#029	¿Y bien, majestad?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12E002_Boss\nAy...\x0E\x04\x02\x00
MID_OP3_#031	Tú ganas.\x0E\x04\x02\x00
MID_OP3_#032	Eres toda la familia que me queda.\nSi insistes en luchar, no te dejaré desamparada.\x0E\x04\x02\x00
MID_OP3_#033	Apruebo la invasión.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x14\x12E002_Hide\nGracias, Alfred.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x02\x14\x12E002_Boss\nNo hay de qué. Daré instrucciones\na los caballeros para que se preparen.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE002_エル\nEsperad, por favor.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x14\x12E002_Boss\n¿Quién va?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE002_エル\nRey Alfred, princesa Céline... Cuánto tiempo.\x0E\x04\x02\x00
MID_OP3_#039	Perdonad la intromisión, pero venimos\na tratar un tema de carácter urgente.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12E002_Boss\nVaya, pero si son Nel y Nil...\x0E\x04\x02\x00
MID_OP3_#041	Sabed que podría haceros ejecutar\npor entrar aquí sin mediar invitación.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x10\x0EE002_エル\nCierto. Devuelve el Brazalete del General Audaz,\ny nos marcharemos sin dilación.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x14\x12E002_Boss\nNo seas ridícula. Eso desbarataría el equilibrio\nde fuerzas que hay entre nuestras naciones.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE002_エル\n¿Pretendes seguir usando el brazalete\ncomo arma arrojadiza contra tus iguales?\x0E\x04\x02\x00
MID_OP3_#045	Es precisamente esa la actitud\nque os ha conducido al borde de la guerra.\x0E\x04\x02\x00
MID_OP3_#046	Dudo que el Dragón Divino juzgase apropiado\nsemejante comportamiento.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x14\x12E002_Hide\n¡Ah! Conque ahora osas hablar\nen nombre del Dragón Divino...\x0E\x04\x02\x00
MID_OP3_#048	Es curioso, teniendo en cuenta que fue\ntu padre quien nos privó de su simpar sabiduría.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x10\x0EE002_イル\n¡¿Cómo te atreves?!\n¡Nosotros no tuvimos nada que ver con aquello!\x0E\x04\x02\x00
MID_OP3_#050	¿Cuántas veces nos veremos obligados\na repetir que no somos Sombron?\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE002_エル\nMantén la calma, Nil.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x10\x0EE002_イル\nTienes razón... Lo lamento.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE002_エル\nPuedo asegurarte que haremos el mismo viaje\npara reclamar los demás brazaletes.\x0E\x04\x02\x00
MID_OP3_#054	Planeamos recuperarlos todos.\x0E\x04\x02\x00
MID_OP3_#055	Por ese motivo, no hay razón para que sigáis\ncustodiando el de Firene.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x14\x12E002_Boss\n¿Qué garantías tenemos de que no es un ardid\npara debilitarnos y favorecer a nuestros rivales?\x0E\x04\x02\x00
MID_OP3_#057	Mostradnos los brazaletes de las otras naciones\ny, solo entonces, consentiré en escucharos.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE002_エル\nFirene es nuestro primer destino.\nAún no hemos obtenido ningún otro brazalete.\x0E\x04\x00\x00
MID_OP3_#059	\x0E\x03\x02\x14\x12E002_Hide\nEn tal caso, no hay más que hablar.\nMarcharemos hacia Brodia.\x0E\x04\x02\x00
MID_OP3_#060	El poder del brazalete es indispensable\npara la invasión. No prescindiremos de él.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x10\x0EE002_エル\n¿Os oponéis a nuestra petición?\nEn tal caso, no nos dejáis otra alternativa...\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x14\x12E002_Hide\nSi buscáis una batalla,\nserá un placer ofrecérosla.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\n¡Por favor, basta!\nNo quisiera tener que enfrentarme a vosotros.\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x02\x14\x12E002_Hide\n¿¡Divinidad!? No, me niego a creerlo...\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x14\x12E002_Boss\nVuestra aura... ¡es como la del Dragón Divino!\x0E\x04\x02\x00
MID_OP3_#066	¡Nos dijisteis que había muerto, desgraciados!\n¿Osasteis mentirnos?\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x0A\x08リュール\nTe equivocas. Provengo de otro mundo.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x14\x12E002_Boss\n¿Cómo?...\x0E\x04\x00\x00
MID_OP3_#069	\x0E\x03\x02\x14\x12E002_Hide\nNo, solo hay una explicación.\nDebe de tratarse de una aberración.\x0E\x04\x02\x00
MID_OP3_#070	Los Dragones Caídos han usado su vil magia\npara crear un remedo de \x0E\x0A\x00P&nuestra vieja amiga&nuestro viejo amigo.\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\n¡No es cierto! ¡Tenéis que escucharme!\x0E\x04\x00\x00
MID_OP3_#072	\x0E\x03\x02\x14\x12E002_Hide\n¡Lo que diga \x0E\x0A\x004\x16un impostor\x1Auna impostora\ncarece de importancia!\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x14\x12E002_Boss\nQué bajo habéis caído, hijos del Dragón Caído,\ncon tal de arrebatarnos nuestro brazalete...\x0E\x04\x02\x00
MID_OP3_#074	No me cabe duda de que las lágrimas que\nderramasteis por el Dragón Divino eran falsas.\x0E\x04\x02\x00
MID_OP3_#075	Pensaba que, como antiguos aliados,\npodíamos resolver este asunto pacíficamente...\x0E\x04\x02\x00
MID_OP3_#076	Pero vuestros burdos embustes\nlo cambian todo.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x0A\x08リュール\nNo...\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x14\x12E002_Boss\n¡Caballeros, preparaos para la batalla! ¡Acabad\nde una vez por todas con la estirpe de Sombron!\x0E\x04\x02\x00
MID_OP3_#079	¡Llevaremos sus cabezas a Brodia\ncomo símbolo de nuestro poder!\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x14\x12E002_Hide\n¡Sí! Ese es el hermano que recuerdo.\nEl temible Príncipe de las Flores Marchitas.\x0E\x04\x02\x00
MID_OP3_#081	Ahora, como en la última guerra, ¡nuestros\nenemigos serán pisoteados como rosas caídas!\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x14\x12E002_Boss\nSi vuestro espíritu está atrapado en este mundo,\nos liberaré, Divinidad.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x0A\x08リュール\nAlfred, no...\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x10\x0EE002_イル\nEl enfrentamiento parece inevitable.\x0E\x04\x00\x00
MID_OP3_#085	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x18\x16E002_セレスティア\nSabía que esto acabaría sucediendo.\nPero no hay mal que por bien no venga...\x0E\x04\x02\x00
MID_OP3_#086	¡La falta de respeto que muestran hacia\nlady Nel y lord Nil merece un duro castigo!\x0E\x04\x00\x00
MID_OP3_#087	\x0E\x03\x02\x10\x0EE002_エル\nPrepárate, Divinidad. Puede que sus rostros\nte resulten familiares, pero no mostrarán piedad.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01"\x12E002_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E002_Boss\nLas despedidas siempre resultan amargas...\nProcuraré que esta muerte sea indolora.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\n¡Unidades auxiliares, apoyad al grueso\nde nuestras tropas! ¡Es hora de avanzar!\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nSí, adelante. Y afilad bien vuestras armas\npara aniquilar cuanto antes a estos necios.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nAl fin llegó el momento.\n¡Préstame tu poder, Emblema de la Fuerza!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nAdelante, midamos nuestras fuerzas.\nAunque nadie puede vencer al General Audaz.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nLo sabía... Debería haber devuelto\nel brazalete cuando concluyó la guerra.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E002_Hide\nSolo importa Firene.\n¡Aplastad a todo aquel que se nos oponga!\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nNo... No es posible. La victoria era nuestra...\nIba a llevar una vida plena y feliz...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\n¿Tú... eres yo? ¿Qué ocurre?\n¿Es esto un ardid del Dragón Caído?\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x16\x0Cアルフレッド\x06Sad\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMmm... El Alfred de este mundo\ntambién parece bastante enclenque.\x0E\x04\x02\x00
MID_BT5_#003	¿Será que me cuesta ganar músculo\nindependientemente del mundo en el que viva?\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x03\x02\x14\x12E002_Boss\n¿Qué clase de artimaña es esta? Si eres\nuna ilusión, ¡te ordeno que desaparezcas!\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1A\x0Cアルフレッド\nSmile\n\x0E\x03\x02\x0E\x0Cアルフレッド\nCaray, tiene más genio de lo que pensaba.\nVa a ser interesante luchar conmigo mismo...\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\n¿Céline? ¿Por qué luchas en el bando enemigo?\nNo, mis ojos me engañan, estoy seguro...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nAh, Divinidad... Me rompe el corazón\nveros en semejante estado.\x0E\x04\x02\x00
MID_BT7_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nEs una lástima...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nAlfred, recapacita. No quiero ponerte\nlas cosas aún más difíciles, pero...\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\n\x0E\x03\x02\x14\x12E002_Boss\nSeguro que alguien os está manipulando\npara decir eso. En fin... Yo os ayudaré.\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\nOs borraré de la faz de la tierra y no quedará\nnada para recordaros. Nadie volverá a utilizaros.\x0E\x04\x00\x00
