MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nY ahora vivo a diario con el miedo\nde que mis pesadillas se hagan realidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\n¿Y si el enemigo ataca a mi hermano\npor sorpresa? ¿Y si nunca volviese a verlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nYa he perdido la cuenta de las formas\nen que he soñado que me arrebatan a Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nMi experiencia es similar. Cada posible desastre\nha sido objeto de alguna de mis pesadillas.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nCuando despierto, me arrastro fuera de la cama\ny compruebo si mi hermano sigue vivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nVerlo roncar a pierna suelta es lo único\nque me sosiega.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nMe alegro de que, al menos, te quede\nese consuelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMi hermano es muy madrugador... Si te imitara,\nsolo conseguiría que me invitase a entrenar.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nBueno, supongo que verlo correr de aquí\npara allá también te tranquilizará.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nReconozco que supone cierto alivio, sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\n¡En fin! Charlar contigo ha aplacado\nmis temores. Lamento haberte preocupado.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nNo pasa nada. Y, si tienes más pesadillas,\nya sabes dónde encontrarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nNo prometo hacer que desaparezcan, pero...\nal menos sabrás que no estás sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セリーヌ\nGracias, príncipe Alcryst.\nTus palabras me reconfortan.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEl aroma de este té es exquisito.\nPor no mencionar su delicioso sabor...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¡Y tanto! Son hojas de las montañas de Brodia.\nDicen que ayudan a conciliar el sueño.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nAjá... Así que has preparado la infusión\nex profeso para mí. Qué detalle...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\n¿Qué tal tus sueños últimamente?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nMe temo que mal. Mis pesadillas\nse han intensificado, igual que la guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nCuánto lo siento...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\n¿Sabes? Creo que ni tú ni yo llegaremos\nnunca a gobernar en nuestros reinos.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\n¿Perdón?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nOh, me he expresado mal... Quería decir\nque solo deberíamos hacerlo si pasara lo peor,\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\npero eso no va a ocurrir porque protegeremos\na nuestros hermanos. Los futuros reyes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nEl miedo nos persigue en sueños, pero jamás\npermitiremos que nos afecte en la vida real.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nEs más... ¡pienso hacer lo posible\npara proteger también al príncipe Alfred!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\n¡Caray!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nComo heredero al trono de un país aliado,\ntambién lo considero mi hermano.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nAunque igual no le sienta bien que un enclenque\ncomo yo lo trate como a un hermano desvalido.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\n¡Qué tontería! Alfred se sentiría tan honrado\ncomo yo. Vas a lograr que llore...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nSaber que alguien tan capaz como tú\nvela por él es un alivio indescriptible.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nOh... Me conmueve que tengas\ntan buena opinión sobre mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nYo, por mi parte, me comprometo también\na velar por tu hermano, el príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nEstoy convencida de que nuestra colaboración\nbeneficiará a ambas naciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nHaré cuanto sea preciso...\nEstoy dispuesta incluso a sacrificar mi vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\n¡Princesa Céline! No hace falta que...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nSé que parece una medida extrema.\nY, sin embargo...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nsospecho que tú obrarías igual, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nSí, tienes razón. Pero deberíamos mantener\nnuestro acuerdo en secreto.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nPor supuesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nCreo que nuestra alianza podría preocupar\na la mayoría de nuestros amigos y aliados.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08セリーヌ\nSí, aunque, al mismo tiempo, auguro\nque a mí me permitirá dormir más tranquila.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nスタルーク\nYa, creo que a mí también...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nスタルーク\nQuizá nunca lleguemos a portar la corona, pero\nsabemos cargar con nuestras responsabilidades.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08セリーヌ\nAsí es. Espero que nuestra avenencia perdure\nincluso cuando esta guerra haya concluido.\x0E\x04\x00\x00
