MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nMe debato entre el dolor de una separación\nmilenaria y el arrepentimiento de un largo siglo.\x0E\x04\x02\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_エル\nEsta es la cámara de los brazaletes,\ndonde se guardan los brazaletes Emblema.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nYa veo...\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE001_エル\nSobre ese pedestal yace el Brazalete\ndel Venerable Custodio.\x0E\x04\x02\x00
MID_OP4_#004	Es el único que poseemos. Sus Emblemas\nestán a salvo y sumidos en un letargo.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x10\x0EE001_イル\nEn total, hay siete brazaletes.\x0E\x04\x02\x00
MID_OP4_#006	Los otros seis los perdimos durante\nla guerra contra Sombron.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nDe modo que también existe\nen vuestro mundo...\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE001_エル\nPermíteme que te lo cuente todo\ndesde el principio.\x0E\x04\x02\x00
MID_OP4_#009	Los primeros dragones nacieron hace milenios.\nDe ellos descienden Dragones Divinos y Caídos.\x0E\x04\x02\x00
MID_OP4_#010	La paz reinó un tiempo, hasta que los Dragones\nCaídos sintieron sed de conquista y destrucción.\x0E\x04\x02\x00
MID_OP4_#011	El pueblo y los Dragones Divinos vieron cernirse\nla amenaza y rezaron por la salvación.\x0E\x04\x02\x00
MID_OP4_#012	Esta llegó de la mano de seres de otros mundos,\nconocidos como Emblemas.\x0E\x04\x02\x00
MID_OP4_#013	Eran la respuesta a nuestras fervorosas súplicas\ny deseos de paz.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x10\x0EE001_イル\nMi hermana y yo estábamos oficiando\nese mismo rito ancestral cuando llegaste.\x0E\x04\x02\x00
MID_OP4_#015	Pensábamos que aparecería un Emblema\npara ayudarnos.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x0A\x08リュール\nY os encontrasteis conmigo...\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x10\x0EE001_イル\nAsí es. ¡Ha sido toda una sorpresa!\nYo todavía no salgo de mi asombro.\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x02\x10\x0EE001_エル\nLos Emblemas devolvieron la paz a este mundo,\npero solo de forma temporal.\x0E\x04\x02\x00
MID_OP4_#019	Hace un milenio, Sombron intentó utilizar\nlos Emblemas para sus propios fines.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x02\x10\x0EE001_イル\nNosotros sufrimos el horror de aquella guerra\nque arrasó todo nuestro continente.\x0E\x04\x02\x00
MID_OP4_#021	Los dragones y las familias nobles se disputaron\nlos Emblemas hasta que agotaron sus fuerzas.\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x02\x10\x0EE001_エル\nPero, al borde de la destrucción, los Dragones\nDivinos obtuvieron una victoria crucial.\x0E\x04\x02\x00
MID_OP4_#023	La reina, el Dragón Divino Lumera, dio la vida\npara confinar al Dragón Caído Sombron.\x0E\x04\x00\x00
MID_OP4_#024	\x0E\x03\x02\x0A\x08リュール\n¿Mi madre murió hace mil años?\x0E\x04\x00\x00
MID_OP4_#025	\x0E\x03\x02\x10\x0EE001_エル\nSu sacrificio trajo la paz al pueblo,\nque lloraba su pérdida.\x0E\x04\x02\x00
MID_OP4_#026	Pero fue su \x0E\x0A\x00"\x10sucesora\x0Esucesor quien sanó nuestra tierra\ny le devolvió su antigua prosperidad.\x0E\x04\x00\x00
MID_OP4_#027	\x0E\x03\x02\x0A\x08リュール\nSu \x0E\x0A\x00"\x10sucesora\x0Esucesor... ¿Te refieres \x0E\x0A\x00(\x14a la nueva\x10al nuevo monarca?\n¿Al Dragón Divino?\x0E\x04\x00\x00
MID_OP4_#028	\x0E\x03\x02\x10\x0EE001_エル\nSí. Tú.\x0E\x04\x00\x00
MID_OP4_#029	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_OP4_#030	\x0E\x03\x02\x10\x0EE001_イル\n\x0E\x0A\x00BLa nueva reina era la propia hija>El nuevo rey era el propio hijo de Lumera,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP4_#031	\x0E\x03\x02\x0A\x08リュール\nDe modo que heredé el trono tras su muerte.\nEs tan distinto a la historia de mi mundo...\x0E\x04\x00\x00
MID_OP4_#032	\x0E\x03\x02\x10\x0EE001_イル\nGobernaste magníficamente.\x0E\x04\x02\x00
MID_OP4_#033	Bajo tu égida, realmente parecía que nada\npodría alterar la paz en nuestro mundo.\x0E\x04\x02\x00
MID_OP4_#034	Pero no sucedió así. Sombron regresó\ny, con él, también volvió la guerra.\x0E\x04\x00\x00
MID_OP4_#035	\x0E\x03\x02\x10\x0EE001_エル\nQuien se hace con los siete Emblemas\nobtiene un poder inimaginable.\x0E\x04\x02\x00
MID_OP4_#036	Sombron deseaba usar ese poder para vengarse\ny restaurar el honor de los Dragones Caídos.\x0E\x04\x02\x00
MID_OP4_#037	Y, con tal de ver su propósito cumplido,\nestaba dispuesto a arrasar nuestro mundo.\x0E\x04\x00\x00
MID_OP4_#038	\x0E\x03\x02\x0A\x08リュール\nY supongo que perdí la guerra...\x0E\x04\x00\x00
MID_OP4_#039	\x0E\x03\x02\x10\x0EE001_エル\nNo... No exactamente. Tú y Sombron\nos matasteis mutuamente.\x0E\x04\x02\x00
MID_OP4_#040	Aquella fatídica noche os enfrentasteis\ny perecisteis en el mismo preciso instante.\x0E\x04\x00\x00
MID_OP4_#041	\x0E\x03\x02\x0A\x08リュール\nEn ese caso, ¿el Dragón Caído ya no está?\x0E\x04\x02\x00
MID_OP4_#042	Pero ¿quién amenaza este mundo, entonces?\x0E\x04\x00\x00
MID_OP4_#043	\x0E\x03\x02\x10\x0EE001_エル\nUn malhechor desconocido que ansía ver\ncumplidas las ambiciones de Sombron.\x0E\x04\x00\x00
MID_OP4_#044	\x0E\x03\x02\x10\x0EE001_イル\nAparece y desaparece sin dejar rastro.\nNo conocemos su paradero ni su aspecto.\x0E\x04\x02\x00
MID_OP4_#045	Lo único que sabemos con certeza es\nque pretende hacerse con los siete brazaletes.\x0E\x04\x02\x00
MID_OP4_#046	De hecho, creemos que ya tiene dos\nen su poder.\x0E\x04\x00\x00
MID_OP4_#047	\x0E\x03\x02\x0A\x08リュール\nUno en el castillo de Lythos, dos en manos\ndel enemigo... ¿Qué hay de los otros cuatro?\x0E\x04\x00\x00
MID_OP4_#048	\x0E\x03\x02\x10\x0EE001_エル\nCada nación de Elyos posee uno.\x0E\x04\x02\x00
MID_OP4_#049	Antes luchaban bajo la misma bandera,\npero todo cambió tras tu muerte.\x0E\x04\x02\x00
MID_OP4_#050	Sin nada ya que las uniera, las hormiguitas ─los\nhumanos─ se perdieron en absurdas disputas.\x0E\x04\x02\x00
MID_OP4_#051	Por ahora se controlan a duras penas, aunque\nla guerra puede estallar en cualquier momento.\x0E\x04\x00\x00
MID_OP4_#052	\x0E\x03\x02\x10\x0EE001_イル\nIncluso dudo de si el ejército del Dragón Divino\nllegó alguna vez a estar unido realmente.\x0E\x04\x02\x00
MID_OP4_#053	Se culpaban unos a otros constantemente\npor tu muerte. En este mismo castillo...\x0E\x04\x02\x00
MID_OP4_#054	Una idea absurda, por otra parte,\ndado que nadie tuvo la culpa.\x0E\x04\x00\x00
MID_OP4_#055	\x0E\x03\x02\x10\x0EE001_エル\nAhora que \x0E\x0A\x00F nuestro salvador"nuestra salvadora ha llegado,\nes imperativo que recuperemos los brazaletes.\x0E\x04\x02\x00
MID_OP4_#056	El conflicto que habíamos eludido\ntantos años se antoja ya inevitable.\x0E\x04\x02\x00
MID_OP4_#057	Podrías verte \x0E\x0A\x00$\x10obligado\x10obligada a enfrentarte a gente\nque te recordará a tus propios amigos y aliados.\x0E\x04\x00\x00
MID_OP4_#058	\x0E\x03\x02\x0A\x08リュール\nLo sé. Deberé prepararme para tal posibilidad.\x0E\x04\x02\x00
MID_OP4_#059	Decidme... ¿Los dos sois Dragones Divinos,\nal igual que yo?\x0E\x04\x00\x00
MID_OP4_#060	\x0E\x03\x02\x10\x0EE001_エル\n¿Qué te hace pensar eso?\x0E\x04\x00\x00
MID_OP4_#061	\x0E\x03\x02\x0A\x08リュール\nDijisteis que erais dragones, y además vivís\nen el castillo de Lythos, así que concluí que...\x0E\x04\x00\x00
MID_OP4_#062	\x0E\x03\x02\x10\x0EE001_エル\nTus conclusiones son incorrectas.\x0E\x04\x00\x00
MID_OP4_#063	\x0E\x03\x02\x10\x0EE001_イル\nLo que quiere decir, Divinidad, es que...\x0E\x04\x00\x00
MID_OP4_#064	\x0E\x03\x02\x10\x0EE001_エル\n¡Cuidado! ¡Asesinos!\x0E\x04\x00\x00
MID_OP4_#065	\x0E\x03\x02\x10\x0EE001_イル\n¡Nel!\x0E\x04\x00\x00
MID_OP4_#066	\x0E\x03\x02\x0A\x08リュール\n¡Es un Dragón Caído!\x0E\x04\x00\x00
MID_OP4_#067	\x0E\x03\x02\x10\x0EE001_エル\nTanto mi hermano como yo. En este mundo,\nlos Dragones Caídos nacen como mellizos.\x0E\x04\x02\x00
MID_OP4_#068	En la última guerra cortamos lazos con nuestro\npadre. Ahora luchamos contra nuestra sangre.\x0E\x04\x00\x00
MID_OP4_#069	\x0E\x03\x02\x10\x0EE001_イル\nYo no puedo transformarme, pero eso\nno me impide combatir al lado de Nel.\x0E\x04\x00\x00
MID_OP4_#070	\x0E\x03\x02\x0A\x08リュール\nDragones Caídos mellizos...\x0E\x04\x00\x00
MID_OP4_#071	\x0E\x03\x02\x10\x0EE001_エル\nHabía dado por supuesto que sabrías\nlo que somos desde que nos viste.\x0E\x04\x02\x00
MID_OP4_#072	Pero veo que me equivocaba.\x0E\x04\x02\x00
MID_OP4_#073	Si no deseas ayudarnos, puedes marcharte.\nDefenderemos solos este mundo.\x0E\x04\x00\x00
MID_OP4_#074	\x0E\x03\x02\x0A\x08リュール\nNo... Os apoyaré.\x0E\x04\x02\x00
MID_OP4_#075	Vuestro linaje carece de importancia.\nSi deseáis proteger a la gente, contad conmigo.\x0E\x04\x00\x00
MID_OP4_#076	\x0E\x03\x02\x10\x0EE001_イル\nMe alivia oírlo. ¡Adelante, marchemos juntos\nhacia la batalla, como en los viejos tiempos!\x0E\x04\x00\x00
MID_OP4_#077	\x0E\x03\x02\x10\x0EE001_エル\nDemuestra tu valía, Divinidad. Veamos si eres\nrealmente la respuesta a nuestras plegarias.\x0E\x04\x00\x00
MID_EV0_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_エル\x02t\n\x0E\x05\x01\x1C\x0EE001_エル\nAngry\n\x0E\x03\x02\x10\x0EE001_エル\nEs probable que el objetivo del enemigo\nsea el Brazalete del Venerable Custodio.\x0E\x04\x02\x00
MID_EV0_#002	Debemos detenerlos antes de que lleguen\nal lugar donde está guardado.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nRelax\n\x0E\x03\x02\x14\x12E001_Boss\n(...)\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nPreciosos, ¿verdad? Pero cuidado con sus\ncolmillos. Si te muerden, te dejarán su marca...\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_イル\x02t\n\x0E\x05\x01\x1C\x0EE001_イル\nAngry\n\x0E\x03\x02\x10\x0EE001_イル\nEl bastón de restauración puede curar la\nmaldición. ¡Dáselo a alguien que sepa usarlo!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nSmile\n\x0E\x03\x02\x14\x12E001_Boss\nBajo la protección de mi Emblema,\neste lobo será un hueso duro de roer.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nEntregadme el brazalete.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01&\x12E001_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E001_Boss\n¿Sois el Dragón Divino?...\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nAsí es. Y me voy a quedar con ese brazalete.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01\x1E\x12E001_Boss\x08Pain\n\x0E\x03\x02\x14\x12E001_Boss\nHabéis ganado... por esta vez...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_イル\n¡Han huido! Y yo que esperaba descubrir\nal fin su identidad...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nAl menos hemos recuperado el brazalete\nque llevaban.\x0E\x04\x02\x00
MID_ED1_#003	Es...\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x10\x0EE001_エル\nEl Brazalete del Ancestro. Parece haber\ncambiado desde la última vez que lo vi.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nMmm... Quizá su Emblema pueda decirnos qué\nsucedió mientras estaba en poder del enemigo.\x0E\x04\x02\x00
MID_ED1_#006	Lo invocaré para que podamos hablar.\x0E\x04\x02\x00
MID_ED1_#007	¿Eh? Qué extraño...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE001_エル\n¿Qué ocurre?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nLa invocación no me viene a la mente.\nQuizá se deba a que este no es mi mundo.\x0E\x04\x02\x00
MID_ED1_#010	Sería un desastre. Invocar Emblemas es...\nla función principal de un Dragón Divino.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\n¿Dragón... Divino?\x0E\x04\x02\x00
MID_ED1_#012	\x0E\x03\x00\x16\x10E001_敵チキ\x024\n\x0E\x06\x00&\x10E001_敵チキ\x12MPID_Tiki\n\x0E\x03\x02\x12\x10E001_敵チキ\nMe llamo Tiki. ¿Tú también eres\nun Dragón Divino, como yo?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x10\x0EE001_イル\nImposible... En este estado, ningún Emblema\ndebería ser capaz de hablar...\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nHola, Emblema Tiki.\x0E\x04\x02\x00
MID_ED1_#016	Aunque he logrado llamarte, no recuerdo\ntu invocación. ¿La conoces?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x12\x10E001_敵チキ\nNo sé nada de invocaciones...\x0E\x04\x02\x00
MID_ED1_#018	Ay, estoy mareada. Me duele la cabeza.\x0E\x04\x02\x00
MID_ED1_#019	Por favor... no me obligues a seguir luchando.\nNo me gusta hacerle daño a la gente...\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE001_エル\nNo tienes por qué actuar contra tu voluntad.\nTe devolveré a tu letargo.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\n¿Sabes cómo hacerlo?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x10\x0EE001_エル\nDesde luego. Aunque yo tampoco conozco ese\npoder de invocación del que hablabas antes.\x0E\x04\x02\x00
MID_ED1_#023	El Dragón Divino de nuestro mundo poseía\nla habilidad de purificar Emblemas mancillados.\x0E\x04\x02\x00
MID_ED1_#024	Pero es obvio que tú no, de modo que seré yo\nquien guíe a Tiki de nuevo a su descanso.\x0E\x04\x02\x00
MID_ED1_#025	Mientras duerma, estará a salvo de aquellos\nque pretendan aprovecharse de su poder.\x0E\x04\x02\x00
MID_ED1_#026	Y nadie podrá forzarla a combatir.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE001_イル\nPodría decirse que su poder queda contenido\ndentro del brazalete.\x0E\x04\x02\x00
MID_ED1_#028	Pero, dado que no poseemos la capacidad\nde despertar Emblemas, no podrá ayudarnos.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nAhora mismo es nuestra única opción.\nAdelante, pues.\x0E\x04\x02\x00
MID_ED1_#030	Sea cual sea la ventaja que suponga mantenerla\ndespierta, no pienso obligarla a luchar.\x0E\x04\x02\x00
MID_ED1_#031	Tiki... espero que, algún día,\nvolvamos a encontrarnos.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x12\x10E001_敵チキ\nMe encantaría.\x0E\x04\x02\x00
MID_ED1_#033	Y entonces jugaremos \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas, ¿vale?\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x0A\x08リュール\nPor supuesto.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x10\x0EE001_エル\nAdiós, Emblema Tiki. Dulces sueños.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x12\x10E001_敵チキ\n¡Buenas noches!\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x10\x0EE001_エル\nMientras no caiga en manos del enemigo,\npodrá descansar.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x0A\x08リュール\nGracias, Nel.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE001_エル\nPonemos en letargo a nuestros Emblemas\npara evitar que el enemigo los utilice.\x0E\x04\x02\x00
MID_ED1_#040	Tiki estaba dormida cuando se apoderaron\nde ella, pero ha regresado despierta...\x0E\x04\x02\x00
MID_ED1_#041	De modo que nuestro rival debe de poseer\nla capacidad de despertar Emblemas.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE001_イル\nQue yo sepa, eso solo está al alcance\nde Dragones Divinos y Dragones Caídos.\x0E\x04\x02\x00
