MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n¿Quién anda ahí?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nSi es lo que sientes realmente, princesa Ivy,\nacepto tu gratitud.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nCuando se trata de tan solo dos personas,\nresulta muy sencillo dar las gracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nY lo mismo ocurre con las disculpas,\npero es más difícil si hay reinos implicados.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nQué gran verdad.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nMi padre miraba por nuestro reino cuando\nse lanzó a expandir sus dominios por la fuerza.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí se han hecho las cosas en Brodia\ndesde siempre... pero eso tiene que cambiar.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMi padre ya no está, pero su influjo persiste.\nSerá un proceso lento.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSi existe algún atajo, aún no he dado con él.\nA veces dudo si estoy preparado para reinar...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アイビー\nConozco perfectamente esa sensación.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nTe pido disculpas. No pretendía desahogarme\nde esa manera.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アイビー\nLo entiendo. De hecho, me alivia saber\nque nos asedia la misma inquietud.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08アイビー\nAhora miro con esperanza hacia ese futuro\nen el que tú y yo seremos soberanos.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPríncipe Diamant, quiero enseñarte una cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Llevas en ese collar la gema que te regalé?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nAsí es. He mandado hacer un accesorio\npara poder lucirlo todos los días.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nMuy bien. Es verdaderamente hermoso.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nEn Elusia no hay este tipo de materiales,\npero tenemos un don para la artesanía.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nQuizá esto simbolice nuestro futuro: uniendo\nla minería de Brodia con la artesanía de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nLa paz y la prosperidad se sustentan\nen el respeto mutuo hacia nuestras virtudes.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nYa veo...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nTu obsequio me ha convertido\nen una persona más valiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\n¿De dónde si no habría podido sacar el coraje\npara replantearme nuestra coalición?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nGracias, princesa Ivy... y esta vez lo digo\ncomo heredero al trono de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nConseguir que Brodia renuncie a su beligerancia\nya será de por sí una dura batalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nLas guerras generan beneficios que, a su vez,\nprovocan más guerras. Es un círculo vicioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nHay que romper esa tendencia...\nY eso solo depende de mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEste collar simboliza a la perfección la alianza\nque ambos deseamos para nuestros reinos.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí que gracias, princesa Ivy. Te prometo que,\nmientras yo sea rey, Brodia buscará la paz.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nTe lo agradezco, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nTe tomo la palabra y así se lo haré saber\na mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nBajo nuestro mando, cesarán las hostilidades\ny se fomentará el comercio entre ambos reinos.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nPara los artesanos de Elusia será provechoso\ntener acceso a los recursos de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nSi eso permite producir joyas como este collar,\nnuestros reinos prosperarán.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nEs un buen plan.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nLo único que falta es ponerlo en práctica.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nY a buen seguro que lo haremos.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nEstrechemos las manos como líderes y amigos\npara sellar el inicio de una era de paz.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nCon mucho gusto. ¡Por un nuevo comienzo\nentre nosotros!\x0E\x04\x00\x00
