MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nHoy has estado increíble, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nPero me gusta mi nuevo yo. ¡Me he divertido\nlo indecible desde que os conozco!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nJa, ja, me alegra oír eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nGracias por la conversación, Yunaka.\nTenemos que repetir otro día. ¿Qué te parece?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nEso está hecho.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿De qué te gustaría hablar hoy, Yunaka?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nNo será fácil, pero me gustaría deciros\npor qué me cuesta contar la verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nVoy a revelároslo todo, ¿de acuerdo?\nLa verdad es que yo...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nYo antes... Antes era...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nEstá bien. No tienes que contármelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nPero...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nEstá claro que te resulta muy difícil.\nSolo hay que ver tu cara.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nTe dije que no insistiría.\nNo te obligaré a hablar si no quieres.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\n¿De veras os parece bien que mantenga\nesa parte de mi vida en secreto?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nClaro. Yo también tengo secretos.\nNo has de sentirte mal por eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nSolo quiero saber lo que tú quieras contarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nOs lo agradezco de veras.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nSí puedo decir que estoy agradecida\npor poder contar con \x0E\x0A\x00&\x10un amigo\x12una amiga como vos.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nMe siento como si hubiese encontrado\npor fin mi lugar en el mundo, ¿sabéis?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nGracias a vos. Jamás lo olvidaré. Es un honor\nluchar a vuestro lado y junto a nuestros aliados.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nAprecio mucho tus palabras, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nOs contaré todo sobre mi pasado,\npero lo que realmente importa es el presente.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nTodavía nos estamos conociendo...\n¡Tenemos tanto que contarnos! ¡Qué aventura!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nUna aventura. Me gusta. Estoy deseando saber\nadónde nos lleva esta amistad, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nBueno, Divinidad, ha llegado el momento\nde poner las cartas boca arriba.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ユナカ\nYa dejasteis claro que no insistiríais y que os\nbastaba con saber lo que yo os quisiera contar.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06ユナカ\nPero no voy a estar más dispuesta a hablar\nque ahora, y tenéis derecho a saber la verdad.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nSi eso es lo que quieres realmente, te escucho.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ユナカ\nVale... Allá voy.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06ユナカ\nAntes me llamaba Larimar. Cambié de nombre\npara huir de mi pasado como asesina.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nContinúa.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ユナカ\nJamás sentí mucho apego por aquella Larimar...\nni por sus padres, que la abandonaron de niña.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ユナカ\nSi bien ella representa lo que un día fui.\nEn ese sentido, siempre formará parte de mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ユナカ\nPor tanto, aunque aquello ya es agua pasada,\nmi verdadero yo bebe de ella.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nLo que me has contado demuestra tu valentía.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nQuiero conocerte a fondo. Esta conversación\nsignifica mucho para mí; no la olvidaré.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ユナカ\nOs doy las gracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNo hay de qué.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nComo me has confiado tu secreto,\nte voy a contar el mío.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06ユナカ\nNi siquiera sospechaba que ocultarais algo.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nCuando me dijiste que era un honor luchar\njunto a mí, casi me puse a saltar de alegría.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ユナカ\n¿Y eso?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nPorque en algún momento me di cuenta\nde que no podía concebir mi existencia sin ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nEres la persona más importante de mi vida\ny quiero tenerte a mi lado para siempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSupongo que ese es mi secreto.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ユナカ\nDivinidad...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nSi consientes, me gustaría entregarte\nel Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ユナカ\nPero tiene mucho valor para vos...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nNo tanto como tú. Por eso quiero que lo tengas.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nNo me importa si hablamos de tu yo del pasado\no el del presente. Te acepto tal como eres.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ユナカ\n¡Sois genial!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06ユナカ\nQuiero saberlo todo sobre vos y aceptaros\ntal como sois, igual que vos a mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06ユナカ\nSe acabaron las mentiras y los secretos.\nSolo quiero pasar el resto de mi vida con vos.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nLo mismo digo. A partir de ahora, llevaremos\nla sinceridad por bandera, como compañer\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06ユナカ\nCon mucho gusto, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06ユナカ\nHoy se abre un nuevo episodio.\nMuero por saber qué nos aguarda el futuro.\x0E\x04\x00\x00
