MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nQuiero comprarles algo a mis padres,\npero no tengo claro qué...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nOh, suena muy tentador...\n¡Qué bien se te dan los negocios, lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nYa, bueno, es que, al vivir alejada de mi familia,\nhe tenido que pulir mis habilidades al máximo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nPero ¡te aseguro que mi género es de primera!\nA tus papis les encantará el regalo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nPues creo que me llevo la figurita. Y sí, mejor\ncon inscripción: así será más especial todavía.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\n¡Gracias por tu compra! Espera un momentito\nque te lo envuelva, por favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\nJo, para ser tan joven,\nconoces tu oficio al dedillo.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\n¡No volveré a cometer el error de llamarte\nAnna sin el "lady" delante, te lo aseguro!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\n¡Mil gracias, lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nLes mandé a mis padres el regalo que te compré\n¡y me han enviado una carta de agradecimiento!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\n¡Genial! La verdad es que escogiste\nun artículo chulísimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nSí, les ha encantado, tal y como me dijiste.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nMi deber es satisfacer al cliente...\nEspero que vuelvas a comprar en mi tienda.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\n¡Pues claro! Ah, y lee esta parte de la carta\nque escribió mi madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nVeamos...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\n"La figurita es preciosa. Dale las gracias\nde nuestra parte a lady Anna."\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\n"Si alguna vez vienes por aquí, nos gustaría\nmucho que te acompañase ella para conocerla."\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\n"Dile que le prepararé una de mis famosas\nrecetas caseras si acepta la invitación."\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\n¡Lo de sus recetas es en serio, son famosísimas!\nAsí que tienes que venir, sea como sea.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\n¿He dicho algo malo?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\n¡Yo también quiero mandarle una carta\na mi familiaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nAy, lady Anna...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nHabía olvidado que tú también vives\nalejada de los tuyos...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nSiento mucho haber sacado un tema tan triste.\nPero no pasa nada: ¡nos tienes a nosotros!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nGracias, Framme... De todo corazón.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\nY dáselas también a tu madre.\nDile que será un placer aceptar su invitación.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\n¡Faltaría más!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06アンナ\nBueno, ¡ya vale de tanta lagrimita!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06アンナ\nLas mercaderas lloronas no venden nada.\n¡Quien no sonríe no gana!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Me lo quitan de las manos!\n¡Acércate a ver el mejor género del mercado!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\n¡Artículos de lujo a precios de risa!\n¡Compra ahora o te arrepentirás para siempre!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n¿Cómo va el negocio, lady Anna?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\n¡Viento en popa! Me vacían las estanterías\ntan rápido que no me da tiempo ni a reponerlas.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nBueno, pues aquí tienes. Un detallito para\nla mercadera más trabajadora que conozco.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\n¿Son pasteles?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\n¡Sí! De remolacha. Los he preparado yo,\nasí que me consta que están deliciosos.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\n¿Puedo probarlos?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\n¡Claro!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\n¡Genial! Pues para dentro... ¡Ñam!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\n¡Mmm! ¡Sí que están ricos!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nMe alegro de que te gusten.\nLa receta me la enseñó mi madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nTu madre...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\n¡Ay, no, perdona! Esto... Quería decir que...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\n¡Cuánto lo siento, lady Anna!\nLo último que pretendía era hacerte sentir mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\n¡Se me ha ocurrido una estrategia de ventas\nperfecta para estos pasteles!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nLos llamaremos "delicias de mamá".\nNo habrá quien se resista: ¡ni niños ni adultos!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\n¡Tienes que enseñarme a hacerlos!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\n¡Jo, y yo que pensaba que había vuelto\na meter la pata!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\nQué va, no te preocupes por eso.\nYa sabes mi lema: ¡quien no sonríe no gana!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\n¡Y mis sonrisas van a valer un dineral!\nLo suficiente para encontrar a mi familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\n¡Excelente plan! Colaboraré con la causa\nenseñándote la receta. ¡Te vas a hacer de oro!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\n¡Perfecto! ¡Muchas gracias!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nEn cuanto estos pasteles salgan a la venta,\nvamos a nadar en la abundancia, ¡ya verás!\x0E\x04\x00\x00
