MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nNo me creas débil solo por ser noble.\nSoy más fuerte de lo que parezco.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLa reina Lumera fallece, el Dragón Divino\ndespierta y ahora lucho junto a Lyn.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLa vida puede dar muchas vueltas.\nSolo soy un viajero a merced del destino.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x06\x04リン\nHace mil años, jamás imaginé que volvería\na salir del anillo.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04リン\nEs cierto que somos meros viajeros, pero\nla vida nos bendice con nuevas experiencias.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\n¿Clanne? Pareces triste.\n¿Estás cansado de tus tareas?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\n¡No! Me encanta servir al Dragón Divino.\nLo que me preocupa es quedarme sin ellas.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nHoy estás un poco alicaído.\n¿Te gustaría contarme algo?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nAñoro a mis padres. ¿Es raro? Se supone\nque debería divertirme y no estar triste.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nYo nací en las llanuras y no he dejado\nde añorarlas desde que me fui.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\n¿Tú también? Eso me hace sentir mejor.\nMe sentía muy patético.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04リン\nNo. Es solo que amamos nuestro hogar.\nVe a visitar a tus padres cuando tengas ocasión.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nPuede que lo haga. Aunque ahora no puedo\nsepararme del Dragón Divino.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nEres una gran ayuda para el Dragón Divino.\nCasi casi tanto como yo...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04リン\nCuánta dedicación... Te prometo que nunca\nme interpondré entre el Dragón Divino y tú.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nServir al Dragón Divino es muy trabajoso,\npero no parece que a ti te canse.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nNo, servir a su Divinidad es inspirador.\nPodría hacerlo toda la vida.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nLos dragones viven más años que los humanos.\nAlgún día deberé separarme de su Divinidad.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04リン\nFramme, cuanto más amas a alguien,\nmás difícil resulta separarse de esa persona.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04リン\nPero, si te dedicas a lamentarte por ello,\nno disfrutarás del tiempo que paséis junt\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nTienes razón, Lyn. Me aseguraré de disfrutar\ncada segundo que pase con el Dragón Divino.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNo esperaba que hubiese un Emblema como tú\nen Elusia. Creo que nos parecemos bastante.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04リン\nSí, aunque no parezca una noble al uso,\nseguro que nos entenderemos.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Buenos días, Lyn! ¿Hueles el aire fresco\ny húmedo de la mañana?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x06\x04リン\nSi aún no ha amanecido... Tienes que esperar\na que salga el sol para dar los buenos días.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nYo también madrugo mucho. Creo que estabas\nen lo cierto cuando dijiste que nos parecemos.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Lo ves? ¡Lo sabía!\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Te gustaría que entrenáramos juntos?\nSeguro que ganarás más músculo con mi rutina.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x06\x04リン\nNo sé si puedo tener más,\npero suena divertido. ¿Por qué no?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nブシュロン\nEstoy disfrutando este viaje. En todos los sitios,\nmis amigos me ayudan a no perderme.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04リン\nEs genial poder relajarse y no tener\nque mantener las apariencias, ¿a que sí?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nブシュロン\nMe encanta leer. Si conoces alguna historia\nque merezca la pena, soy todo oídos.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x06\x04リン\nTengo una historia que podría contarte:\nla de mis increíbles aventuras y vivencias.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nブシュロン\nTodavía me emociono al recordar\nla historia que me contaste, Lyn.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nHe decidido que yo también voy a hacer\ngrandes cosas, igual que tú.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x06\x04リン\nMe parece un buen propósito,\ny gracias por escucharme.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x06\x04リン\nLa realidad supera la ficción. Apuesto a que\ntu viaje será más impresionante que mi historia.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nエーティエ\nEres tan grácil, Lyn. Con un poco más\nde entrenamiento, doblarías tu musculatura.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x06\x04リン\nSiempre he entrenado con la espada y el arco,\npero no para ganar músculo. Suena interesante.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nSiempre que te veo estás entrenando.\n¿Qué te motiva a esforzarte tanto?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nPrefiero ponerme en forma que pasarme\nel día de brazos cruzados.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nSé que entrenar es importante para ti,\npero me preocupa que te excedas.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nTranquila, lo que a ti te parece excederse,\npara mí es lo habitual. Conozco mis límites.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nSolo fuerzo lo justo en cada sesión\npara mejorar y alcanzar nuevas cimas.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x06\x04リン\nEstá bien. No voy a dejar de preocuparme,\npero confío en tu capacidad de superación.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nHe decidido luchar por la paz; sin embargo,\na veces temo que esta guerra nunca acabe.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04リン\nTodo termina de un modo u otro...\nEntiendo tus nervios, pero no desesperes.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNo puedo evitar envidiarte, Lyn.\nVives la vida libremente y sin ataduras.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x06\x04リン\nLa libertad y el peligro suelen ir de la mano,\npero para mí merece la pena.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nGracias por tomar el té conmigo.\nDisfruto mucho de nuestras conversaciones.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04リン\nYo también. Espero que lo repitamos pronto.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nPor supuesto. Oír las historias de tu mundo\nhace que reconsidere mi forma de ver la vida.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x06\x04リン\nY yo estoy aprendiendo mucho sobre té.\nHay tantas cosas más allá de las llanuras...\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04ルイ\nPor curiosidad, ¿tienes algún amigo\ncon el que te sientas muy a gusto?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04リン\nTodos los que lucharon a mi lado, por ejemplo.\n¿O no te refieres a eso?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nTenía una amiga llamada Florina.\nEra adorable. Pasábamos mucho tiempo juntas.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\n¡Perfecto! Es justo lo que esperaba oír.\nCuéntame más.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04ルイ\nEstar con amigos te llena de felicidad.\nSi pudiera, pararía el tiempo en esos momentos.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04リン\nNunca había conocido a nadie que disfrute\ntanto observando cómo se relaciona la gente.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nHay muchas formas de divertirse.\n¿Qué tal si te buscamos nuevos amigos?\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04リン\n¡Eh, ese es mi anillo!\n¿A cuánta gente pretendes presentarme?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06クロエ\nQué tipo de comida habrá en la próxima aldea...\n¿Tú tienes alguna comida favorita, Lyn?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04リン\nBuena pregunta. Las albóndigas, el jabalí,\nlas salchichas... Principalmente la carne.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nSiempre estás comiendo deliciosos manjares.\nSe me haría la boca agua si pudiera.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\n¡Está todo riquísimo! Ojalá pudiera degustar\nalgunos platos típicos de tu mundo.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06クロエ\nLyn, ¡mira lo que tengo! Es lagarto enrollado\nen un pimiento y frito en aceite de sapo.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x06\x04リン\nOh, ¿es para mí? Qué pena...\nLos Emblemas no podemos comer.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nLo siento, es verdad. Te describiré su sabor\ncon todo lujo de detalles mientras me lo como.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x06\x04リン\n¿Con todo lujo de detalles? No, gracias.\nQuizá cuando tomes comida algo más normal.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nLyn... El rey Hyacinth usó tu poder\npara herir y capturar a mi padre. No puedo...\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04リン\nLo comprendo y lo siento. El Dragón Caído\nme controlaba. Sé que no es excusa, pero...\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHay algo en tu poder que me resulta familiar,\nLyn. Tu resolución me recuerda a mi padre.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04リン\nQué honor, Diamant. Supongo que es señal\nde que empezamos a confiar el uno en el otro.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDiscúlpame, Lyn. A pesar de luchar por la paz,\nme aferré al odio que sentía hacia ti.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x06\x04リン\nNo te disculpes, Diamant. Lo entiendo.\nYo hubiese actuado igual en tu situación.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nA partir de hoy, quiero que seamos compañeros\nde armas... Lucharemos juntos. ¿Aceptas?\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04リン\n¡Desde luego! Nada me gustaría más.\nJuntos seremos mucho más fuertes.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0A\x08アンバー\nSi tuviéramos alpacas en el equipo, ¡seríamos\ninvencibles! ¿Me ayudas a adiestrar algunas?\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04リン\nJamás se me habría ocurrido reclutar alpacas...\nQuizá oculten mucha fuerza bajo toda esa lana...\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nTiene gracia. Antes pensaba que las alpacas\neran raras, pero ahora me parecen fascinantes.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\n¡Sí, las alpacas son lo más! Si logré sobrevivir\na la vida en el campo fue gracias a ellas.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nOjalá tuviéramos alpacas aquí... Quiero\nacariciar alguna. ¡Ah! ¿Qué estoy diciendo?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nLo he oído, Lyn. Te has dejado seducir\npor el poder de las alpacas.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x06\x04リン\nEso parece, aunque no soporto admitirlo...\nTambién he aprendido a apreciarte a ti.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\n¿Sí? ¡Pero si tú eres mucho mejor que yo!\nEstoy estupefacto, pero muy feliz.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nEstás muy seria, Jade... Si he hecho algo\nque te molestara en la última batalla, dímelo.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo has hecho nada, Lyn.\nSolo admiraba tu sonrisa. Es muy... estimulante.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLa risa es la expresión humana más elevada.\nEs tan misteriosa y profunda...\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x06\x04リン\nTe tomas la risa muy en serio. La pasión\nque sientes por la comedia es inspiradora.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\n¡Me he reído mucho con tu novela, Jade!\nQué bien escondes tu vena humorística.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMe lo dicen mucho. La risa es algo muy serio\npara mí... Hay quienes creen que nunca me río.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x06\x04リン\nYo creo que he aprendido a discernir\ntu expresión de felicidad.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\n¿Ah, sí? Eres muy graciosa, Lyn...\nSupongo que entre nosotras nos entendemos.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nスタルーク\nEres el Emblema que usó el rey Hyacinth...\nY, ¿ahora eres una aliada? Me cuesta aceptarlo.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x06\x04リン\nHasta que puedas perdonarme, Alcryst, piensa\nen mí como un Emblema ordinario, no Lyn.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nスタルーク\nGracias por darme tu fuerza, Lyn.\nConfío mucho en tu poder...\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x06\x04リン\nGracias, Alcryst. Yo también confío en el tuyo.\nTienes mucho talento.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nスタルーク\nUna vez... me dijiste que pensara en ti como un\nEmblema ordinario, pero... no creo que pueda.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x06\x04リン\n¿Aún te cuesta luchar a mi lado? Lo entiendo.\nLe pediré al Dragón Divino que te busque otro...\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\n¡No! Quería decir que no eres solo una más.\nCuanto más luchamos juntos, más te aprecio.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x06\x04リン\n¡Ah! Me alegra mucho oír eso, Alcryst.\nDeberíamos hablar más a menudo.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nNací en las llanuras de Sacae.\nLa naturaleza nos bendijo con sus frutos.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nSeguro que nunca pasaste hambre allí.\nCon tantas hierbas comestibles...\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nCreo que la otra vez no me entendiste.\nHabía otras cosas que comer aparte de hierba.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\nAaah... Eso tiene más sentido. Supongo que\ndeseaba tener alguien con quien identificarme...\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Lyn? ¿Alguna vez has fracasado en algo\npor mucho empeño que le hayas puesto?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x06\x04リン\nPor supuesto. Se me han escapado muchos\nanimales cuando intentaba cazarlos.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x06\x04リン\nLo tenía todo planificado y... de repente,\nla presa desaparecía. Era de lo más frustrante.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nSupongo que no hay que dejar escapar\nla oportunidad. Lo tendré en cuenta.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¿Cómo hago para que mi cara no dé miedo?\nIntento que no me afecte, pero me pasa mucho.\x0E\x04\x00\x00
