MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAh, qué hambre...\nEs el momento ideal para comer onigiri.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nDiría que en el fondo nos parecemos mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\n¿Cómo? ¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nYo dejé mi hogar para vagar por el mundo\nen busca de ampliar mis conocimientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nBatirme en duelo con auténticos maestros\nde la lucha es mi forma de expandir horizontes.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nEn el castillo de Elusia probé por primera vez el\namargo sabor de la derrota, y comprendí que...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\naunque me había enfrentado ya a grandes\nrivales, el futuro me deparaba muchos más.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nMmm. Sí, tu experiencia me resulta familiar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nAl igual que yo ansío convertirme en un gran\nchef, tú aspiras a ser el mejor guerrero posible.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nMi gran suerte es ser vasallo de la princesa Ivy,\nlo que me ha permitido aprender muchísimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nGracias a ella, he entendido que no necesito\nbatirme con cuanto rival poderoso exista.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nNo puedo aprenderlo todo, pero sí puedo\ncentrarme en pulir mis propias habilidades.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nSabias palabras. Me pregunto si algún día\nafrontaré las cosas con tanta serenidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nBunet, he tomado una decisión.\nVoy a ayudarte a mejorar.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nSi te parece bien, te contaré todo lo que sé\nsobre la cocina de mi país.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nArenas Albas es un lugar muy aislado, quizá\nno haya otra forma de aprender sus secretos.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nFantástico, pero... ¿no decías que eso\nse interpondría en tus deberes como vasallo?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nEl caso es que somos amigos...\n¡y yo siempre tengo tiempo para las amistades!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nGracias, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nTe lo pagaré en onigiri.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nY esta vez serán de los de verdad.\nCon pescado salado y envueltos en algas.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nDe acuerdo, pero solo si añades unos cuantos\ncon dátiles también. ¡Eran una exquisitez!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nComo prefieras. Ya verás.\nSe te va a hacer la boca agua.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x06\x04ボネ\nQué ganas tengo de aprender cosas\nsobre tu cultura...\x0E\x04\x00\x00
