MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola, princesa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\n¡Pero es muy original!\nDudo que se le hubiera ocurrido a nadie más.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nGracias por los ánimos, princesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06アンナ\nNo voy a rendirme, el próximo producto\nque desarrolle triunfará en Solm.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\n¡Claro que sí, lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nMmm... ¿Qué puedo hacer?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nHola, lady Anna. Veo que sigues trabajando\nen ese nuevo producto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nAh, hola, princesa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nVenda lo que venda, no tendrá éxito en Solm\na no ser que sea algo verdaderamente único.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nSí, hay mucha competencia...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\n¿A qué viene esa cara?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nEs que me disgusta ver\na una amiga pasarlo mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nOh, qué maja.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nNo lo estoy pasando mal.\nBueno, quizá un poco; pero no pasa nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\n¿Ah, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nIr planeando cada detalle cuando trabajo\nen un nuevo producto es mi parte favorita.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\n¿Qué necesita este mercado? ¿Cómo puedo\nhacer feliz a la gente con mis productos?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nNo es fácil, pero la satisfacción que siento\ncuando encuentro la solución lo vale.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\n¡Es lo mejor de ser mercadera!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nAh, bien, creo que te entiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nNo te preocupes por mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nCrearé un producto que le encantará\na la gente de Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\n¡Sí, así se habla!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\n¿Sabes? Se me acaba de ocurrir algo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\n¿El qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nAlgo que debes hacer cuando\nhayas diseñado el nuevo producto.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nPonerle tu nombre:\n"El increíble chisme de lady Anna".\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\n¿Crear mi propia marca?\nAy, no sé... Me daría un poco de vergüenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nPuede. Aunque, si resulta ser un éxito...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nQuizá llegue a oídos de tu familia\ny se pongan en contacto contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nHala, princesa Timerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\n¡Es una buena idea! Si sale bien,\nprometo que te llevarás todo el mérito.\x0E\x04\x00\x00
