MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nOs he traído algo para picar, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nN-no quiero... ¡Basta! Es suficiente...\x0E\x04\x02\x00
MID_RELIANCE_B_#010	¡No te me acerques!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Oh!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nYo... L-lo siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nNo, soy yo quien debe disculparse. Me excedí\nsiendo tan directa, aunque fuera para serviros.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Lo lamento profundamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNo es eso.\nEs que te pareces mucho a alguien que conocí...\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Permíteme que me explique,\nsi me haces el favor de escuchar.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nFaltaría más.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nHace tiempo, tenía una vasalla.\nUna dragona maga, igual que tú.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Me trataba con dulzura y siempre escuchaba\ntodo lo que tenía que decir, como haces tú.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Me caía muy bien, y pensaba que podríamos\nser amigas.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Pero entonces nos vimos obligadas a luchar\nen bandos opuestos, y eso rompió la amistad.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Sé que tú no eres ella, pero os parecéis tanto\nque, al verte, me vienen recuerdos a la mente.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nLo comprendo. Gracias por compartir\nalgo tan íntimo conmigo.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Yo... Trataré de no ser tan atrevida en el futuro.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Si os apetece, podríamos seguir hablando\nsobre esto en otra ocasión.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08ヴェイル\nSí. Siento comportarme así cuando tú solo\nme has colmado de atenciones, Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Gracias...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nOh, habéis descuidado vuestra melena,\nlady Veyle. Dejad que me ocupe.\x0E\x04\x02\x00
MID_RELIANCE_A_#002	¡No temáis! He estado practicando.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEntonces adelante. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Tenéis frío? Puedo ir a por una manta\nantes de ponerme con vuestro cabello.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nLos dragones magos desprendéis mucho calor,\n¿no? Pues calienta mis manos con las tuyas.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Estáis segura? No quiero asustaros ni nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\n¿Por qué iba a tener miedo de una amiga?\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Dime, Zelestia.\n¿Por qué eres tan amable conmigo?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nBueno, es una historia muy larga.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNo importa.\nEsta vez, seré yo la que te escuche a ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nEn mi mundo, un hombre llamado Mauvier\nformó los Cuatro Vientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\n¿Mauvier? Así que el de tu mundo también\nera una persona digna de admiración...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nY os quedáis corta. Era mi héroe y mi fiel amigo;\nalguien a quien idolatraba.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Oí que servía a alguien llamada lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\n¡¿En serio?!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nSí, Mauvier era el vasallo de la lady Veyle\nde mi mundo.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mauvier había jurado protegerla a cualquier\nprecio, pero no pudo cumplir su juramento.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Según contó, ella murió en una escaramuza,\ny él siempre se culpó de no haberla protegido.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Por eso me sorprendió tanto encontraros\nen este mundo... viva.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Él quería protegeros a toda costa, y ahora\nyo quiero ser vuestra protectora en su lugar.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Por eso deseaba serviros tan fervorosamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nEso explica por qué seguías siendo tan amable\nconmigo pese a que te trataba con frialdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nNo, vos también sois muy amable. Incluso\nahora, que escucháis atentamente mi relato.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Mauvier siempre hablaba de lo afable que era\nsu lady Veyle. Igual que lo sois vos.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nGracias por contarme esa historia.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Nuestro encuentro es un milagro. Provenimos\nde mundos distintos, pero estamos conectadas.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nEso es. Que nos hayamos encontrado así quizá\nhaya sido obra de alguna fuerza desconocida.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nZelestia, la verdad es que... me gustaría\nque fuéramos amigas.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	¿Podrías quedarte un rato más hoy?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nSerá un placer. Permaneceré a vuestro lado\nno solo "un rato más", sino cuanto necesitéis.\x0E\x04\x00\x00
