MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMe alegra poder hablar por fin contigo\ntras tanto tiempo observándote en silencio,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTe he visto combatir; eres muy hábil.\nMe alegra que formemos un equipo, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\n¿Crees que soy bueno? ¡Menudo honor!\nTe prometo que intentaré estar a la altura.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nMarth, ¿hay alguien a quien admires?\nAlguien en quien pienses y digas "guau"...\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06マルス\nAdmiro a los amigos con quienes comparto\nlazos, como tú, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nYa sé por qué te llaman "Rey Heroico": porque\neres muy poderoso y no necesitas a nadie.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06マルス\nEn absoluto. Yo estaba indefenso en solitario.\nMi éxito se lo debo a los que me apoyaron.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06マルス\nDependo de mis amigos y ellos de mí.\nLuché por ellos y me convirtieron en un héroe.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\n¿Así que el poder no viene dado, sino que se\ngana? Gracias por esta valiosa lección, Marth.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nEs un honor poder luchar a tu lado, Marth.\nIntentaré no ser un estorbo.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06マルス\nNo te preocupes por eso, Framme.\nJuntos conseguiremos que acabe esta guerra.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nPareces muy contenta, Framme.\n¿Qué estás haciendo?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nEscribo una carta a mi familia. Están muy lejos\ny quiero decirles que estoy bien.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nMarth, ¿estuviste allí todo el tiempo\nmientras el Dragón Divino dormía?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06マルス\nSí, aunque el tiempo se pasó muy deprisa.\nVi el gran trabajo que hiciste como sierva.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\n¡Gracias! Voy a esforzarme todavía más\npor ti y por el Dragón Divino.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06マルス\nNo me cabe duda, Framme. Está claro\nque juntos seremos una fuerza imparable.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Este es el anillo que llevaba su Divinidad\nmientras dormía! Será un honor luchar a tu lado.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06マルス\nMe alegra luchar junto a un valeroso príncipe.\nJuntos traeremos la paz al mundo.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nPareces preocupado, Alfred.\n¿Hay algo que te perturbe?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe siento mal por ser tan flacucho...\nIré a correr un rato; me ayuda a despejarme.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTe apasiona entrenar. Admiro tu dedicación.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nFui un joven enfermizo, así que lo hacía\npara fortalecerme. Ahora es una afición.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06マルス\nIncluso el caballero más fuerte puede\nsucumbir a la enfermedad. Hiciste bien.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo es para tanto, solo entreno.\nPor cierto, iba a salir a correr, ¿te apuntas?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nEs un honor luchar a tu lado.\nHaré cuanto pueda para estar a la altura.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06マルス\nTodos debemos esforzarnos al máximo,\nBoucheron. Juntos lo lograremos.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\n¿Estás llorando, Boucheron?\n¿Ha ocurrido algo?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNo... He leído una historia muy dramática.\nCuando pienso en ella, me saltan las lágrimas.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nEsta guerra ha devastado la tierra\ny contaminado el agua. Tiene que acabar ya.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06マルス\nEn tu aldea hay mucha vegetación, ¿no?\nY supongo que también hay ríos.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nSí. Las aguas son cristalinas. Iba a pescar\na menudo. Me pregunto si aún se podrá...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06マルス\nEl amor hacia tu tierra te dará fuerza,\ny, junto a la mía, traeremos la paz.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHola, Marth. Me pillas en buen momento:\njusto después de mi entrenamiento.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06マルス\nTe entrenas con el arco tan concienzudamente\ncomo los mejores arqueros de Altea.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHola, Marth. Iba a tomar un poco de té,\n¿te apetece acompañarme?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06マルス\nNo puedo beberlo, pero sí captar su aroma.\nMe conformo con eso si a ti te parece bien.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nOjalá pudiera quitarme estos pensamientos\nde la cabeza. Solo puedo hacer una cosa.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06マルス\n¿Te inquietan tus pensamientos, Etie?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06マルス\nPuedes desahogarte conmigo, si quieres.\nA veces, hablar de los problemas ayuda.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nGracias, pero solo hay una cosa\nque me hace sentir mejor: el ejercicio.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNunca imaginé que conocería a un Emblema\nen persona. Hay tanto que quiero contarte.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06マルス\nMe encantaría oír historias sobre el Reino\nde Firene y sobre ti.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEsa diadema es preciosa. Te queda genial y...\ndiría que tiene valor sentimental.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06マルス\nPues sí, es un regalo muy preciado\nde una persona importante para mí.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nAmo a mi país y a mi pueblo;\npor eso he decidido tomar las armas.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06マルス\nSé muy bien que hay cosas en este mundo\npor las que vale la pena luchar.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nGracias por comprenderlo. Es un alivio\nluchar junto a alguien que piensa como yo.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06マルス\nLucharé a tu lado hasta que traigamos\nla paz a tu reino.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nEres cautivador, Marth.\nTu presencia ilumina todo cuanto te rodea.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06マルス\nMe halagas, Louis.\nSiempre logras animar a tus aliados.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nVerte interactuar con su Divinidad es todo\nun espectáculo. Un lienzo en blanco...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06マルス\n¿Un lienzo? Disculpa, creo que no te entiendo.\n¿Podrías explicarte mejor?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nNo me ha pasado inadvertida tu amabilidad.\n¿Siempre has sido así?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nDesde pequeño intento complacer a los demás.\nSupongo que porque tengo muchos hermanos.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nLe estoy eternamente agradecido a mi familia.\nGracias a ellos, pude servir en la corte.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06マルス\nTenerte en el campo de batalla nos tranquiliza\na todos mucho. Haces un gran trabajo, Louis.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nEl Emblema que cuidaba de su Divinidad\nmientras dormía... Es como un cuento de hadas.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06マルス\nMe gusta hablar contigo. Me recuerdas\na cierta caballera pegaso muy querida para mí.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nNo pasa nada por relajarse de vez en cuando...\n¿Y si descansas antes de la próxima batalla?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06マルス\nTienes razón, y tú deberías hacer lo mismo.\nNo quiero perder a nadie en esta guerra.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nAntes de conocer a la princesa Céline, no sabía\nnada del mundo. Jamás imaginé que fuera\ntan vasto.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06マルス\nHay mucha gente que sobrevive a duras penas.\nPiensa en ellos cuando luches.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nHaré lo que sea para mantenerlos a salvo.\nDe eso se trata, ¿no?\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06マルス\nSí. Traeremos la paz con la ayuda\nde nuestros queridos aliados.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEs un honor luchar junto a un gran héroe.\nMe alegra tenerte en nuestras filas, Marth.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06マルス\nLo mismo digo, Diamant.\nLuchemos juntos por la paz.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nNo gobernaré como mi padre. Deseo que Brodia\nprospere, pero sin recurrir a la guerra.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06マルス\nUn heredero debe defender sus propios ideales.\nSé que harás lo que es mejor para tu reino.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¿Hay alguna técnica que te cueste, Marth?\nEntre tú y yo, la magia me resulta intimidante.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06マルス\nConque el príncipe heredero de Brodia no es\ntan perfecto como dicen... ¿Cuál es el motivo?\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nSiendo niño, provoqué una explosión durante\nuna clase de magia. Desde entonces la temo.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06マルス\nCuando algo te cueste, apóyate en tus aliados.\nAsí me convertí yo en el "héroe de la amistad".\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Hala! ¿Voy a luchar junto a un Emblema?\nCuánto me alegro de ser un vasallo real.\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06マルス\nExageras, Amber. Piensa en mí como un aliado\nmás que lucha para proteger el mundo.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\n¿De dónde procedes exactamente, Marth?\nMe interesa saberlo todo sobre las leyendas.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06マルス\nLa historia de mi reino empieza con el héroe\nllamado Anri... Algún día te la contaré.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nHe oído que te convertiste en vasallo tras\noponerte a tu familia y participar en un torneo.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nSí. No es que odiara mi pueblo, pero me aburría.\nAdemás, tenía que iniciar mi propia leyenda.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nDespués del torneo, Diamant vino a pedirme\nque fuera su vasallo y no pude negarme.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06マルス\nLograste tu sueño a base de esfuerzo\ny voluntad. Creo que ya eres una leyenda.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nNo dejaré al príncipe Diamant en mal lugar.\nSerá un honor luchar a tu lado, Marth.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x08\x06マルス\nEstoy ansioso por verte en acción, Jade.\n¡Por el futuro!\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nTodo el mundo te quiere, Marth.\nTu mera presencia logra calmar a la gente.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06マルス\nTambién se sienten más seguros cerca de\nMuro de Hierro. Juntos, protegeremos a todos.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMarth, disculpa la osadía... Me gustaría basarme\nen ti para crear un personaje de mi novela.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06マルス\nMe da un poco de vergüenza, pero claro que sí.\nEstoy impaciente por leerla.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nGracias. Espero que te guste mi estilo.\nAl príncipe Diamant parece que le encanta.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06マルス\nConfío en su criterio. Estoy ansioso por ver\nqué clase de personaje voy a ser.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡Ah! ¡Lo siento, Marth! Un Emblema como tú\nno debería luchar junto a alguien como yo.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06マルス\nOye, no hables así de ti mismo.\nTe considero un amigo.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nTienes mucho carisma, Marth.\nYa quisiera yo tener parte de tu encanto...\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x08\x06マルス\nTienes muchas buenas cualidades, Alcryst.\nEspero que aprendas a verlas.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nEres realmente increíble, Marth.\nSiento ser una decepción tan grande...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06マルス\nNo eres ninguna decepción. ¡Tienes talento\ncon el arco y luchas para defender tu reino!\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nEso es todo. Son las dos únicas\ncosas que puedo hacer.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06マルス\nNo, Alcryst. No son las únicas cosas que puedes\nhacer: tú eres el único que puede hacerlas.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEres muy fuerte, Lapis. Por temible que sea\nel enemigo, juntos lograremos traer la paz.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nNo sé si seré de gran ayuda, pero lo intentaré.\nNos deseo mucha suerte. Nunca está de más...\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTienes muchos recursos, Lapis. Los detalles\npequeños pueden decidir una guerra.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\n¡Avisa si necesitas que te fabrique lo que sea!\n¿Qué tal una bonita base para tu anillo?\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Marth? ¿Qué harías si tuvieras una persona\nquerida a la que nunca podrías volver a ver?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06マルス\nEs una situación muy triste no poder hablar\ncon alguien querido...\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06マルス\nAun así, pensaría en esa persona a menudo.\nLos lazos que forjamos nunca se rompen.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nTienes razón. Siempre estaremos conectados...\npase lo que pase. Gracias, Marth.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nシトリニカ\nGracias por prestarnos tu fuerza, Marth.\nHaré lo que sea para corresponder tu bondad.\x0E\x04\x00\x00
